Component,Threshold,Cutoff,Status
IVRSystem,3,5.7219605791034365,Clean
IVRExtendedDisplay,1,5.7219605791034365,Clean
IVRApplications,3,5.7219605791034365,Clean
IVRChaperone,3,5.7219605791034365,Clean
IVRChaperoneSetup,3,5.7219605791034365,Clean
IVRCompositor,3,5.7219605791034365,Clean
IVROverlay,3,5.7219605791034365,Clean
IVRRenderModels,3,5.7219605791034365,Clean
IVRNotifications,1,5.7219605791034365,Clean
IVRSettings,3,5.7219605791034365,Clean
CVRSystem,6,5.7219605791034365,Fault_proner
CVRExtendedDisplay,6,5.7219605791034365,Fault_proner
CVRApplications,6,5.7219605791034365,Fault_proner
CVRChaperone,6,5.7219605791034365,Fault_proner
CVRChaperoneSetup,6,5.7219605791034365,Fault_proner
CVRCompositor,6,5.7219605791034365,Fault_proner
CVROverlay,6,5.7219605791034365,Fault_proner
CVRRenderModels,6,5.7219605791034365,Fault_proner
CVRNotifications,4,5.7219605791034365,Clean
CVRSettings,6,5.7219605791034365,Fault_proner
OpenVRInterop,4,5.7219605791034365,Clean
EVREye,1,5.7219605791034365,Clean
EGraphicsAPIConvention,1,5.7219605791034365,Clean
EColorSpace,1,5.7219605791034365,Clean
ETrackingResult,1,5.7219605791034365,Clean
ETrackedDeviceClass,1,5.7219605791034365,Clean
ETrackedControllerRole,1,5.7219605791034365,Clean
ETrackingUniverseOrigin,1,5.7219605791034365,Clean
ETrackedDeviceProperty,2,5.7219605791034365,Clean
ETrackedPropertyError,1,5.7219605791034365,Clean
EVRSubmitFlags,1,5.7219605791034365,Clean
EVRState,0,5.7219605791034365,Clean
EVREventType,2,5.7219605791034365,Clean
EDeviceActivityLevel,1,5.7219605791034365,Clean
EVRButtonId,1,5.7219605791034365,Clean
EVRMouseButton,0,5.7219605791034365,Clean
EVRControllerAxisType,1,5.7219605791034365,Clean
EVRControllerEventOutputType,0,5.7219605791034365,Clean
ECollisionBoundsStyle,0,5.7219605791034365,Clean
EVROverlayError,1,5.7219605791034365,Clean
EVRApplicationType,1,5.7219605791034365,Clean
EVRFirmwareError,1,5.7219605791034365,Clean
EVRNotificationError,1,5.7219605791034365,Clean
EVRInitError,2,5.7219605791034365,Clean
EVRApplicationError,1,5.7219605791034365,Clean
EVRApplicationProperty,1,5.7219605791034365,Clean
EVRApplicationTransitionState,1,5.7219605791034365,Clean
ChaperoneCalibrationState,1,5.7219605791034365,Clean
EChaperoneConfigFile,1,5.7219605791034365,Clean
EChaperoneImportFlags,0,5.7219605791034365,Clean
EVRCompositorError,1,5.7219605791034365,Clean
VROverlayInputMethod,1,5.7219605791034365,Clean
VROverlayTransformType,1,5.7219605791034365,Clean
VROverlayFlags,1,5.7219605791034365,Clean
EGamepadTextInputMode,0,5.7219605791034365,Clean
EGamepadTextInputLineMode,0,5.7219605791034365,Clean
EOverlayDirection,1,5.7219605791034365,Clean
EVRRenderModelError,1,5.7219605791034365,Clean
EVRComponentProperty,0,5.7219605791034365,Clean
EVRNotificationType,1,5.7219605791034365,Clean
EVRNotificationStyle,1,5.7219605791034365,Clean
EVRSettingsError,1,5.7219605791034365,Clean
VREvent_Data_t,3,5.7219605791034365,Clean
HmdMatrix34_t,3,5.7219605791034365,Clean
