Component,Threshold,Cutoff,Status
LeanClassPool<T>,4,7.107357279643912,Clean
LeanPool,9,7.107357279643912,Fault_proner
DelayedDestruction,2,7.107357279643912,Clean
NotificationType,1,7.107357279643912,Clean
LeanPooledRigidbody,0,7.107357279643912,Clean
LeanPooledRigidbody2D,0,7.107357279643912,Clean
TransitionHandler,1,7.107357279643912,Clean
ControlParameters,2,7.107357279643912,Clean
Transition,9,7.107357279643912,Fault_proner
CrossfadeTransition,5,7.107357279643912,Clean
ClipTransition,8,7.107357279643912,Fault_proner
Layer,8,7.107357279643912,Fault_proner
MixamoWrapMode,1,7.107357279643912,Clean
State,9,7.107357279643912,Fault_proner
ClipRootMotionInfo,6,7.107357279643912,Clean
RootMotionSetup,6,7.107357279643912,Clean
RootMotionExtractionType,1,7.107357279643912,Clean
RootMotionRotExtractionType,1,7.107357279643912,Clean
TreeNode,9,7.107357279643912,Fault_proner
BlankClip,6,7.107357279643912,Clean
Clip,10,7.107357279643912,Fault_proner
BlendNode,2,7.107357279643912,Clean
Blend2d,8,7.107357279643912,Fault_proner
AdditiveBlend,8,7.107357279643912,Fault_proner
AnimationGraph,9,7.107357279643912,Fault_proner
JSON,6,7.107357279643912,Clean
Util,8,7.107357279643912,Fault_proner
BodyCollider,0,7.107357279643912,Clean
CircularDrive,6,7.107357279643912,Clean
Axis_t,0,7.107357279643912,Clean
ComplexThrowable,6,7.107357279643912,Clean
AttachMode,1,7.107357279643912,Clean
ControllerHoverHighlight,7,7.107357279643912,Clean
CustomEvents,0,7.107357279643912,Clean
UnityEventSingleFloat,0,7.107357279643912,Clean
UnityEventHand,1,7.107357279643912,Clean
DebugUI,2,7.107357279643912,Clean
DestroyOnDetachedFromHand,1,7.107357279643912,Clean
DestroyOnParticleSystemDeath,0,7.107357279643912,Clean
DestroyOnTriggerEnter,0,7.107357279643912,Clean
DistanceHaptics,2,7.107357279643912,Clean
DontDestroyOnLoad,0,7.107357279643912,Clean
EnumFlags,1,7.107357279643912,Clean
EnumFlagsPropertyDrawer,0,7.107357279643912,Clean
FallbackCameraController,5,7.107357279643912,Clean
