Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,7.129783182851177,Clean
DummyControllerProvider,2,7.129783182851177,Clean
EditorControllerProvider,4,7.129783182851177,Clean
EmulatorControllerProvider,6,7.129783182851177,Clean
MouseControllerProvider,7,7.129783182851177,Clean
ControllerState,2,7.129783182851177,Clean
EmulatorClientSocketConnectionState,1,7.129783182851177,Clean
EmulatorClientSocket,6,7.129783182851177,Clean
EmulatorConfig,4,7.129783182851177,Clean
Mode,1,7.129783182851177,Clean
EmulatorGyroEvent,3,7.129783182851177,Clean
EmulatorAccelEvent,3,7.129783182851177,Clean
EmulatorTouchEvent,6,7.129783182851177,Clean
Action,1,7.129783182851177,Clean
Pointer,9,7.129783182851177,Fault_proner
EmulatorOrientationEvent,3,7.129783182851177,Clean
EmulatorButtonEvent,3,7.129783182851177,Clean
ButtonCode,1,7.129783182851177,Clean
EmulatorManager,6,7.129783182851177,Clean
IControllerProvider,2,7.129783182851177,Clean
HeadsetProviderFactory,1,7.129783182851177,Clean
gvr_feature,0,7.129783182851177,Clean
gvr_property_type,0,7.129783182851177,Clean
gvr_value_type,0,7.129783182851177,Clean
gvr_recenter_flags,0,7.129783182851177,Clean
DummyHeadsetProvider,3,7.129783182851177,Clean
EditorHeadsetProvider,4,7.129783182851177,Clean
HeadsetState,2,7.129783182851177,Clean
IHeadsetProvider,2,7.129783182851177,Clean
InstantPreview,3,7.129783182851177,Clean
Resolutions,0,7.129783182851177,Clean
ResolutionSize,1,7.129783182851177,Clean
MultisampleCounts,0,7.129783182851177,Clean
BitRates,0,7.129783182851177,Clean
UnityRect,3,7.129783182851177,Clean
UnityEyeViews,3,7.129783182851177,Clean
IKeyboardProvider,2,7.129783182851177,Clean
KeyboardProviderFactory,1,7.129783182851177,Clean
AndroidNativeKeyboardProvider,7,7.129783182851177,Clean
gvr_clock_time_point,2,7.129783182851177,Clean
gvr_recti,3,7.129783182851177,Clean
DummyKeyboardProvider,4,7.129783182851177,Clean
EmulatorKeyboardProvider,6,7.129783182851177,Clean
GvrCursorHelper,1,7.129783182851177,Clean
PhoneEvent,9,7.129783182851177,Fault_proner
Types,2,7.129783182851177,Clean
Type,1,7.129783182851177,Clean
MotionEvent,9,7.129783182851177,Fault_proner
Builder,8,7.129783182851177,Fault_proner
GyroscopeEvent,9,7.129783182851177,Fault_proner
AccelerometerEvent,9,7.129783182851177,Fault_proner
DepthMapEvent,9,7.129783182851177,Fault_proner
OrientationEvent,9,7.129783182851177,Fault_proner
KeyEvent,9,7.129783182851177,Fault_proner
