Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,7.790063967679489,Clean
DummyControllerProvider,2,7.790063967679489,Clean
EmulatorControllerProvider,6,7.790063967679489,Clean
ControllerState,2,7.790063967679489,Clean
EmulatorClientSocket,6,7.790063967679489,Clean
EmulatorConfig,3,7.790063967679489,Clean
Mode,1,7.790063967679489,Clean
EmulatorGyroEvent,3,7.790063967679489,Clean
EmulatorAccelEvent,3,7.790063967679489,Clean
EmulatorTouchEvent,7,7.790063967679489,Clean
Action,1,7.790063967679489,Clean
Pointer,9,7.790063967679489,Fault_proner
EmulatorOrientationEvent,3,7.790063967679489,Clean
EmulatorButtonEvent,3,7.790063967679489,Clean
ButtonCode,1,7.790063967679489,Clean
EmulatorManager,7,7.790063967679489,Clean
IControllerProvider,2,7.790063967679489,Clean
BaseVRDevice,8,7.790063967679489,Fault_proner
EditorDevice,5,7.790063967679489,Clean
GvrDevice,7,7.790063967679489,Clean
PhoneEvent,9,7.790063967679489,Fault_proner
Types,2,7.790063967679489,Clean
Type,1,7.790063967679489,Clean
MotionEvent,9,7.790063967679489,Fault_proner
Builder,8,7.790063967679489,Fault_proner
GyroscopeEvent,9,7.790063967679489,Fault_proner
AccelerometerEvent,9,7.790063967679489,Fault_proner
DepthMapEvent,9,7.790063967679489,Fault_proner
OrientationEvent,9,7.790063967679489,Fault_proner
KeyEvent,9,7.790063967679489,Fault_proner
AAMode,1,7.790063967679489,Clean
Antialiasing,6,7.790063967679489,Clean
Bloom,8,7.790063967679489,Fault_proner
LensFlareStyle,1,7.790063967679489,Clean
TweakMode,1,7.790063967679489,Clean
HDRBloomMode,1,7.790063967679489,Clean
BloomScreenBlendMode,1,7.790063967679489,Clean
BloomQuality,1,7.790063967679489,Clean
LensflareStyle34,1,7.790063967679489,Clean
TweakMode34,1,7.790063967679489,Clean
BloomAndFlares,8,7.790063967679489,Fault_proner
BloomOptimized,4,7.790063967679489,Clean
Resolution,1,7.790063967679489,Clean
BlurType,1,7.790063967679489,Clean
Blur,3,7.790063967679489,Clean
BlurOptimized,4,7.790063967679489,Clean
CameraMotionBlur,8,7.790063967679489,Fault_proner
MotionBlurFilter,1,7.790063967679489,Clean
ColorCorrectionCurves,8,7.790063967679489,Fault_proner
ColorCorrectionMode,1,7.790063967679489,Clean
ColorCorrectionLookup,6,7.790063967679489,Clean
ColorCorrectionRamp,1,7.790063967679489,Clean
ContrastEnhance,3,7.790063967679489,Clean
ContrastStretch,6,7.790063967679489,Clean
CreaseShading,3,7.790063967679489,Clean
DepthOfField,8,7.790063967679489,Fault_proner
BlurSampleCount,1,7.790063967679489,Clean
DepthOfFieldDeprecated,8,7.790063967679489,Fault_proner
Dof34QualitySetting,1,7.790063967679489,Clean
DofResolution,1,7.790063967679489,Clean
DofBlurriness,1,7.790063967679489,Clean
BokehDestination,1,7.790063967679489,Clean
EdgeDetection,6,7.790063967679489,Clean
EdgeDetectMode,1,7.790063967679489,Clean
Fisheye,2,7.790063967679489,Clean
GlobalFog,3,7.790063967679489,Clean
Grayscale,2,7.790063967679489,Clean
ImageEffectBase,2,7.790063967679489,Clean
ImageEffects,1,7.790063967679489,Clean
MotionBlur,3,7.790063967679489,Clean
NoiseAndGrain,6,7.790063967679489,Clean
NoiseAndScratches,3,7.790063967679489,Clean
PostEffectsBase,5,7.790063967679489,Clean
PostEffectsHelper,2,7.790063967679489,Clean
Quads,2,7.790063967679489,Clean
ScreenOverlay,4,7.790063967679489,Clean
OverlayBlendMode,1,7.790063967679489,Clean
ScreenSpaceAmbientObscurance,4,7.790063967679489,Clean
ScreenSpaceAmbientOcclusion,6,7.790063967679489,Clean
SSAOSamples,1,7.790063967679489,Clean
SepiaTone,1,7.790063967679489,Clean
SunShafts,6,7.790063967679489,Clean
SunShaftsResolution,1,7.790063967679489,Clean
ShaftsScreenBlendMode,1,7.790063967679489,Clean
TiltShift,4,7.790063967679489,Clean
TiltShiftMode,1,7.790063967679489,Clean
TiltShiftQuality,1,7.790063967679489,Clean
Tonemapping,8,7.790063967679489,Fault_proner
TonemapperType,1,7.790063967679489,Clean
AdaptiveTexSize,1,7.790063967679489,Clean
Triangles,1,7.790063967679489,Clean
Twirl,3,7.790063967679489,Clean
VignetteAndChromaticAberration,5,7.790063967679489,Clean
AberrationMode,1,7.790063967679489,Clean
Vortex,3,7.790063967679489,Clean
AntialiasingEditor,2,7.790063967679489,Clean
BloomAndFlaresEditor,3,7.790063967679489,Clean
BloomEditor,3,7.790063967679489,Clean
CameraMotionBlurEditor,2,7.790063967679489,Clean
ColorCorrectionCurvesEditor,4,7.790063967679489,Clean
ColorCorrectionLookupEditor,2,7.790063967679489,Clean
CreaseShadingEditor,2,7.790063967679489,Clean
DepthOfFieldDeprecatedEditor,3,7.790063967679489,Clean
DepthOfFieldEditor,4,7.790063967679489,Clean
EdgeDetectionEditor,1,7.790063967679489,Clean
NoiseAndGrainEditor,2,7.790063967679489,Clean
SunShaftsEditor,2,7.790063967679489,Clean
TonemappingEditor,2,7.790063967679489,Clean
VignetteAndChromaticAberrationEditor,1,7.790063967679489,Clean
