Component,Threshold,Cutoff,Status
AutoPlayVideo,2,7.072222222222223,Clean
Vector3Event,0,7.072222222222223,Clean
Vector2Event,0,7.072222222222223,Clean
FloatEvent,0,7.072222222222223,Clean
BoolEvent,0,7.072222222222223,Clean
ButtonEvent,0,7.072222222222223,Clean
TouchPadEvent,0,7.072222222222223,Clean
TransformEvent,0,7.072222222222223,Clean
GameObjectEvent,0,7.072222222222223,Clean
PositionSwapper,2,7.072222222222223,Clean
ToggleAction,2,7.072222222222223,Clean
BaseVRDevice,7,7.072222222222223,Clean
EditorDevice,4,7.072222222222223,Clean
GvrDevice,6,7.072222222222223,Clean
EmulatorClientSocket,5,7.072222222222223,Clean
EmulatorConfig,4,7.072222222222223,Clean
Mode,1,7.072222222222223,Clean
EmulatorGyroEvent,3,7.072222222222223,Clean
EmulatorAccelEvent,3,7.072222222222223,Clean
EmulatorTouchEvent,4,7.072222222222223,Clean
Action,1,7.072222222222223,Clean
Pointer,9,7.072222222222223,Fault_proner
EmulatorOrientationEvent,3,7.072222222222223,Clean
EmulatorButtonEvent,3,7.072222222222223,Clean
ButtonCode,1,7.072222222222223,Clean
EmulatorManager,5,7.072222222222223,Clean
PhoneEvent,9,7.072222222222223,Fault_proner
Types,2,7.072222222222223,Clean
Type,1,7.072222222222223,Clean
MotionEvent,9,7.072222222222223,Fault_proner
Builder,8,7.072222222222223,Fault_proner
GyroscopeEvent,9,7.072222222222223,Fault_proner
AccelerometerEvent,9,7.072222222222223,Fault_proner
DepthMapEvent,9,7.072222222222223,Fault_proner
OrientationEvent,9,7.072222222222223,Fault_proner
KeyEvent,9,7.072222222222223,Fault_proner
