Component,Threshold,Cutoff,Status
HeadBob,6,7.9052799657730475,Clean
MouseLook,8,7.9052799657730475,Fault_proner
RigidbodyFirstPersonController,8,7.9052799657730475,Fault_proner
MovementSettings,7,7.9052799657730475,Clean
AdvancedSettings,3,7.9052799657730475,Clean
Ball,6,7.9052799657730475,Clean
BallUserControl,5,7.9052799657730475,Clean
AICharacterControl,6,7.9052799657730475,Clean
ThirdPersonCharacter,6,7.9052799657730475,Clean
ThirdPersonUserControl,5,7.9052799657730475,Clean
AxisTouchButton,7,7.9052799657730475,Clean
ButtonHandler,5,7.9052799657730475,Clean
CrossPlatformInputManager,8,7.9052799657730475,Fault_proner
ActiveInputMethod,1,7.9052799657730475,Clean
VirtualAxis,6,7.9052799657730475,Clean
VirtualButton,7,7.9052799657730475,Clean
InputAxisScrollbar,3,7.9052799657730475,Clean
Joystick,7,7.9052799657730475,Clean
AxisOption,1,7.9052799657730475,Clean
MobileControlRig,3,7.9052799657730475,Clean
TiltInput,6,7.9052799657730475,Clean
AxisOptions,0,7.9052799657730475,Clean
AxisMapping,2,7.9052799657730475,Clean
MappingType,0,7.9052799657730475,Clean
TiltInputAxisStylePropertyDrawer,3,7.9052799657730475,Clean
TouchPad,7,7.9052799657730475,Clean
ControlStyle,1,7.9052799657730475,Clean
VirtualInput,9,7.9052799657730475,Fault_proner
MobileInput,6,7.9052799657730475,Clean
StandaloneInput,5,7.9052799657730475,Clean
AAMode,1,7.9052799657730475,Clean
Antialiasing,9,7.9052799657730475,Fault_proner
Bloom,9,7.9052799657730475,Fault_proner
LensFlareStyle,1,7.9052799657730475,Clean
TweakMode,1,7.9052799657730475,Clean
HDRBloomMode,1,7.9052799657730475,Clean
BloomScreenBlendMode,1,7.9052799657730475,Clean
BloomQuality,1,7.9052799657730475,Clean
LensflareStyle34,1,7.9052799657730475,Clean
TweakMode34,1,7.9052799657730475,Clean
BloomAndFlares,9,7.9052799657730475,Fault_proner
BloomOptimized,8,7.9052799657730475,Fault_proner
Resolution,1,7.9052799657730475,Clean
BlurType,1,7.9052799657730475,Clean
Blur,7,7.9052799657730475,Clean
BlurOptimized,8,7.9052799657730475,Fault_proner
CameraMotionBlur,9,7.9052799657730475,Fault_proner
MotionBlurFilter,1,7.9052799657730475,Clean
ColorCorrectionCurves,9,7.9052799657730475,Fault_proner
ColorCorrectionMode,1,7.9052799657730475,Clean
ColorCorrectionLookup,8,7.9052799657730475,Fault_proner
ColorCorrectionRamp,1,7.9052799657730475,Clean
ContrastEnhance,7,7.9052799657730475,Clean
ContrastStretch,6,7.9052799657730475,Clean
CreaseShading,7,7.9052799657730475,Clean
DepthOfField,9,7.9052799657730475,Fault_proner
BlurSampleCount,1,7.9052799657730475,Clean
DepthOfFieldDeprecated,9,7.9052799657730475,Fault_proner
Dof34QualitySetting,1,7.9052799657730475,Clean
DofResolution,1,7.9052799657730475,Clean
DofBlurriness,1,7.9052799657730475,Clean
BokehDestination,1,7.9052799657730475,Clean
EdgeDetection,8,7.9052799657730475,Fault_proner
EdgeDetectMode,1,7.9052799657730475,Clean
Fisheye,7,7.9052799657730475,Clean
GlobalFog,7,7.9052799657730475,Clean
Grayscale,2,7.9052799657730475,Clean
ImageEffectBase,6,7.9052799657730475,Clean
ImageEffects,5,7.9052799657730475,Clean
MotionBlur,7,7.9052799657730475,Clean
NoiseAndGrain,8,7.9052799657730475,Fault_proner
NoiseAndScratches,6,7.9052799657730475,Clean
PostEffectsBase,7,7.9052799657730475,Clean
PostEffectsHelper,3,7.9052799657730475,Clean
Quads,5,7.9052799657730475,Clean
ScreenOverlay,8,7.9052799657730475,Fault_proner
OverlayBlendMode,1,7.9052799657730475,Clean
ScreenSpaceAmbientObscurance,7,7.9052799657730475,Clean
ScreenSpaceAmbientOcclusion,6,7.9052799657730475,Clean
SSAOSamples,1,7.9052799657730475,Clean
SepiaTone,1,7.9052799657730475,Clean
SunShafts,9,7.9052799657730475,Fault_proner
SunShaftsResolution,1,7.9052799657730475,Clean
ShaftsScreenBlendMode,1,7.9052799657730475,Clean
TiltShift,8,7.9052799657730475,Fault_proner
TiltShiftMode,1,7.9052799657730475,Clean
TiltShiftQuality,1,7.9052799657730475,Clean
Tonemapping,9,7.9052799657730475,Fault_proner
TonemapperType,1,7.9052799657730475,Clean
AdaptiveTexSize,1,7.9052799657730475,Clean
Triangles,3,7.9052799657730475,Clean
Twirl,4,7.9052799657730475,Clean
VignetteAndChromaticAberration,8,7.9052799657730475,Fault_proner
AberrationMode,1,7.9052799657730475,Clean
Vortex,4,7.9052799657730475,Clean
AfterburnerPhysicsForce,5,7.9052799657730475,Clean
ExplosionFireAndDebris,6,7.9052799657730475,Clean
ExplosionPhysicsForce,2,7.9052799657730475,Clean
Explosive,7,7.9052799657730475,Clean
ExtinguishableParticleSystem,3,7.9052799657730475,Clean
FireLight,4,7.9052799657730475,Clean
Hose,3,7.9052799657730475,Clean
ParticleSystemMultiplier,1,7.9052799657730475,Clean
SmokeParticles,0,7.9052799657730475,Clean
WaterHoseParticles,5,7.9052799657730475,Clean
ActivateTrigger,6,7.9052799657730475,Clean
Mode,1,7.9052799657730475,Clean
AutoMobileShaderSwitch,1,7.9052799657730475,Clean
ReplacementDefinition,1,7.9052799657730475,Clean
ReplacementList,1,7.9052799657730475,Clean
ReplacementListDrawer,4,7.9052799657730475,Clean
AutoMoveAndRotate,6,7.9052799657730475,Clean
Vector3andSpace,2,7.9052799657730475,Clean
CameraRefocus,6,7.9052799657730475,Clean
CurveControlledBob,7,7.9052799657730475,Clean
DragRigidbody,4,7.9052799657730475,Clean
DynamicShadowSettings,5,7.9052799657730475,Clean
FollowTarget,1,7.9052799657730475,Clean
FOVKick,6,7.9052799657730475,Clean
FPSCounter,3,7.9052799657730475,Clean
LerpControlledBob,7,7.9052799657730475,Clean
ObjectResetter,6,7.9052799657730475,Clean
ParticleSystemDestroyer,6,7.9052799657730475,Clean
PlatformSpecificContent,5,7.9052799657730475,Clean
BuildTargetGroup,1,7.9052799657730475,Clean
SimpleActivatorMenu,5,7.9052799657730475,Clean
SimpleMouseRotator,6,7.9052799657730475,Clean
SmoothFollow,4,7.9052799657730475,Clean
TimedObjectActivator,4,7.9052799657730475,Clean
Action,0,7.9052799657730475,Clean
Entry,3,7.9052799657730475,Clean
Entries,1,7.9052799657730475,Clean
EntriesDrawer,5,7.9052799657730475,Clean
TimedObjectDestructor,2,7.9052799657730475,Clean
WaypointCircuit,8,7.9052799657730475,Fault_proner
WaypointList,2,7.9052799657730475,Clean
RoutePoint,3,7.9052799657730475,Clean
WaypointListDrawer,5,7.9052799657730475,Clean
TransformNameComparer,1,7.9052799657730475,Clean
WaypointProgressTracker,7,7.9052799657730475,Clean
ProgressStyle,1,7.9052799657730475,Clean
SocketStatus,0,7.9052799657730475,Clean
DataVersion,3,7.9052799657730475,Clean
BvhDataHeader,3,7.9052799657730475,Clean
CalcDataHeader,3,7.9052799657730475,Clean
OptDataHeader,3,7.9052799657730475,Clean
SensorCombinationModes,0,7.9052799657730475,Clean
NeuronDataReader,4,7.9052799657730475,Clean
MicRecorder,7,7.9052799657730475,Clean
SendToGoogle,9,7.9052799657730475,Fault_proner
LanguageEnum,1,7.9052799657730475,Clean
CrossPlatformInitialize,3,7.9052799657730475,Clean
GlobalScripts,5,7.9052799657730475,Clean
AntialiasingEditor,6,7.9052799657730475,Clean
BloomAndFlaresEditor,6,7.9052799657730475,Clean
BloomEditor,6,7.9052799657730475,Clean
CameraMotionBlurEditor,6,7.9052799657730475,Clean
ColorCorrectionCurvesEditor,6,7.9052799657730475,Clean
ColorCorrectionLookupEditor,5,7.9052799657730475,Clean
DepthOfFieldDeprecatedEditor,6,7.9052799657730475,Clean
DepthOfFieldEditor,6,7.9052799657730475,Clean
EdgeDetectionEditor,5,7.9052799657730475,Clean
NoiseAndGrainEditor,6,7.9052799657730475,Clean
SunShaftsEditor,6,7.9052799657730475,Clean
TonemappingEditor,6,7.9052799657730475,Clean
