Component,Threshold,Cutoff,Status
FirstPersonController,5,8.023920751399986,Clean
HeadBob,6,8.023920751399986,Clean
MouseLook,8,8.023920751399986,Clean
RigidbodyFirstPersonController,8,8.023920751399986,Clean
MovementSettings,7,8.023920751399986,Clean
AdvancedSettings,3,8.023920751399986,Clean
AxisTouchButton,7,8.023920751399986,Clean
ButtonHandler,6,8.023920751399986,Clean
CrossPlatformInputManager,8,8.023920751399986,Clean
ActiveInputMethod,1,8.023920751399986,Clean
VirtualAxis,6,8.023920751399986,Clean
VirtualButton,7,8.023920751399986,Clean
InputAxisScrollbar,4,8.023920751399986,Clean
Joystick,7,8.023920751399986,Clean
AxisOption,1,8.023920751399986,Clean
MobileControlRig,3,8.023920751399986,Clean
TiltInput,6,8.023920751399986,Clean
AxisOptions,0,8.023920751399986,Clean
AxisMapping,3,8.023920751399986,Clean
MappingType,0,8.023920751399986,Clean
TiltInputAxisStylePropertyDrawer,3,8.023920751399986,Clean
TouchPad,7,8.023920751399986,Clean
ControlStyle,1,8.023920751399986,Clean
VirtualInput,9,8.023920751399986,Fault_proner
MobileInput,6,8.023920751399986,Clean
StandaloneInput,5,8.023920751399986,Clean
AfterburnerPhysicsForce,5,8.023920751399986,Clean
ExplosionFireAndDebris,6,8.023920751399986,Clean
ExplosionPhysicsForce,3,8.023920751399986,Clean
Explosive,7,8.023920751399986,Clean
ExtinguishableParticleSystem,5,8.023920751399986,Clean
FireLight,5,8.023920751399986,Clean
Hose,3,8.023920751399986,Clean
ParticleSystemMultiplier,2,8.023920751399986,Clean
SmokeParticles,1,8.023920751399986,Clean
WaterHoseParticles,5,8.023920751399986,Clean
ActivateTrigger,6,8.023920751399986,Clean
Mode,1,8.023920751399986,Clean
AutoMobileShaderSwitch,1,8.023920751399986,Clean
ReplacementDefinition,2,8.023920751399986,Clean
ReplacementList,2,8.023920751399986,Clean
ReplacementListDrawer,5,8.023920751399986,Clean
AutoMoveAndRotate,6,8.023920751399986,Clean
Vector3andSpace,3,8.023920751399986,Clean
CameraRefocus,6,8.023920751399986,Clean
CurveControlledBob,7,8.023920751399986,Clean
DragRigidbody,4,8.023920751399986,Clean
DynamicShadowSettings,5,8.023920751399986,Clean
FollowTarget,2,8.023920751399986,Clean
FOVKick,7,8.023920751399986,Clean
FPSCounter,4,8.023920751399986,Clean
LerpControlledBob,7,8.023920751399986,Clean
ObjectResetter,6,8.023920751399986,Clean
ParticleSystemDestroyer,6,8.023920751399986,Clean
PlatformSpecificContent,5,8.023920751399986,Clean
BuildTargetGroup,1,8.023920751399986,Clean
SimpleActivatorMenu,6,8.023920751399986,Clean
SimpleMouseRotator,6,8.023920751399986,Clean
SmoothFollow,4,8.023920751399986,Clean
TimedObjectActivator,5,8.023920751399986,Clean
Action,0,8.023920751399986,Clean
Entry,3,8.023920751399986,Clean
Entries,2,8.023920751399986,Clean
EntriesDrawer,6,8.023920751399986,Clean
TimedObjectDestructor,3,8.023920751399986,Clean
WaypointCircuit,8,8.023920751399986,Clean
WaypointList,3,8.023920751399986,Clean
RoutePoint,4,8.023920751399986,Clean
WaypointListDrawer,6,8.023920751399986,Clean
TransformNameComparer,1,8.023920751399986,Clean
WaypointProgressTracker,8,8.023920751399986,Clean
ProgressStyle,1,8.023920751399986,Clean
CrossPlatformInitialize,4,8.023920751399986,Clean
