Component,Threshold,Cutoff,Status
DirectionResource,8,8.690888119953865,Clean
Directions,4,8.690888119953865,Clean
Overview,2,8.690888119953865,Clean
DirectionsResponse,2,8.690888119953865,Clean
Intersection,1,8.690888119953865,Clean
Leg,1,8.690888119953865,Clean
Maneuver,1,8.690888119953865,Clean
Route,1,8.690888119953865,Clean
Step,1,8.690888119953865,Clean
Waypoint,1,8.690888119953865,Clean
RoutingProfile,3,8.690888119953865,Clean
ForwardGeocodeResource,7,8.690888119953865,Clean
Geocoder,4,8.690888119953865,Clean
GeocodeResource<T>,4,8.690888119953865,Clean
Feature,3,8.690888119953865,Clean
GeocodeResponse,2,8.690888119953865,Clean
ReverseGeocodeResponse,3,8.690888119953865,Clean
ForwardGeocodeResponse,3,8.690888119953865,Clean
Geometry,1,8.690888119953865,Clean
ReverseGeocodeResource,3,8.690888119953865,Clean
CanonicalTileId,8,8.690888119953865,Clean
ClassicRasterTile,2,8.690888119953865,Clean
ClassicRetinaRasterTile,1,8.690888119953865,Clean
Map<T>,9,8.690888119953865,Fault_proner
MapUtils,1,8.690888119953865,Clean
RasterTile,4,8.690888119953865,Clean
RawPngRasterTile,2,8.690888119953865,Clean
RetinaRasterTile,1,8.690888119953865,Clean
Tile,10,8.690888119953865,Fault_proner
State,1,8.690888119953865,Clean
Parameters,4,8.690888119953865,Clean
TileCover,4,8.690888119953865,Clean
TileResource,7,8.690888119953865,Clean
UnwrappedTileId,5,8.690888119953865,Clean
VectorTile,5,8.690888119953865,Clean
CachingWebFileSource,7,8.690888119953865,Clean
MemoryCacheAsyncRequest,3,8.690888119953865,Clean
DiskCache,4,8.690888119953865,Clean
CacheItem,3,8.690888119953865,Clean
ICache,2,8.690888119953865,Clean
MemoryCache,4,8.690888119953865,Clean
FileSource,7,8.690888119953865,Clean
IAsyncRequest,3,8.690888119953865,Clean
IAsyncRequestFactory,1,8.690888119953865,Clean
IFileSource,2,8.690888119953865,Clean
IResource,1,8.690888119953865,Clean
Resource,3,8.690888119953865,Clean
Response,9,8.690888119953865,Fault_proner
BearingFilter,3,8.690888119953865,Clean
Compression,1,8.690888119953865,Clean
Constants,2,8.690888119953865,Clean
Vector2dBounds,8,8.690888119953865,Clean
IObservable,1,8.690888119953865,Clean
IObserver,2,8.690888119953865,Clean
PolylineUtils,4,8.690888119953865,Clean
UnixTimestampUtils,1,8.690888119953865,Clean
Mathd,7,8.690888119953865,Clean
RectD,4,8.690888119953865,Clean
Vector2d,8,8.690888119953865,Clean
BboxToVector2dBoundsConverter,3,8.690888119953865,Clean
JsonConverters,2,8.690888119953865,Clean
LonLatToVector2dConverter,3,8.690888119953865,Clean
PolylineToVector2dListConverter,3,8.690888119953865,Clean
EnumExtensions,0,8.690888119953865,Clean
VectorTileExtensions,3,8.690888119953865,Clean
VectorTileFeatureExtensions,1,8.690888119953865,Clean
InternalClipper,1,8.690888119953865,Clean
DoublePoint,4,8.690888119953865,Clean
PolyTree,2,8.690888119953865,Clean
PolyNode,4,8.690888119953865,Clean
Int128,5,8.690888119953865,Clean
IntPoint,5,8.690888119953865,Clean
IntRect,3,8.690888119953865,Clean
ClipType,0,8.690888119953865,Clean
PolyType,0,8.690888119953865,Clean
PolyFillType,0,8.690888119953865,Clean
JoinType,0,8.690888119953865,Clean
EndType,0,8.690888119953865,Clean
EdgeSide,0,8.690888119953865,Clean
Direction,0,8.690888119953865,Clean
TEdge,1,8.690888119953865,Clean
IntersectNode,1,8.690888119953865,Clean
MyIntersectNodeSort,0,8.690888119953865,Clean
LocalMinima,1,8.690888119953865,Clean
Scanbeam,1,8.690888119953865,Clean
Maxima,1,8.690888119953865,Clean
OutRec,1,8.690888119953865,Clean
OutPt,1,8.690888119953865,Clean
Join,1,8.690888119953865,Clean
ClipperBase,7,8.690888119953865,Clean
Clipper,7,8.690888119953865,Clean
NodeType,0,8.690888119953865,Clean
ClipperOffset,6,8.690888119953865,Clean
ClipperException,0,8.690888119953865,Clean
DecodeGeometry,5,8.690888119953865,Clean
GeomType,1,8.690888119953865,Clean
LatLng,2,8.690888119953865,Clean
Point2d,7,8.690888119953865,Clean
UtilGeom,3,8.690888119953865,Clean
WireTypes,0,8.690888119953865,Clean
Commands,0,8.690888119953865,Clean
TileType,0,8.690888119953865,Clean
LayerType,0,8.690888119953865,Clean
FeatureType,0,8.690888119953865,Clean
ValueType,0,8.690888119953865,Clean
ConstantsAsDictionary,2,8.690888119953865,Clean
