Component,Threshold,Cutoff,Status
AppButtonInput,2,6.049999999999999,Clean
Vector3Event,0,6.049999999999999,Clean
Vector2Event,0,6.049999999999999,Clean
FloatEvent,0,6.049999999999999,Clean
BoolEvent,0,6.049999999999999,Clean
ButtonEvent,1,6.049999999999999,Clean
TouchPadEvent,0,6.049999999999999,Clean
TransformEvent,0,6.049999999999999,Clean
GameObjectEvent,0,6.049999999999999,Clean
AutoPlayVideo,2,6.049999999999999,Clean
PositionSwapper,3,6.049999999999999,Clean
ToggleAction,2,6.049999999999999,Clean
BaseAndroidDevice,7,6.049999999999999,Fault_proner
BaseVRDevice,8,6.049999999999999,Fault_proner
EditorDevice,4,6.049999999999999,Clean
GvrDevice,8,6.049999999999999,Fault_proner
UnityVRDevice,4,6.049999999999999,Clean
ControllerProviderFactory,1,6.049999999999999,Clean
AndroidNativeControllerProvider,6,6.049999999999999,Clean
gvr_quat,2,6.049999999999999,Clean
gvr_vec3,1,6.049999999999999,Clean
gvr_vec2,1,6.049999999999999,Clean
DummyControllerProvider,3,6.049999999999999,Clean
EmulatorControllerProvider,6,6.049999999999999,Clean
ControllerState,2,6.049999999999999,Clean
EmulatorClientSocket,6,6.049999999999999,Clean
EmulatorConfig,4,6.049999999999999,Clean
Mode,1,6.049999999999999,Clean
EmulatorGyroEvent,3,6.049999999999999,Clean
EmulatorAccelEvent,3,6.049999999999999,Clean
EmulatorTouchEvent,5,6.049999999999999,Clean
Action,1,6.049999999999999,Clean
Pointer,2,6.049999999999999,Clean
EmulatorOrientationEvent,3,6.049999999999999,Clean
EmulatorButtonEvent,3,6.049999999999999,Clean
ButtonCode,1,6.049999999999999,Clean
EmulatorManager,6,6.049999999999999,Clean
IControllerProvider,2,6.049999999999999,Clean
PhoneEvent,8,6.049999999999999,Fault_proner
Types,1,6.049999999999999,Clean
Type,0,6.049999999999999,Clean
MotionEvent,8,6.049999999999999,Fault_proner
Pointer_duplicated,8,6.049999999999999,Fault_proner
Builder,7,6.049999999999999,Fault_proner
GyroscopeEvent,8,6.049999999999999,Fault_proner
AccelerometerEvent,8,6.049999999999999,Fault_proner
DepthMapEvent,8,6.049999999999999,Fault_proner
OrientationEvent,8,6.049999999999999,Fault_proner
KeyEvent,8,6.049999999999999,Fault_proner
PhoneEvent_duplicated,9,6.049999999999999,Fault_proner
Types_duplicated,2,6.049999999999999,Clean
Type_duplicated,1,6.049999999999999,Clean
MotionEvent_duplicated,9,6.049999999999999,Fault_proner
Pointer_duplicated_duplicated,9,6.049999999999999,Fault_proner
Builder_duplicated,8,6.049999999999999,Fault_proner
GyroscopeEvent_duplicated,9,6.049999999999999,Fault_proner
AccelerometerEvent_duplicated,9,6.049999999999999,Fault_proner
DepthMapEvent_duplicated,9,6.049999999999999,Fault_proner
OrientationEvent_duplicated,9,6.049999999999999,Fault_proner
KeyEvent_duplicated,9,6.049999999999999,Fault_proner
