Component,Threshold,Cutoff,Status
KVR_AvionicsComputer,5,6.567738981727105,Clean
KVR_Button,9,6.567738981727105,Fault_proner
ActuationType,0,6.567738981727105,Clean
State,1,6.567738981727105,Clean
StateInput,1,6.567738981727105,Clean
FSMState,2,6.567738981727105,Clean
KVR_Cover,9,6.567738981727105,Fault_proner
IActionableCollider,3,6.567738981727105,Clean
KVR_Label,6,6.567738981727105,Clean
KVR_Switch,10,6.567738981727105,Fault_proner
KVR_SwitchTwoState,8,6.567738981727105,Fault_proner
KVR_SwitchThreeState,8,6.567738981727105,Fault_proner
KVR_ActionableCollider,5,6.567738981727105,Clean
KVR_SwitchMomentary,7,6.567738981727105,Fault_proner
KVR_ExternalCamera,6,6.567738981727105,Clean
Core,8,6.567738981727105,Fault_proner
AppGUI,8,6.567738981727105,Fault_proner
TextFieldFloat,4,6.567738981727105,Clean
AssetLoader,8,6.567738981727105,Fault_proner
DeviceManager,9,6.567738981727105,Fault_proner
Globals,4,6.567738981727105,Clean
Manipulator,8,6.567738981727105,Fault_proner
FingertipManipulator,5,6.567738981727105,Clean
MathUtils,6,6.567738981727105,Clean
Scene,9,6.567738981727105,Fault_proner
Types,0,6.567738981727105,Clean
CameraData,3,6.567738981727105,Clean
Utils,7,6.567738981727105,Fault_proner
ConfigUtils,5,6.567738981727105,Clean
Events,8,6.567738981727105,Fault_proner
Action,3,6.567738981727105,Clean
ActionNoArgs,6,6.567738981727105,Clean
Action<T>,5,6.567738981727105,Clean
"Action<T0,T1>",5,6.567738981727105,Clean
"Action<T0,T1,T2>",5,6.567738981727105,Clean
Event,4,6.567738981727105,Clean
Event<T>,4,6.567738981727105,Clean
"Event<T0,T1>",4,6.567738981727105,Clean
"Event<T0,T1,T2>",4,6.567738981727105,Clean
KVR_ControlStick,9,6.567738981727105,Fault_proner
KVR_DigitalIndicator,6,6.567738981727105,Clean
KVR_Periscope,6,6.567738981727105,Clean
KVR_PushButton,6,6.567738981727105,Clean
KVR_Throttle,9,6.567738981727105,Fault_proner
KVR_ToggleSwitch,6,6.567738981727105,Clean
KVR_ToggleSwitchDouble,9,6.567738981727105,Fault_proner
SwitchState,1,6.567738981727105,Clean
SwitchStateInput,1,6.567738981727105,Clean
SwitchFSMState,1,6.567738981727105,Clean
IVRSystem,3,6.567738981727105,Clean
IVRExtendedDisplay,2,6.567738981727105,Clean
IVRTrackedCamera,3,6.567738981727105,Clean
IVRApplications,3,6.567738981727105,Clean
IVRChaperone,3,6.567738981727105,Clean
IVRChaperoneSetup,3,6.567738981727105,Clean
IVRCompositor,3,6.567738981727105,Clean
IVROverlay,3,6.567738981727105,Clean
IVRRenderModels,3,6.567738981727105,Clean
IVRNotifications,1,6.567738981727105,Clean
IVRSettings,3,6.567738981727105,Clean
IVRScreenshots,3,6.567738981727105,Clean
IVRResources,1,6.567738981727105,Clean
IVRDriverManager,2,6.567738981727105,Clean
CVRSystem,6,6.567738981727105,Clean
PollNextEventUnion,2,6.567738981727105,Clean
GetControllerStateUnion,2,6.567738981727105,Clean
GetControllerStateWithPoseUnion,2,6.567738981727105,Clean
CVRExtendedDisplay,6,6.567738981727105,Clean
CVRTrackedCamera,6,6.567738981727105,Clean
CVRApplications,6,6.567738981727105,Clean
CVRChaperone,6,6.567738981727105,Clean
CVRChaperoneSetup,6,6.567738981727105,Clean
CVRCompositor,6,6.567738981727105,Clean
CVROverlay,6,6.567738981727105,Clean
PollNextOverlayEventUnion,2,6.567738981727105,Clean
CVRRenderModels,6,6.567738981727105,Clean
GetComponentStateUnion,2,6.567738981727105,Clean
CVRNotifications,4,6.567738981727105,Clean
CVRSettings,6,6.567738981727105,Clean
CVRScreenshots,6,6.567738981727105,Clean
CVRResources,4,6.567738981727105,Clean
CVRDriverManager,4,6.567738981727105,Clean
OpenVRInterop,4,6.567738981727105,Clean
EVREye,1,6.567738981727105,Clean
ETextureType,1,6.567738981727105,Clean
EColorSpace,1,6.567738981727105,Clean
ETrackingResult,1,6.567738981727105,Clean
ETrackedDeviceClass,1,6.567738981727105,Clean
ETrackedControllerRole,1,6.567738981727105,Clean
ETrackingUniverseOrigin,1,6.567738981727105,Clean
ETrackedDeviceProperty,2,6.567738981727105,Clean
ETrackedPropertyError,1,6.567738981727105,Clean
EVRSubmitFlags,1,6.567738981727105,Clean
EVRState,0,6.567738981727105,Clean
EVREventType,2,6.567738981727105,Clean
EDeviceActivityLevel,1,6.567738981727105,Clean
EVRButtonId,1,6.567738981727105,Clean
EVRMouseButton,0,6.567738981727105,Clean
EDualAnalogWhich,1,6.567738981727105,Clean
EVRInputError,0,6.567738981727105,Clean
EHiddenAreaMeshType,1,6.567738981727105,Clean
EVRControllerAxisType,1,6.567738981727105,Clean
EVRControllerEventOutputType,0,6.567738981727105,Clean
ECollisionBoundsStyle,0,6.567738981727105,Clean
EVROverlayError,2,6.567738981727105,Clean
EVRApplicationType,1,6.567738981727105,Clean
EVRFirmwareError,1,6.567738981727105,Clean
EVRNotificationError,1,6.567738981727105,Clean
EVRInitError,2,6.567738981727105,Clean
EVRScreenshotType,1,6.567738981727105,Clean
EVRScreenshotPropertyFilenames,1,6.567738981727105,Clean
EVRTrackedCameraError,1,6.567738981727105,Clean
EVRTrackedCameraFrameType,1,6.567738981727105,Clean
EVRApplicationError,1,6.567738981727105,Clean
EVRApplicationProperty,1,6.567738981727105,Clean
EVRApplicationTransitionState,1,6.567738981727105,Clean
ChaperoneCalibrationState,1,6.567738981727105,Clean
EChaperoneConfigFile,1,6.567738981727105,Clean
EChaperoneImportFlags,0,6.567738981727105,Clean
EVRCompositorError,1,6.567738981727105,Clean
EVRCompositorTimingMode,1,6.567738981727105,Clean
VROverlayInputMethod,1,6.567738981727105,Clean
VROverlayTransformType,1,6.567738981727105,Clean
VROverlayFlags,1,6.567738981727105,Clean
VRMessageOverlayResponse,1,6.567738981727105,Clean
EGamepadTextInputMode,0,6.567738981727105,Clean
EGamepadTextInputLineMode,0,6.567738981727105,Clean
EOverlayDirection,1,6.567738981727105,Clean
EVROverlayIntersectionMaskPrimitiveType,1,6.567738981727105,Clean
EVRRenderModelError,1,6.567738981727105,Clean
EVRComponentProperty,0,6.567738981727105,Clean
EVRNotificationType,1,6.567738981727105,Clean
EVRNotificationStyle,1,6.567738981727105,Clean
EVRSettingsError,1,6.567738981727105,Clean
EVRScreenshotError,1,6.567738981727105,Clean
VREvent_Data_t,3,6.567738981727105,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,6.567738981727105,Clean
HmdMatrix34_t,3,6.567738981727105,Clean
HmdMatrix44_t,3,6.567738981727105,Clean
HmdVector3_t,3,6.567738981727105,Clean
HmdVector4_t,2,6.567738981727105,Clean
HmdVector3d_t,2,6.567738981727105,Clean
HmdVector2_t,2,6.567738981727105,Clean
HmdQuaternion_t,2,6.567738981727105,Clean
HmdColor_t,3,6.567738981727105,Clean
HmdQuad_t,4,6.567738981727105,Clean
HmdRect2_t,3,6.567738981727105,Clean
DistortionCoordinates_t,3,6.567738981727105,Clean
Texture_t,4,6.567738981727105,Clean
TrackedDevicePose_t,4,6.567738981727105,Clean
VRTextureBounds_t,3,6.567738981727105,Clean
VRTextureWithPose_t,1,6.567738981727105,Clean
VRTextureDepthInfo_t,4,6.567738981727105,Clean
VRTextureWithDepth_t,1,6.567738981727105,Clean
VRTextureWithPoseAndDepth_t,1,6.567738981727105,Clean
VRVulkanTextureData_t,2,6.567738981727105,Clean
D3D12TextureData_t,2,6.567738981727105,Clean
VREvent_Controller_t,0,6.567738981727105,Clean
VREvent_Mouse_t,2,6.567738981727105,Clean
VREvent_Scroll_t,2,6.567738981727105,Clean
VREvent_TouchPadMove_t,2,6.567738981727105,Clean
VREvent_Notification_t,1,6.567738981727105,Clean
VREvent_Process_t,3,6.567738981727105,Clean
VREvent_Overlay_t,0,6.567738981727105,Clean
VREvent_Status_t,0,6.567738981727105,Clean
VREvent_Keyboard_t,2,6.567738981727105,Clean
VREvent_Ipd_t,0,6.567738981727105,Clean
VREvent_Chaperone_t,1,6.567738981727105,Clean
VREvent_Reserved_t,2,6.567738981727105,Clean
VREvent_PerformanceTest_t,0,6.567738981727105,Clean
VREvent_SeatedZeroPoseReset_t,0,6.567738981727105,Clean
VREvent_Screenshot_t,1,6.567738981727105,Clean
VREvent_ScreenshotProgress_t,0,6.567738981727105,Clean
VREvent_ApplicationLaunch_t,1,6.567738981727105,Clean
VREvent_EditingCameraSurface_t,1,6.567738981727105,Clean
VREvent_MessageOverlay_t,0,6.567738981727105,Clean
VREvent_Property_t,2,6.567738981727105,Clean
VREvent_DualAnalog_t,3,6.567738981727105,Clean
VREvent_HapticVibration_t,2,6.567738981727105,Clean
VREvent_t,4,6.567738981727105,Clean
VREvent_t_Packed,6,6.567738981727105,Clean
HiddenAreaMesh_t,2,6.567738981727105,Clean
VRControllerAxis_t,2,6.567738981727105,Clean
VRControllerState_t,4,6.567738981727105,Clean
VRControllerState_t_Packed,7,6.567738981727105,Fault_proner
Compositor_OverlaySettings,3,6.567738981727105,Clean
CameraVideoStreamFrameHeader_t,4,6.567738981727105,Clean
DriverDirectMode_FrameTiming,2,6.567738981727105,Clean
AppOverrideKeys_t,2,6.567738981727105,Clean
Compositor_FrameTiming,5,6.567738981727105,Clean
Compositor_CumulativeStats,3,6.567738981727105,Clean
VROverlayIntersectionParams_t,4,6.567738981727105,Clean
VROverlayIntersectionResults_t,4,6.567738981727105,Clean
IntersectionMaskRectangle_t,2,6.567738981727105,Clean
IntersectionMaskCircle_t,2,6.567738981727105,Clean
VROverlayIntersectionMaskPrimitive_t,3,6.567738981727105,Clean
RenderModel_ComponentState_t,4,6.567738981727105,Clean
RenderModel_Vertex_t,3,6.567738981727105,Clean
RenderModel_TextureMap_t,3,6.567738981727105,Clean
RenderModel_TextureMap_t_Packed,5,6.567738981727105,Clean
RenderModel_t,3,6.567738981727105,Clean
RenderModel_t_Packed,5,6.567738981727105,Clean
RenderModel_ControllerMode_State_t,1,6.567738981727105,Clean
NotificationBitmap_t,3,6.567738981727105,Clean
COpenVRContext,8,6.567738981727105,Fault_proner
OpenVR,9,6.567738981727105,Fault_proner
