Component,Threshold,Cutoff,Status
AndroidDevice,5,7.1613090206496794,Clean
BaseAndroidDevice,8,7.1613090206496794,Fault_proner
BaseVRDevice,8,7.1613090206496794,Fault_proner
EditorDevice,6,7.1613090206496794,Clean
GvrDevice,9,7.1613090206496794,Fault_proner
ControllerProviderFactory,1,7.1613090206496794,Clean
AndroidNativeControllerProvider,7,7.1613090206496794,Clean
gvr_quat,2,7.1613090206496794,Clean
gvr_vec3,1,7.1613090206496794,Clean
gvr_vec2,1,7.1613090206496794,Clean
DummyControllerProvider,4,7.1613090206496794,Clean
EmulatorControllerProvider,8,7.1613090206496794,Fault_proner
ControllerState,2,7.1613090206496794,Clean
EmulatorClientSocket,6,7.1613090206496794,Clean
EmulatorConfig,4,7.1613090206496794,Clean
Mode,1,7.1613090206496794,Clean
EmulatorGyroEvent,3,7.1613090206496794,Clean
EmulatorAccelEvent,3,7.1613090206496794,Clean
EmulatorTouchEvent,8,7.1613090206496794,Fault_proner
Action,0,7.1613090206496794,Clean
Pointer,9,7.1613090206496794,Fault_proner
EmulatorOrientationEvent,3,7.1613090206496794,Clean
EmulatorButtonEvent,3,7.1613090206496794,Clean
ButtonCode,1,7.1613090206496794,Clean
EmulatorManager,8,7.1613090206496794,Fault_proner
IControllerProvider,2,7.1613090206496794,Clean
PhoneEvent,9,7.1613090206496794,Fault_proner
Types,2,7.1613090206496794,Clean
Type,1,7.1613090206496794,Clean
MotionEvent,9,7.1613090206496794,Fault_proner
Builder,8,7.1613090206496794,Fault_proner
GyroscopeEvent,9,7.1613090206496794,Fault_proner
AccelerometerEvent,9,7.1613090206496794,Fault_proner
DepthMapEvent,9,7.1613090206496794,Fault_proner
OrientationEvent,9,7.1613090206496794,Fault_proner
KeyEvent,9,7.1613090206496794,Fault_proner
AAMode,1,7.1613090206496794,Clean
Antialiasing,7,7.1613090206496794,Clean
Bloom,7,7.1613090206496794,Clean
LensFlareStyle,1,7.1613090206496794,Clean
TweakMode,1,7.1613090206496794,Clean
HDRBloomMode,1,7.1613090206496794,Clean
BloomScreenBlendMode,1,7.1613090206496794,Clean
BloomQuality,1,7.1613090206496794,Clean
