Component,Threshold,Cutoff,Status
BaseAndroidDevice,2,6.890883190883192,Clean
BaseVRDevice,6,6.890883190883192,Clean
EditorDevice,4,6.890883190883192,Clean
GvrDevice,5,6.890883190883192,Clean
UnityVRDevice,3,6.890883190883192,Clean
ControllerProviderFactory,1,6.890883190883192,Clean
AndroidNativeControllerProvider,6,6.890883190883192,Clean
gvr_quat,0,6.890883190883192,Clean
gvr_vec3,0,6.890883190883192,Clean
gvr_vec2,0,6.890883190883192,Clean
DummyControllerProvider,1,6.890883190883192,Clean
EmulatorControllerProvider,4,6.890883190883192,Clean
ControllerState,2,6.890883190883192,Clean
EmulatorClientSocket,4,6.890883190883192,Clean
EmulatorConfig,2,6.890883190883192,Clean
Mode,1,6.890883190883192,Clean
EmulatorGyroEvent,2,6.890883190883192,Clean
EmulatorAccelEvent,2,6.890883190883192,Clean
EmulatorTouchEvent,4,6.890883190883192,Clean
Action,1,6.890883190883192,Clean
Pointer,8,6.890883190883192,Fault_proner
EmulatorOrientationEvent,2,6.890883190883192,Clean
EmulatorButtonEvent,3,6.890883190883192,Clean
ButtonCode,1,6.890883190883192,Clean
EmulatorManager,5,6.890883190883192,Clean
IControllerProvider,1,6.890883190883192,Clean
PhoneEvent,9,6.890883190883192,Fault_proner
Types,2,6.890883190883192,Clean
Type,1,6.890883190883192,Clean
MotionEvent,9,6.890883190883192,Fault_proner
Builder,8,6.890883190883192,Fault_proner
GyroscopeEvent,8,6.890883190883192,Fault_proner
AccelerometerEvent,8,6.890883190883192,Fault_proner
DepthMapEvent,8,6.890883190883192,Fault_proner
OrientationEvent,8,6.890883190883192,Fault_proner
KeyEvent,8,6.890883190883192,Fault_proner
