Component,Threshold,Cutoff,Status
AppButtonInput,2,6.831481907414201,Clean
Vector3Event,0,6.831481907414201,Clean
Vector2Event,0,6.831481907414201,Clean
FloatEvent,0,6.831481907414201,Clean
BoolEvent,0,6.831481907414201,Clean
ButtonEvent,1,6.831481907414201,Clean
TouchPadEvent,0,6.831481907414201,Clean
TransformEvent,0,6.831481907414201,Clean
GameObjectEvent,0,6.831481907414201,Clean
AutoPlayVideo,2,6.831481907414201,Clean
PositionSwapper,3,6.831481907414201,Clean
ToggleAction,2,6.831481907414201,Clean
ControllerProviderFactory,1,6.831481907414201,Clean
DummyControllerProvider,2,6.831481907414201,Clean
EditorControllerProvider,4,6.831481907414201,Clean
EmulatorControllerProvider,6,6.831481907414201,Clean
MouseControllerProvider,7,6.831481907414201,Fault_proner
ControllerState,2,6.831481907414201,Clean
EmulatorClientSocketConnectionState,1,6.831481907414201,Clean
EmulatorClientSocket,6,6.831481907414201,Clean
EmulatorConfig,4,6.831481907414201,Clean
Mode,1,6.831481907414201,Clean
EmulatorGyroEvent,3,6.831481907414201,Clean
EmulatorAccelEvent,3,6.831481907414201,Clean
EmulatorTouchEvent,6,6.831481907414201,Clean
Action,1,6.831481907414201,Clean
Pointer,9,6.831481907414201,Fault_proner
EmulatorOrientationEvent,3,6.831481907414201,Clean
EmulatorButtonEvent,3,6.831481907414201,Clean
ButtonCode,1,6.831481907414201,Clean
EmulatorManager,6,6.831481907414201,Clean
IControllerProvider,2,6.831481907414201,Clean
IKeyboardProvider,2,6.831481907414201,Clean
KeyboardProviderFactory,1,6.831481907414201,Clean
AndroidNativeKeyboardProvider,7,6.831481907414201,Fault_proner
gvr_clock_time_point,2,6.831481907414201,Clean
gvr_recti,3,6.831481907414201,Clean
DummyKeyboardProvider,3,6.831481907414201,Clean
EmulatorKeyboardProvider,6,6.831481907414201,Clean
PhoneEvent,9,6.831481907414201,Fault_proner
Types,2,6.831481907414201,Clean
Type,1,6.831481907414201,Clean
MotionEvent,9,6.831481907414201,Fault_proner
Builder,8,6.831481907414201,Fault_proner
GyroscopeEvent,9,6.831481907414201,Fault_proner
AccelerometerEvent,9,6.831481907414201,Fault_proner
DepthMapEvent,9,6.831481907414201,Fault_proner
OrientationEvent,9,6.831481907414201,Fault_proner
KeyEvent,9,6.831481907414201,Fault_proner
