Component,Threshold,Cutoff,Status
FirstPersonController,6,7.8302900107411375,Clean
HeadBob,6,7.8302900107411375,Clean
MouseLook,8,7.8302900107411375,Fault_proner
RigidbodyFirstPersonController,8,7.8302900107411375,Fault_proner
MovementSettings,7,7.8302900107411375,Clean
AdvancedSettings,3,7.8302900107411375,Clean
AxisTouchButton,7,7.8302900107411375,Clean
ButtonHandler,6,7.8302900107411375,Clean
CrossPlatformInputManager,8,7.8302900107411375,Fault_proner
ActiveInputMethod,1,7.8302900107411375,Clean
VirtualAxis,6,7.8302900107411375,Clean
VirtualButton,7,7.8302900107411375,Clean
InputAxisScrollbar,4,7.8302900107411375,Clean
Joystick,7,7.8302900107411375,Clean
AxisOption,1,7.8302900107411375,Clean
MobileControlRig,3,7.8302900107411375,Clean
TiltInput,6,7.8302900107411375,Clean
AxisOptions,0,7.8302900107411375,Clean
AxisMapping,3,7.8302900107411375,Clean
MappingType,0,7.8302900107411375,Clean
TiltInputAxisStylePropertyDrawer,3,7.8302900107411375,Clean
TouchPad,7,7.8302900107411375,Clean
ControlStyle,1,7.8302900107411375,Clean
VirtualInput,9,7.8302900107411375,Fault_proner
MobileInput,6,7.8302900107411375,Clean
StandaloneInput,5,7.8302900107411375,Clean
ActivateTrigger,6,7.8302900107411375,Clean
Mode,1,7.8302900107411375,Clean
AutoMobileShaderSwitch,1,7.8302900107411375,Clean
ReplacementDefinition,2,7.8302900107411375,Clean
ReplacementList,2,7.8302900107411375,Clean
ReplacementListDrawer,5,7.8302900107411375,Clean
AutoMoveAndRotate,6,7.8302900107411375,Clean
Vector3andSpace,3,7.8302900107411375,Clean
CameraRefocus,6,7.8302900107411375,Clean
CurveControlledBob,7,7.8302900107411375,Clean
DragRigidbody,4,7.8302900107411375,Clean
DynamicShadowSettings,5,7.8302900107411375,Clean
FollowTarget,2,7.8302900107411375,Clean
FOVKick,7,7.8302900107411375,Clean
FPSCounter,4,7.8302900107411375,Clean
LerpControlledBob,7,7.8302900107411375,Clean
ObjectResetter,5,7.8302900107411375,Clean
ParticleSystemDestroyer,6,7.8302900107411375,Clean
PlatformSpecificContent,5,7.8302900107411375,Clean
BuildTargetGroup,1,7.8302900107411375,Clean
SimpleActivatorMenu,5,7.8302900107411375,Clean
SimpleMouseRotator,6,7.8302900107411375,Clean
SmoothFollow,4,7.8302900107411375,Clean
TimedObjectActivator,5,7.8302900107411375,Clean
Action,0,7.8302900107411375,Clean
Entry,3,7.8302900107411375,Clean
Entries,2,7.8302900107411375,Clean
EntriesDrawer,6,7.8302900107411375,Clean
TimedObjectDestructor,3,7.8302900107411375,Clean
WaypointCircuit,8,7.8302900107411375,Fault_proner
WaypointList,3,7.8302900107411375,Clean
RoutePoint,4,7.8302900107411375,Clean
WaypointListDrawer,6,7.8302900107411375,Clean
TransformNameComparer,1,7.8302900107411375,Clean
WaypointProgressTracker,8,7.8302900107411375,Fault_proner
ProgressStyle,1,7.8302900107411375,Clean
CrossPlatformInitialize,4,7.8302900107411375,Clean
