Component,Threshold,Cutoff,Status
ExampleBaseBehaviour,2,8.216615919965202,Clean
ExampleBubble,4,8.216615919965202,Clean
ExampleNavigator,7,8.216615919965202,Clean
ExampleOccurrences,3,8.216615919965202,Clean
ChangeColorOccurrence,4,8.216615919965202,Clean
ExamplePhysics,7,8.216615919965202,Clean
ExampleSlider,6,8.216615919965202,Clean
ExampleSpin,3,8.216615919965202,Clean
ExampleTimeColor,6,8.216615919965202,Clean
AreaClockMode,1,8.216615919965202,Clean
IAreaClock,5,8.216615919965202,Clean
"AreaClock<TCollider,TVector>",8,8.216615919965202,Clean
AreaClock2D,6,8.216615919965202,Clean
AreaClock3D,6,8.216615919965202,Clean
ChronosException,2,8.216615919965202,Clean
ClockBlend,1,8.216615919965202,Clean
Clock,9,8.216615919965202,Fault_proner
IComponentTimeline,5,8.216615919965202,Clean
ComponentTimeline<T>,6,8.216615919965202,Clean
CustomRecorder,5,8.216615919965202,Clean
Snapshot,7,8.216615919965202,Clean
GlobalClock,9,8.216615919965202,Fault_proner
LocalClock,5,8.216615919965202,Clean
DelegateOccurrence<T>,4,8.216615919965202,Clean
ForwardDelegateOccurrence,4,8.216615919965202,Clean
Occurrence,5,8.216615919965202,Clean
Recorder<TSnapshot>,5,8.216615919965202,Clean
DelegatedRecorder,3,8.216615919965202,Clean
IRecorder,3,8.216615919965202,Clean
"RecorderTimeline<TComponent,TSnapshot>",8,8.216615919965202,Clean
Timekeeper,9,8.216615919965202,Fault_proner
TimelineMode,1,8.216615919965202,Clean
Timeline,9,8.216615919965202,Fault_proner
AnimationTimeline,7,8.216615919965202,Clean
AnimatorTimeline,7,8.216615919965202,Clean
AudioSourceTimeline,5,8.216615919965202,Clean
IParticleSystemTimeline,6,8.216615919965202,Clean
NavMeshAgentTimeline,7,8.216615919965202,Clean
NonRewindableParticleSystemTimeline,7,8.216615919965202,Clean
RewindableParticleSystemTimeline,8,8.216615919965202,Clean
State,1,8.216615919965202,Clean
EmissionAction,1,8.216615919965202,Clean
StateEvent,4,8.216615919965202,Clean
EmissionEvent,4,8.216615919965202,Clean
IRigidbodyTimeline,2,8.216615919965202,Clean
"RigidbodyTimeline<TComponent,TSnapshot>",8,8.216615919965202,Clean
RigidbodyTimeline2D,7,8.216615919965202,Clean
RigidbodyTimeline3D,8,8.216615919965202,Clean
TransformTimeline,5,8.216615919965202,Clean
WindZoneTimeline,7,8.216615919965202,Clean
TimeState,1,8.216615919965202,Clean
Severity,1,8.216615919965202,Clean
Singleton<T>,4,8.216615919965202,Clean
AnimatorParameter,6,8.216615919965202,Clean
FilterAttribute,5,8.216615919965202,Clean
SelfTargetedAttribute,1,8.216615919965202,Clean
TypeFamily,2,8.216615919965202,Clean
UnityMember,8,8.216615919965202,Clean
UnityMethod,8,8.216615919965202,Clean
UnityVariable,8,8.216615919965202,Clean
Extensions,1,8.216615919965202,Clean
TypeSerializer,4,8.216615919965202,Clean
CUI_AnimateCurvedFillOnStart,1,8.216615919965202,Clean
CUI_CameraController,3,8.216615919965202,Clean
CUI_ChangeValueOnHold,6,8.216615919965202,Clean
CUI_draggable,5,8.216615919965202,Clean
CUI_GunController,3,8.216615919965202,Clean
CUI_guntarget,5,8.216615919965202,Clean
CUI_inventory_paralax,3,8.216615919965202,Clean
CUI_OrientOnCurvedSpace,2,8.216615919965202,Clean
CUI_PerlinNoisePosition,4,8.216615919965202,Clean
CUI_PerlinNoiseRotation,3,8.216615919965202,Clean
CUI_RaycastToCanvas,2,8.216615919965202,Clean
CUI_RiseChildrenOverTime,4,8.216615919965202,Clean
CUI_TMPChecker,1,8.216615919965202,Clean
CUI_WorldSpaceCursorFollow,2,8.216615919965202,Clean
CUI_WorldSpaceMouseMultipleCanvases,3,8.216615919965202,Clean
CUI_ZChangeOnHover,4,8.216615919965202,Clean
CurvedUIRaycaster,7,8.216615919965202,Clean
CurvedUISettings,8,8.216615919965202,Clean
CurvedUIShape,1,8.216615919965202,Clean
CurvedUIController,1,8.216615919965202,Clean
CurvedUIVertexEffect,8,8.216615919965202,Clean
CalculationMethods,4,8.216615919965202,Clean
CurvedUITMP,1,8.216615919965202,Clean
FirstPersonControllerMAN,7,8.216615919965202,Clean
MouseLookMAN,8,8.216615919965202,Clean
InputDevice,9,8.216615919965202,Fault_proner
managerMain,8,8.216615919965202,Clean
preferences,2,8.216615919965202,Clean
CanvasButton,6,8.216615919965202,Clean
disableAster,1,8.216615919965202,Clean
MenuAnimator,5,8.216615919965202,Clean
MenuButton,6,8.216615919965202,Clean
MenuItemPopout,6,8.216615919965202,Clean
MenuSelectorMover,4,8.216615919965202,Clean
OVRInputModule,8,8.216615919965202,Clean
InputMode,0,8.216615919965202,Clean
OVRPhysicsRaycaster,7,8.216615919965202,Clean
OVRRayPointerEventData,4,8.216615919965202,Clean
SessionData,7,8.216615919965202,Clean
GameType,1,8.216615919965202,Clean
ExampleInteractiveItem,5,8.216615919965202,Clean
ExampleRenderScale,0,8.216615919965202,Clean
ExampleRotation,1,8.216615919965202,Clean
ExampleTouchpad,3,8.216615919965202,Clean
IntroManager,2,8.216615919965202,Clean
GUIArrows,5,8.216615919965202,Clean
InputWarnings,6,8.216615919965202,Clean
ObjectPool,5,8.216615919965202,Clean
PlatformDependentText,4,8.216615919965202,Clean
PlatformTextPair,3,8.216615919965202,Clean
Reticle,7,8.216615919965202,Clean
ReturnToMainMenu,3,8.216615919965202,Clean
SelectionRadial,8,8.216615919965202,Clean
SelectionSlider,7,8.216615919965202,Clean
UIFader,7,8.216615919965202,Clean
UIMovement,2,8.216615919965202,Clean
UITint,4,8.216615919965202,Clean
VRCameraFade,7,8.216615919965202,Clean
VRCameraUI,0,8.216615919965202,Clean
VRDeviceManager,3,8.216615919965202,Clean
VREyeRaycaster,6,8.216615919965202,Clean
VRFPSCounter,2,8.216615919965202,Clean
VRInput,7,8.216615919965202,Clean
SwipeDirection,1,8.216615919965202,Clean
VRInteractiveItem,6,8.216615919965202,Clean
VRTrackingReset,0,8.216615919965202,Clean
FirstPersonController,5,8.216615919965202,Clean
HeadBob,5,8.216615919965202,Clean
MouseLook,8,8.216615919965202,Clean
RigidbodyFirstPersonController,8,8.216615919965202,Clean
MovementSettings,7,8.216615919965202,Clean
AdvancedSettings,3,8.216615919965202,Clean
Ball,4,8.216615919965202,Clean
BallUserControl,5,8.216615919965202,Clean
AICharacterControl,6,8.216615919965202,Clean
ThirdPersonCharacter,6,8.216615919965202,Clean
ThirdPersonUserControl,5,8.216615919965202,Clean
AxisTouchButton,7,8.216615919965202,Clean
ButtonHandler,5,8.216615919965202,Clean
CrossPlatformInputManager,8,8.216615919965202,Clean
ActiveInputMethod,1,8.216615919965202,Clean
VirtualAxis,4,8.216615919965202,Clean
VirtualButton,7,8.216615919965202,Clean
InputAxisScrollbar,4,8.216615919965202,Clean
Joystick,7,8.216615919965202,Clean
AxisOption,1,8.216615919965202,Clean
MobileControlRig,3,8.216615919965202,Clean
TiltInput,6,8.216615919965202,Clean
AxisOptions,0,8.216615919965202,Clean
AxisMapping,2,8.216615919965202,Clean
MappingType,0,8.216615919965202,Clean
TiltInputAxisStylePropertyDrawer,1,8.216615919965202,Clean
TouchPad,7,8.216615919965202,Clean
ControlStyle,1,8.216615919965202,Clean
VirtualInput,9,8.216615919965202,Fault_proner
MobileInput,6,8.216615919965202,Clean
StandaloneInput,5,8.216615919965202,Clean
AAMode,1,8.216615919965202,Clean
Antialiasing,9,8.216615919965202,Fault_proner
Bloom,9,8.216615919965202,Fault_proner
LensFlareStyle,1,8.216615919965202,Clean
TweakMode,1,8.216615919965202,Clean
HDRBloomMode,1,8.216615919965202,Clean
BloomScreenBlendMode,1,8.216615919965202,Clean
BloomQuality,1,8.216615919965202,Clean
LensflareStyle34,1,8.216615919965202,Clean
TweakMode34,1,8.216615919965202,Clean
BloomAndFlares,9,8.216615919965202,Fault_proner
BloomOptimized,8,8.216615919965202,Clean
Resolution,1,8.216615919965202,Clean
BlurType,1,8.216615919965202,Clean
Blur,7,8.216615919965202,Clean
BlurOptimized,8,8.216615919965202,Clean
CameraMotionBlur,9,8.216615919965202,Fault_proner
MotionBlurFilter,1,8.216615919965202,Clean
ColorCorrectionCurves,9,8.216615919965202,Fault_proner
ColorCorrectionMode,1,8.216615919965202,Clean
ColorCorrectionLookup,8,8.216615919965202,Clean
ColorCorrectionRamp,2,8.216615919965202,Clean
ContrastEnhance,6,8.216615919965202,Clean
ContrastStretch,6,8.216615919965202,Clean
CreaseShading,7,8.216615919965202,Clean
DepthOfField,9,8.216615919965202,Fault_proner
BlurSampleCount,1,8.216615919965202,Clean
DepthOfFieldDeprecated,9,8.216615919965202,Fault_proner
Dof34QualitySetting,1,8.216615919965202,Clean
DofResolution,1,8.216615919965202,Clean
DofBlurriness,1,8.216615919965202,Clean
BokehDestination,1,8.216615919965202,Clean
EdgeDetection,8,8.216615919965202,Clean
EdgeDetectMode,1,8.216615919965202,Clean
Fisheye,5,8.216615919965202,Clean
GlobalFog,7,8.216615919965202,Clean
Grayscale,2,8.216615919965202,Clean
ImageEffectBase,7,8.216615919965202,Clean
ImageEffects,3,8.216615919965202,Clean
MotionBlur,7,8.216615919965202,Clean
NoiseAndGrain,8,8.216615919965202,Clean
NoiseAndScratches,6,8.216615919965202,Clean
PostEffectsBase,7,8.216615919965202,Clean
PostEffectsHelper,3,8.216615919965202,Clean
Quads,5,8.216615919965202,Clean
ScreenOverlay,7,8.216615919965202,Clean
OverlayBlendMode,1,8.216615919965202,Clean
ScreenSpaceAmbientObscurance,7,8.216615919965202,Clean
ScreenSpaceAmbientOcclusion,6,8.216615919965202,Clean
SSAOSamples,1,8.216615919965202,Clean
SepiaTone,1,8.216615919965202,Clean
SunShafts,9,8.216615919965202,Fault_proner
SunShaftsResolution,1,8.216615919965202,Clean
ShaftsScreenBlendMode,1,8.216615919965202,Clean
TiltShift,8,8.216615919965202,Clean
TiltShiftMode,1,8.216615919965202,Clean
TiltShiftQuality,1,8.216615919965202,Clean
Tonemapping,9,8.216615919965202,Fault_proner
TonemapperType,1,8.216615919965202,Clean
AdaptiveTexSize,1,8.216615919965202,Clean
Triangles,3,8.216615919965202,Clean
Twirl,4,8.216615919965202,Clean
VignetteAndChromaticAberration,8,8.216615919965202,Clean
AberrationMode,1,8.216615919965202,Clean
Vortex,4,8.216615919965202,Clean
ExplosionPhysicsForce,1,8.216615919965202,Clean
ActivateTrigger,6,8.216615919965202,Clean
