Component,Threshold,Cutoff,Status
IVRSystem,3,6.781525209772036,Clean
IVRExtendedDisplay,3,6.781525209772036,Clean
IVRTrackedCamera,3,6.781525209772036,Clean
IVRApplications,3,6.781525209772036,Clean
IVRChaperone,3,6.781525209772036,Clean
IVRChaperoneSetup,3,6.781525209772036,Clean
IVRCompositor,3,6.781525209772036,Clean
IVROverlay,3,6.781525209772036,Clean
IVRRenderModels,3,6.781525209772036,Clean
IVRNotifications,1,6.781525209772036,Clean
IVRSettings,3,6.781525209772036,Clean
IVRScreenshots,3,6.781525209772036,Clean
IVRResources,1,6.781525209772036,Clean
CVRSystem,6,6.781525209772036,Clean
CVRExtendedDisplay,6,6.781525209772036,Clean
CVRTrackedCamera,6,6.781525209772036,Clean
CVRApplications,6,6.781525209772036,Clean
CVRChaperone,6,6.781525209772036,Clean
CVRChaperoneSetup,6,6.781525209772036,Clean
CVRCompositor,6,6.781525209772036,Clean
CVROverlay,6,6.781525209772036,Clean
CVRRenderModels,6,6.781525209772036,Clean
CVRNotifications,5,6.781525209772036,Clean
CVRSettings,6,6.781525209772036,Clean
CVRScreenshots,6,6.781525209772036,Clean
CVRResources,5,6.781525209772036,Clean
OpenVRInterop,5,6.781525209772036,Clean
EVREye,1,6.781525209772036,Clean
ETextureType,1,6.781525209772036,Clean
EColorSpace,1,6.781525209772036,Clean
ETrackingResult,1,6.781525209772036,Clean
ETrackedDeviceClass,1,6.781525209772036,Clean
ETrackedControllerRole,1,6.781525209772036,Clean
ETrackingUniverseOrigin,1,6.781525209772036,Clean
ETrackedDeviceProperty,2,6.781525209772036,Clean
ETrackedPropertyError,1,6.781525209772036,Clean
EVRSubmitFlags,1,6.781525209772036,Clean
EVRState,0,6.781525209772036,Clean
EVREventType,2,6.781525209772036,Clean
EDeviceActivityLevel,1,6.781525209772036,Clean
EVRButtonId,2,6.781525209772036,Clean
EVRMouseButton,0,6.781525209772036,Clean
EHiddenAreaMeshType,1,6.781525209772036,Clean
EVRControllerAxisType,1,6.781525209772036,Clean
EVRControllerEventOutputType,0,6.781525209772036,Clean
ECollisionBoundsStyle,0,6.781525209772036,Clean
EVROverlayError,2,6.781525209772036,Clean
EVRApplicationType,1,6.781525209772036,Clean
EVRFirmwareError,1,6.781525209772036,Clean
EVRNotificationError,1,6.781525209772036,Clean
EVRInitError,2,6.781525209772036,Clean
EVRScreenshotType,1,6.781525209772036,Clean
EVRScreenshotPropertyFilenames,1,6.781525209772036,Clean
EVRTrackedCameraError,2,6.781525209772036,Clean
EVRTrackedCameraFrameType,1,6.781525209772036,Clean
EVRApplicationError,2,6.781525209772036,Clean
EVRApplicationProperty,1,6.781525209772036,Clean
EVRApplicationTransitionState,1,6.781525209772036,Clean
ChaperoneCalibrationState,1,6.781525209772036,Clean
EChaperoneConfigFile,1,6.781525209772036,Clean
EChaperoneImportFlags,0,6.781525209772036,Clean
EVRCompositorError,1,6.781525209772036,Clean
VROverlayInputMethod,1,6.781525209772036,Clean
VROverlayTransformType,1,6.781525209772036,Clean
VROverlayFlags,2,6.781525209772036,Clean
VRMessageOverlayResponse,1,6.781525209772036,Clean
EGamepadTextInputMode,0,6.781525209772036,Clean
EGamepadTextInputLineMode,0,6.781525209772036,Clean
EOverlayDirection,1,6.781525209772036,Clean
EVROverlayIntersectionMaskPrimitiveType,1,6.781525209772036,Clean
EVRRenderModelError,1,6.781525209772036,Clean
EVRComponentProperty,0,6.781525209772036,Clean
EVRNotificationType,1,6.781525209772036,Clean
EVRNotificationStyle,1,6.781525209772036,Clean
