Component,Threshold,Cutoff,Status
BSExtensionMethods,0,8.149662182220148,Clean
ActivatingCollisionAlgorithm,2,8.149662182220148,Clean
AxisSweep3,7,8.149662182220148,Clean
AxisSweep3_32Bit,7,8.149662182220148,Clean
Box2DBox2DCollisionAlgorithm,2,8.149662182220148,Clean
CreateFunc,9,8.149662182220148,Fault_proner
Box2DShape,9,8.149662182220148,Fault_proner
BoxBoxCollisionAlgorithm,2,8.149662182220148,Clean
BoxBoxDetector,3,8.149662182220148,Clean
BoxShape,7,8.149662182220148,Clean
BroadphaseAabbCallback,4,8.149662182220148,Clean
BroadphaseRayCallback,4,8.149662182220148,Clean
BroadphaseInterface,9,8.149662182220148,Fault_proner
BroadphaseNativeType,1,8.149662182220148,Clean
CollisionFilterGroups,1,8.149662182220148,Clean
BroadphaseProxy,9,8.149662182220148,Fault_proner
BroadphasePair,4,8.149662182220148,Clean
BvhTriangleMeshShape,10,8.149662182220148,Fault_proner
CapsuleShape,5,8.149662182220148,Clean
CapsuleShapeX,1,8.149662182220148,Clean
CapsuleShapeZ,1,8.149662182220148,Clean
CollisionAlgorithmConstructionInfo,7,8.149662182220148,Clean
CollisionAlgorithm,7,8.149662182220148,Clean
CollisionConfiguration,4,8.149662182220148,Clean
CollisionAlgorithmCreateFunc,6,8.149662182220148,Clean
DispatcherFlags,1,8.149662182220148,Clean
CollisionDispatcher,8,8.149662182220148,Clean
ActivationState,1,8.149662182220148,Clean
AnisotropicFrictionFlags,1,8.149662182220148,Clean
CollisionFlags,1,8.149662182220148,Clean
CollisionObjectTypes,1,8.149662182220148,Clean
CollisionObject,9,8.149662182220148,Fault_proner
CollisionObjectFloatData,4,8.149662182220148,Clean
CollisionObjectWrapper,5,8.149662182220148,Clean
CollisionShape,9,8.149662182220148,Fault_proner
CollisionShapeFloatData,3,8.149662182220148,Clean
AllHitsRayResultCallback,3,8.149662182220148,Clean
ClosestConvexResultCallback,5,8.149662182220148,Clean
ClosestRayResultCallback,5,8.149662182220148,Clean
ContactResultCallback,8,8.149662182220148,Clean
ConvexResultCallback,8,8.149662182220148,Clean
LocalConvexResult,7,8.149662182220148,Clean
LocalRayResult,7,8.149662182220148,Clean
LocalShapeInfo,5,8.149662182220148,Clean
RayResultCallback,8,8.149662182220148,Clean
CollisionWorld,9,8.149662182220148,Fault_proner
CompoundCollisionAlgorithm,4,8.149662182220148,Clean
SwappedCreateFunc,4,8.149662182220148,Clean
CompoundCompoundCollisionAlgorithm,2,8.149662182220148,Clean
