Component,Threshold,Cutoff,Status
AAMode,1,7.9648980388731605,Clean
Antialiasing,9,7.9648980388731605,Fault_proner
Bloom,9,7.9648980388731605,Fault_proner
LensFlareStyle,1,7.9648980388731605,Clean
TweakMode,1,7.9648980388731605,Clean
HDRBloomMode,1,7.9648980388731605,Clean
BloomScreenBlendMode,1,7.9648980388731605,Clean
BloomQuality,1,7.9648980388731605,Clean
LensflareStyle34,1,7.9648980388731605,Clean
TweakMode34,1,7.9648980388731605,Clean
BloomAndFlares,8,7.9648980388731605,Fault_proner
BloomOptimized,7,7.9648980388731605,Clean
Resolution,1,7.9648980388731605,Clean
BlurType,1,7.9648980388731605,Clean
Blur,6,7.9648980388731605,Clean
BlurOptimized,8,7.9648980388731605,Fault_proner
CameraMotionBlur,8,7.9648980388731605,Fault_proner
MotionBlurFilter,1,7.9648980388731605,Clean
ColorCorrectionCurves,9,7.9648980388731605,Fault_proner
ColorCorrectionMode,1,7.9648980388731605,Clean
ColorCorrectionLookup,8,7.9648980388731605,Fault_proner
ColorCorrectionRamp,2,7.9648980388731605,Clean
ContrastEnhance,4,7.9648980388731605,Clean
ContrastStretch,6,7.9648980388731605,Clean
CreaseShading,4,7.9648980388731605,Clean
DepthOfField,8,7.9648980388731605,Fault_proner
BlurSampleCount,1,7.9648980388731605,Clean
DepthOfFieldDeprecated,8,7.9648980388731605,Fault_proner
Dof34QualitySetting,1,7.9648980388731605,Clean
DofResolution,1,7.9648980388731605,Clean
DofBlurriness,1,7.9648980388731605,Clean
BokehDestination,1,7.9648980388731605,Clean
EdgeDetection,7,7.9648980388731605,Clean
EdgeDetectMode,1,7.9648980388731605,Clean
Fisheye,3,7.9648980388731605,Clean
GlobalFog,6,7.9648980388731605,Clean
Grayscale,2,7.9648980388731605,Clean
ImageEffectBase,4,7.9648980388731605,Clean
ImageEffects,3,7.9648980388731605,Clean
MotionBlur,7,7.9648980388731605,Clean
NoiseAndGrain,7,7.9648980388731605,Clean
NoiseAndScratches,6,7.9648980388731605,Clean
PostEffectsBase,7,7.9648980388731605,Clean
PostEffectsHelper,3,7.9648980388731605,Clean
Quads,5,7.9648980388731605,Clean
ScreenOverlay,4,7.9648980388731605,Clean
OverlayBlendMode,1,7.9648980388731605,Clean
ScreenSpaceAmbientObscurance,6,7.9648980388731605,Clean
ScreenSpaceAmbientOcclusion,6,7.9648980388731605,Clean
SSAOSamples,1,7.9648980388731605,Clean
SepiaTone,1,7.9648980388731605,Clean
SunShafts,7,7.9648980388731605,Clean
SunShaftsResolution,1,7.9648980388731605,Clean
ShaftsScreenBlendMode,1,7.9648980388731605,Clean
TiltShift,6,7.9648980388731605,Clean
TiltShiftMode,1,7.9648980388731605,Clean
TiltShiftQuality,1,7.9648980388731605,Clean
Tonemapping,9,7.9648980388731605,Fault_proner
TonemapperType,1,7.9648980388731605,Clean
AdaptiveTexSize,1,7.9648980388731605,Clean
Triangles,3,7.9648980388731605,Clean
Twirl,4,7.9648980388731605,Clean
VignetteAndChromaticAberration,6,7.9648980388731605,Clean
AberrationMode,1,7.9648980388731605,Clean
Vortex,4,7.9648980388731605,Clean
Ack,5,7.9648980388731605,Clean
Decoder,4,7.9648980388731605,Clean
Encoder,3,7.9648980388731605,Clean
EnginePacketType,1,7.9648980388731605,Clean
Packet,6,7.9648980388731605,Clean
