Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,7.210676195914457,Clean
DummyControllerProvider,4,7.210676195914457,Clean
EmulatorControllerProvider,8,7.210676195914457,Fault_proner
ControllerState,3,7.210676195914457,Clean
EmulatorClientSocket,7,7.210676195914457,Clean
EmulatorConfig,5,7.210676195914457,Clean
Mode,1,7.210676195914457,Clean
EmulatorGyroEvent,3,7.210676195914457,Clean
EmulatorAccelEvent,3,7.210676195914457,Clean
EmulatorTouchEvent,8,7.210676195914457,Fault_proner
Action,1,7.210676195914457,Clean
Pointer,9,7.210676195914457,Fault_proner
EmulatorOrientationEvent,3,7.210676195914457,Clean
EmulatorButtonEvent,3,7.210676195914457,Clean
ButtonCode,1,7.210676195914457,Clean
EmulatorManager,8,7.210676195914457,Fault_proner
IControllerProvider,3,7.210676195914457,Clean
BaseVRDevice,9,7.210676195914457,Fault_proner
EditorDevice,7,7.210676195914457,Clean
GvrDevice,7,7.210676195914457,Clean
PhoneEvent,9,7.210676195914457,Fault_proner
Types,2,7.210676195914457,Clean
Type,1,7.210676195914457,Clean
MotionEvent,9,7.210676195914457,Fault_proner
Builder,8,7.210676195914457,Fault_proner
GyroscopeEvent,9,7.210676195914457,Fault_proner
AccelerometerEvent,9,7.210676195914457,Fault_proner
DepthMapEvent,9,7.210676195914457,Fault_proner
OrientationEvent,9,7.210676195914457,Fault_proner
KeyEvent,9,7.210676195914457,Fault_proner
AnimateWithTrigger,4,7.210676195914457,Clean
ArtPlayerBase<T>,8,7.210676195914457,Fault_proner
ShakeData,3,7.210676195914457,Clean
CameraShaker,7,7.210676195914457,Clean
CameraShakeTrigger,3,7.210676195914457,Clean
CollisionSoundPlayer,0,7.210676195914457,Clean
Counter,6,7.210676195914457,Clean
DestroyOnCollision,0,7.210676195914457,Clean
Explodable,9,7.210676195914457,Fault_proner
ExplodablePart,6,7.210676195914457,Clean
ExplosionForce,2,7.210676195914457,Clean
Hitbox,5,7.210676195914457,Clean
InteractableObject,8,7.210676195914457,Fault_proner
InteractableProperty,7,7.210676195914457,Clean
IRemoteInputEventHandler,4,7.210676195914457,Clean
IResetable,2,7.210676195914457,Clean
LinearMotor,6,7.210676195914457,Clean
ObjectFlash,0,7.210676195914457,Clean
ParticlePlayer,3,7.210676195914457,Clean
PickupProperty,8,7.210676195914457,Fault_proner
PickUpMode,1,7.210676195914457,Clean
RandomExplosionForce,3,7.210676195914457,Clean
RandomTorqueExplosion,1,7.210676195914457,Clean
ResetPosition,3,7.210676195914457,Clean
SceneReseter,1,7.210676195914457,Clean
SlotableObject,5,7.210676195914457,Clean
SlotDescription,3,7.210676195914457,Clean
SoundCycle,3,7.210676195914457,Clean
SoundEventListener,5,7.210676195914457,Clean
SoundPlayerBase,4,7.210676195914457,Clean
SoundRandomizer,4,7.210676195914457,Clean
TargetableProperty,6,7.210676195914457,Clean
TouchRotatableProperty,8,7.210676195914457,Fault_proner
TransformMode,1,7.210676195914457,Clean
TriggerSoundPlayer,5,7.210676195914457,Clean
AnimEvent,2,7.210676195914457,Clean
AnimationEventListener,1,7.210676195914457,Clean
AnimationStateChangeTrigger,5,7.210676195914457,Clean
StateEvent,1,7.210676195914457,Clean
HandednessListener,6,7.210676195914457,Clean
PositionSwapper,2,7.210676195914457,Clean
ToggleAction,5,7.210676195914457,Clean
TriggerContract,1,7.210676195914457,Clean
TriggerListener,4,7.210676195914457,Clean
TriggerListenerBase<T>,3,7.210676195914457,Clean
TriggerListenerGameObject,2,7.210676195914457,Clean
TriggerListenerTransform,2,7.210676195914457,Clean
TriggerObject,7,7.210676195914457,Clean
TriggerObjectGameObject,2,7.210676195914457,Clean
TriggerObjectTransform,2,7.210676195914457,Clean
Assert,4,7.210676195914457,Clean
CustomProjector,5,7.210676195914457,Clean
EnvironmentProperties,7,7.210676195914457,Clean
ImageFXBase,7,7.210676195914457,Clean
MeshBlit,1,7.210676195914457,Clean
OffscreenBuffer,8,7.210676195914457,Fault_proner
OutlinedObject,2,7.210676195914457,Clean
OutlinedObjectFX,8,7.210676195914457,Fault_proner
RenderTextureCamera,2,7.210676195914457,Clean
ScreenSpaceQuad,7,7.210676195914457,Clean
ShaderLib,1,7.210676195914457,Clean
Variables,3,7.210676195914457,Clean
Keywords,0,7.210676195914457,Clean
WorldSpaceProjectorBounds,4,7.210676195914457,Clean
AnimatorCallback,1,7.210676195914457,Clean
ControllerInputModule,5,7.210676195914457,Clean
ControllerWarning,3,7.210676195914457,Clean
FillTextWithTextAsset,1,7.210676195914457,Clean
LevelSelectButton,6,7.210676195914457,Clean
LevelSelectMenu,9,7.210676195914457,Fault_proner
SceneDataEvent,1,7.210676195914457,Clean
LevelSelectMenuListener,4,7.210676195914457,Clean
SelectableScene,4,7.210676195914457,Clean
AppButtonInput,2,7.210676195914457,Clean
ClickInput,3,7.210676195914457,Clean
ControllerOrientation,3,7.210676195914457,Clean
DirectionalSlashInput,3,7.210676195914457,Clean
ElbowOrientation,4,7.210676195914457,Clean
FlickInput,5,7.210676195914457,Clean
GyroInput,1,7.210676195914457,Clean
Vector3Event,1,7.210676195914457,Clean
Vector2Event,1,7.210676195914457,Clean
FloatEvent,0,7.210676195914457,Clean
BoolEvent,0,7.210676195914457,Clean
ButtonEvent,1,7.210676195914457,Clean
TouchPadEvent,1,7.210676195914457,Clean
TransformEvent,1,7.210676195914457,Clean
GameObjectEvent,1,7.210676195914457,Clean
MaskedOrientationInput,2,7.210676195914457,Clean
OrientationInput,1,7.210676195914457,Clean
RawAccelerometerInput,1,7.210676195914457,Clean
TouchInput,2,7.210676195914457,Clean
AdventurePlayerAnimationController,7,7.210676195914457,Clean
CharacterMover,8,7.210676195914457,Fault_proner
CircularNavigationInput,2,7.210676195914457,Clean
ComboCounter,3,7.210676195914457,Clean
ComboTier,3,7.210676195914457,Clean
DropShadow,4,7.210676195914457,Clean
ICharacterAnimatorController,2,7.210676195914457,Clean
IPlayerInputProvider,2,7.210676195914457,Clean
OnAnimatorMoveRelay,1,7.210676195914457,Clean
Spawnable,3,7.210676195914457,Clean
Artifact,5,7.210676195914457,Clean
DiscoveryJoint,2,7.210676195914457,Clean
DustKicker,6,7.210676195914457,Clean
DustSpawn,4,7.210676195914457,Clean
RemoteController,7,7.210676195914457,Clean
Dragon_AnimController,3,7.210676195914457,Clean
FloatMotion,2,7.210676195914457,Clean
ForwardMotor,4,7.210676195914457,Clean
GrowlVolume,2,7.210676195914457,Clean
IntervalTrigger,2,7.210676195914457,Clean
OrientTowards,6,7.210676195914457,Clean
RandomAngularVelocity,2,7.210676195914457,Clean
SpeedBooster,4,7.210676195914457,Clean
Dragonling,8,7.210676195914457,Fault_proner
DragonlingAnimController,6,7.210676195914457,Clean
MovingPlatformController,7,7.210676195914457,Clean
PositionType,1,7.210676195914457,Clean
SubTrigger,3,7.210676195914457,Clean
MultiTrigger,5,7.210676195914457,Clean
NavmeshAgentController,7,7.210676195914457,Clean
OrientConstraint,2,7.210676195914457,Clean
PooledObjectActivator,2,7.210676195914457,Clean
RaycastPositioner,3,7.210676195914457,Clean
Selectable,7,7.210676195914457,Clean
Selection_Input,7,7.210676195914457,Clean
SelectionManager,5,7.210676195914457,Clean
Fish,3,7.210676195914457,Clean
FishCollector,4,7.210676195914457,Clean
FishingController,6,7.210676195914457,Clean
FishingLineRenderer,6,7.210676195914457,Clean
FishingLure,9,7.210676195914457,Fault_proner
FishingLureState,1,7.210676195914457,Clean
FishingLureStateEvent,1,7.210676195914457,Clean
Marble,3,7.210676195914457,Clean
MazeController,2,7.210676195914457,Clean
Bamboo,8,7.210676195914457,Fault_proner
BambooHopper,8,7.210676195914457,Fault_proner
