Component,Threshold,Cutoff,Status
AAMode,1,7.350178152676274,Clean
Antialiasing,8,7.350178152676274,Fault_proner
Bloom,8,7.350178152676274,Fault_proner
LensFlareStyle,1,7.350178152676274,Clean
TweakMode,1,7.350178152676274,Clean
HDRBloomMode,1,7.350178152676274,Clean
BloomScreenBlendMode,1,7.350178152676274,Clean
BloomQuality,1,7.350178152676274,Clean
LensflareStyle34,1,7.350178152676274,Clean
TweakMode34,1,7.350178152676274,Clean
BloomAndFlares,7,7.350178152676274,Clean
BloomOptimized,7,7.350178152676274,Clean
Resolution,1,7.350178152676274,Clean
BlurType,1,7.350178152676274,Clean
Blur,6,7.350178152676274,Clean
BlurOptimized,8,7.350178152676274,Fault_proner
CameraMotionBlur,7,7.350178152676274,Clean
MotionBlurFilter,1,7.350178152676274,Clean
ColorCorrectionCurves,8,7.350178152676274,Fault_proner
ColorCorrectionMode,1,7.350178152676274,Clean
ColorCorrectionLookup,7,7.350178152676274,Clean
ColorCorrectionRamp,1,7.350178152676274,Clean
ContrastEnhance,4,7.350178152676274,Clean
ContrastStretch,6,7.350178152676274,Clean
CreaseShading,5,7.350178152676274,Clean
DepthOfField,7,7.350178152676274,Clean
BlurSampleCount,1,7.350178152676274,Clean
DepthOfFieldDeprecated,7,7.350178152676274,Clean
Dof34QualitySetting,1,7.350178152676274,Clean
DofResolution,1,7.350178152676274,Clean
DofBlurriness,1,7.350178152676274,Clean
BokehDestination,1,7.350178152676274,Clean
EdgeDetection,7,7.350178152676274,Clean
EdgeDetectMode,1,7.350178152676274,Clean
Fisheye,3,7.350178152676274,Clean
GlobalFog,6,7.350178152676274,Clean
Grayscale,2,7.350178152676274,Clean
ImageEffectBase,5,7.350178152676274,Clean
ImageEffects,3,7.350178152676274,Clean
MotionBlur,7,7.350178152676274,Clean
NoiseAndGrain,6,7.350178152676274,Clean
NoiseAndScratches,6,7.350178152676274,Clean
PostEffectsBase,7,7.350178152676274,Clean
PostEffectsHelper,3,7.350178152676274,Clean
Quads,5,7.350178152676274,Clean
ScreenOverlay,5,7.350178152676274,Clean
OverlayBlendMode,1,7.350178152676274,Clean
ScreenSpaceAmbientObscurance,6,7.350178152676274,Clean
ScreenSpaceAmbientOcclusion,6,7.350178152676274,Clean
SSAOSamples,1,7.350178152676274,Clean
SepiaTone,1,7.350178152676274,Clean
SunShafts,6,7.350178152676274,Clean
SunShaftsResolution,1,7.350178152676274,Clean
ShaftsScreenBlendMode,1,7.350178152676274,Clean
TiltShift,6,7.350178152676274,Clean
TiltShiftMode,1,7.350178152676274,Clean
TiltShiftQuality,1,7.350178152676274,Clean
Tonemapping,8,7.350178152676274,Fault_proner
TonemapperType,1,7.350178152676274,Clean
AdaptiveTexSize,1,7.350178152676274,Clean
Triangles,3,7.350178152676274,Clean
Twirl,4,7.350178152676274,Clean
VignetteAndChromaticAberration,6,7.350178152676274,Clean
AberrationMode,1,7.350178152676274,Clean
Vortex,4,7.350178152676274,Clean
GizmoType,1,7.350178152676274,Clean
GizmoTypeDrawer,1,7.350178152676274,Clean
IPunObservable,0,7.350178152676274,Clean
IPunCallbacks,3,7.350178152676274,Clean
IPunPrefabPool,0,7.350178152676274,Clean
MonoBehaviour,2,7.350178152676274,Clean
PunBehaviour,5,7.350178152676274,Clean
PhotonMessageInfo,4,7.350178152676274,Clean
PunEvent,2,7.350178152676274,Clean
PhotonStream,6,7.350178152676274,Clean
HelpURL,0,7.350178152676274,Clean
EditorSceneManager,3,7.350178152676274,Clean
SceneManager,2,7.350178152676274,Clean
SceneManagerHelper,1,7.350178152676274,Clean
WebRpcResponse,3,7.350178152676274,Clean
SocketUdp,4,7.350178152676274,Clean
PlayerRoomIndexing,9,7.350178152676274,Fault_proner
PlayerRoomIndexingExtensions,1,7.350178152676274,Clean
ButtonInsideScrollList,2,7.350178152676274,Clean
TextButtonTransition,4,7.350178152676274,Clean
TextToggleIsOnTransition,5,7.350178152676274,Clean
TimeKeeper,2,7.350178152676274,Clean
