Component,Threshold,Cutoff,Status
BodyCollider,1,7.694793761291837,Clean
CircularDrive,6,7.694793761291837,Clean
Axis_t,0,7.694793761291837,Clean
ComplexThrowable,6,7.694793761291837,Clean
AttachMode,1,7.694793761291837,Clean
ControllerHoverHighlight,7,7.694793761291837,Clean
CustomEvents,0,7.694793761291837,Clean
UnityEventSingleFloat,0,7.694793761291837,Clean
UnityEventHand,1,7.694793761291837,Clean
DebugUI,3,7.694793761291837,Clean
DestroyOnDetachedFromHand,1,7.694793761291837,Clean
DestroyOnParticleSystemDeath,1,7.694793761291837,Clean
DestroyOnTriggerEnter,2,7.694793761291837,Clean
DistanceHaptics,2,7.694793761291837,Clean
DontDestroyOnLoad,0,7.694793761291837,Clean
EnumFlags,2,7.694793761291837,Clean
EnumFlagsPropertyDrawer,1,7.694793761291837,Clean
FallbackCameraController,5,7.694793761291837,Clean
Hand,9,7.694793761291837,Fault_proner
HandType,1,7.694793761291837,Clean
AttachmentFlags,1,7.694793761291837,Clean
AttachedObject,2,7.694793761291837,Clean
HandEditor,4,7.694793761291837,Clean
HapticRack,6,7.694793761291837,Clean
HideOnHandFocusLost,1,7.694793761291837,Clean
IgnoreHovering,1,7.694793761291837,Clean
InputModule,6,7.694793761291837,Clean
Interactable,4,7.694793761291837,Clean
InteractableButtonEvents,5,7.694793761291837,Clean
InteractableHoverEvents,5,7.694793761291837,Clean
ItemPackage,4,7.694793761291837,Clean
ItemPackageType,1,7.694793761291837,Clean
ItemPackageReference,2,7.694793761291837,Clean
ItemPackageSpawner,7,7.694793761291837,Clean
LinearAnimation,6,7.694793761291837,Clean
LinearAnimator,6,7.694793761291837,Clean
LinearAudioPitch,6,7.694793761291837,Clean
LinearBlendshape,5,7.694793761291837,Clean
LinearDisplacement,4,7.694793761291837,Clean
LinearDrive,6,7.694793761291837,Clean
LinearMapping,1,7.694793761291837,Clean
Player,9,7.694793761291837,Fault_proner
PlaySound,7,7.694793761291837,Clean
SeeThru,5,7.694793761291837,Clean
SleepOnAwake,0,7.694793761291837,Clean
SoundDeparent,1,7.694793761291837,Clean
SoundPlayOneshot,8,7.694793761291837,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,7.694793761291837,Clean
SpawnAndAttachToHand,3,7.694793761291837,Clean
SpawnRenderModel,5,7.694793761291837,Clean
Throwable,6,7.694793761291837,Clean
UIElement,5,7.694793761291837,Clean
UIElementEditor,2,7.694793761291837,Clean
Unparent,3,7.694793761291837,Clean
Util,8,7.694793761291837,Fault_proner
AfterTimer_Component,6,7.694793761291837,Clean
VelocityEstimator,7,7.694793761291837,Clean
ControllerButtonHints,9,7.694793761291837,Fault_proner
OffsetType,1,7.694793761291837,Clean
ButtonHintInfo,3,7.694793761291837,Clean
ArcheryTarget,6,7.694793761291837,Clean
Arrow,8,7.694793761291837,Fault_proner
ArrowHand,7,7.694793761291837,Clean
ArrowheadRotation,0,7.694793761291837,Clean
Balloon,8,7.694793761291837,Fault_proner
BalloonColor,1,7.694793761291837,Clean
BalloonColliders,4,7.694793761291837,Clean
BalloonHapticBump,2,7.694793761291837,Clean
BalloonSpawner,7,7.694793761291837,Clean
ExplosionWobble,2,7.694793761291837,Clean
FireSource,7,7.694793761291837,Clean
Longbow,8,7.694793761291837,Fault_proner
Handedness,1,7.694793761291837,Clean
SoundBowClick,5,7.694793761291837,Clean
ControllerHintsExample,5,7.694793761291837,Clean
InteractableExample,5,7.694793761291837,Clean
AllowTeleportWhileAttachedToHand,2,7.694793761291837,Clean
ChaperoneInfo,7,7.694793761291837,Clean
IgnoreTeleportTrace,0,7.694793761291837,Clean
Teleport,9,7.694793761291837,Fault_proner
TeleportArc,8,7.694793761291837,Fault_proner
TeleportArea,9,7.694793761291837,Fault_proner
TeleportAreaEditor,4,7.694793761291837,Clean
TeleportMarkerBase,8,7.694793761291837,Fault_proner
TeleportPoint,10,7.694793761291837,Fault_proner
TeleportPointType,1,7.694793761291837,Clean
TeleportPointEditor,4,7.694793761291837,Clean
IVRSystem,3,7.694793761291837,Clean
IVRExtendedDisplay,1,7.694793761291837,Clean
IVRTrackedCamera,3,7.694793761291837,Clean
IVRApplications,3,7.694793761291837,Clean
IVRChaperone,3,7.694793761291837,Clean
IVRChaperoneSetup,3,7.694793761291837,Clean
IVRCompositor,3,7.694793761291837,Clean
IVROverlay,3,7.694793761291837,Clean
IVRRenderModels,3,7.694793761291837,Clean
IVRNotifications,1,7.694793761291837,Clean
IVRSettings,3,7.694793761291837,Clean
IVRScreenshots,3,7.694793761291837,Clean
IVRResources,1,7.694793761291837,Clean
IVRDriverManager,1,7.694793761291837,Clean
CVRSystem,6,7.694793761291837,Clean
PollNextEventUnion,2,7.694793761291837,Clean
GetControllerStateUnion,2,7.694793761291837,Clean
GetControllerStateWithPoseUnion,2,7.694793761291837,Clean
CVRExtendedDisplay,5,7.694793761291837,Clean
CVRTrackedCamera,6,7.694793761291837,Clean
CVRApplications,6,7.694793761291837,Clean
CVRChaperone,6,7.694793761291837,Clean
CVRChaperoneSetup,6,7.694793761291837,Clean
CVRCompositor,6,7.694793761291837,Clean
CVROverlay,6,7.694793761291837,Clean
PollNextOverlayEventUnion,2,7.694793761291837,Clean
CVRRenderModels,6,7.694793761291837,Clean
GetComponentStateUnion,2,7.694793761291837,Clean
CVRNotifications,3,7.694793761291837,Clean
CVRSettings,6,7.694793761291837,Clean
CVRScreenshots,6,7.694793761291837,Clean
CVRResources,3,7.694793761291837,Clean
CVRDriverManager,3,7.694793761291837,Clean
OpenVRInterop,4,7.694793761291837,Clean
EVREye,1,7.694793761291837,Clean
ETextureType,1,7.694793761291837,Clean
EColorSpace,1,7.694793761291837,Clean
ETrackingResult,1,7.694793761291837,Clean
ETrackedDeviceClass,1,7.694793761291837,Clean
ETrackedControllerRole,1,7.694793761291837,Clean
ETrackingUniverseOrigin,1,7.694793761291837,Clean
ETrackedDeviceProperty,2,7.694793761291837,Clean
ETrackedPropertyError,1,7.694793761291837,Clean
EVRSubmitFlags,1,7.694793761291837,Clean
EVRState,0,7.694793761291837,Clean
EVREventType,2,7.694793761291837,Clean
EDeviceActivityLevel,1,7.694793761291837,Clean
EVRButtonId,1,7.694793761291837,Clean
EVRMouseButton,0,7.694793761291837,Clean
EHiddenAreaMeshType,1,7.694793761291837,Clean
EVRControllerAxisType,1,7.694793761291837,Clean
EVRControllerEventOutputType,0,7.694793761291837,Clean
ECollisionBoundsStyle,0,7.694793761291837,Clean
EVROverlayError,1,7.694793761291837,Clean
EVRApplicationType,1,7.694793761291837,Clean
EVRFirmwareError,1,7.694793761291837,Clean
EVRNotificationError,1,7.694793761291837,Clean
EVRInitError,2,7.694793761291837,Clean
EVRScreenshotType,1,7.694793761291837,Clean
EVRScreenshotPropertyFilenames,1,7.694793761291837,Clean
EVRTrackedCameraError,1,7.694793761291837,Clean
EVRTrackedCameraFrameType,1,7.694793761291837,Clean
EVRApplicationError,1,7.694793761291837,Clean
EVRApplicationProperty,1,7.694793761291837,Clean
EVRApplicationTransitionState,1,7.694793761291837,Clean
ChaperoneCalibrationState,1,7.694793761291837,Clean
EChaperoneConfigFile,1,7.694793761291837,Clean
EChaperoneImportFlags,0,7.694793761291837,Clean
EVRCompositorError,1,7.694793761291837,Clean
VROverlayInputMethod,1,7.694793761291837,Clean
VROverlayTransformType,1,7.694793761291837,Clean
VROverlayFlags,1,7.694793761291837,Clean
VRMessageOverlayResponse,1,7.694793761291837,Clean
EGamepadTextInputMode,0,7.694793761291837,Clean
EGamepadTextInputLineMode,0,7.694793761291837,Clean
EOverlayDirection,1,7.694793761291837,Clean
EVROverlayIntersectionMaskPrimitiveType,1,7.694793761291837,Clean
EVRRenderModelError,1,7.694793761291837,Clean
EVRComponentProperty,0,7.694793761291837,Clean
EVRNotificationType,1,7.694793761291837,Clean
EVRNotificationStyle,1,7.694793761291837,Clean
EVRSettingsError,1,7.694793761291837,Clean
EVRScreenshotError,1,7.694793761291837,Clean
VREvent_Data_t,3,7.694793761291837,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,7.694793761291837,Clean
HmdMatrix34_t,3,7.694793761291837,Clean
HmdMatrix44_t,3,7.694793761291837,Clean
HmdVector3_t,2,7.694793761291837,Clean
HmdVector4_t,2,7.694793761291837,Clean
HmdVector3d_t,1,7.694793761291837,Clean
HmdVector2_t,2,7.694793761291837,Clean
HmdQuaternion_t,2,7.694793761291837,Clean
HmdColor_t,3,7.694793761291837,Clean
HmdQuad_t,4,7.694793761291837,Clean
HmdRect2_t,3,7.694793761291837,Clean
DistortionCoordinates_t,3,7.694793761291837,Clean
Texture_t,3,7.694793761291837,Clean
TrackedDevicePose_t,4,7.694793761291837,Clean
VRTextureBounds_t,3,7.694793761291837,Clean
VRVulkanTextureData_t,2,7.694793761291837,Clean
D3D12TextureData_t,1,7.694793761291837,Clean
VREvent_Controller_t,0,7.694793761291837,Clean
VREvent_Mouse_t,1,7.694793761291837,Clean
VREvent_Scroll_t,1,7.694793761291837,Clean
VREvent_TouchPadMove_t,2,7.694793761291837,Clean
VREvent_Notification_t,1,7.694793761291837,Clean
VREvent_Process_t,1,7.694793761291837,Clean
VREvent_Overlay_t,0,7.694793761291837,Clean
VREvent_Status_t,0,7.694793761291837,Clean
VREvent_Keyboard_t,2,7.694793761291837,Clean
VREvent_Ipd_t,0,7.694793761291837,Clean
VREvent_Chaperone_t,1,7.694793761291837,Clean
VREvent_Reserved_t,1,7.694793761291837,Clean
VREvent_PerformanceTest_t,0,7.694793761291837,Clean
VREvent_SeatedZeroPoseReset_t,0,7.694793761291837,Clean
VREvent_Screenshot_t,1,7.694793761291837,Clean
VREvent_ScreenshotProgress_t,0,7.694793761291837,Clean
