Component,Threshold,Cutoff,Status
Brush,6,6.465470116618077,Clean
PedestalButtons,2,6.465470116618077,Clean
BodyCollider,1,6.465470116618077,Clean
CircularDrive,6,6.465470116618077,Clean
Axis_t,0,6.465470116618077,Clean
ComplexThrowable,6,6.465470116618077,Clean
AttachMode,1,6.465470116618077,Clean
ControllerHoverHighlight,7,6.465470116618077,Fault_proner
CustomEvents,0,6.465470116618077,Clean
UnityEventSingleFloat,0,6.465470116618077,Clean
UnityEventHand,1,6.465470116618077,Clean
DebugUI,4,6.465470116618077,Clean
DestroyOnDetachedFromHand,1,6.465470116618077,Clean
DestroyOnParticleSystemDeath,1,6.465470116618077,Clean
DestroyOnTriggerEnter,2,6.465470116618077,Clean
DistanceHaptics,2,6.465470116618077,Clean
DontDestroyOnLoad,0,6.465470116618077,Clean
EnumFlags,1,6.465470116618077,Clean
EnumFlagsPropertyDrawer,0,6.465470116618077,Clean
FallbackCameraController,5,6.465470116618077,Clean
Hand,9,6.465470116618077,Fault_proner
HandType,1,6.465470116618077,Clean
AttachmentFlags,1,6.465470116618077,Clean
AttachedObject,3,6.465470116618077,Clean
HandEditor,3,6.465470116618077,Clean
HapticRack,6,6.465470116618077,Clean
HideOnHandFocusLost,1,6.465470116618077,Clean
IgnoreHovering,1,6.465470116618077,Clean
InputModule,6,6.465470116618077,Clean
Interactable,4,6.465470116618077,Clean
InteractableButtonEvents,5,6.465470116618077,Clean
InteractableHoverEvents,6,6.465470116618077,Clean
ItemPackage,4,6.465470116618077,Clean
ItemPackageType,1,6.465470116618077,Clean
ItemPackageReference,2,6.465470116618077,Clean
ItemPackageSpawner,8,6.465470116618077,Fault_proner
ItemPackageSpawnerEditor,1,6.465470116618077,Clean
LinearAnimation,6,6.465470116618077,Clean
LinearAnimator,6,6.465470116618077,Clean
LinearAudioPitch,6,6.465470116618077,Clean
LinearBlendshape,6,6.465470116618077,Clean
LinearDisplacement,5,6.465470116618077,Clean
LinearDrive,6,6.465470116618077,Clean
LinearMapping,1,6.465470116618077,Clean
Player,9,6.465470116618077,Fault_proner
PlaySound,7,6.465470116618077,Fault_proner
SeeThru,5,6.465470116618077,Clean
SleepOnAwake,0,6.465470116618077,Clean
SoundDeparent,1,6.465470116618077,Clean
SoundPlayOneshot,8,6.465470116618077,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,6.465470116618077,Clean
SpawnAndAttachToHand,2,6.465470116618077,Clean
SpawnRenderModel,5,6.465470116618077,Clean
Throwable,6,6.465470116618077,Clean
UIElement,4,6.465470116618077,Clean
Unparent,2,6.465470116618077,Clean
Util,8,6.465470116618077,Fault_proner
AfterTimer_Component,5,6.465470116618077,Clean
VelocityEstimator,7,6.465470116618077,Fault_proner
ControllerButtonHints,9,6.465470116618077,Fault_proner
OffsetType,1,6.465470116618077,Clean
ButtonHintInfo,3,6.465470116618077,Clean
ArcheryTarget,6,6.465470116618077,Clean
Arrow,7,6.465470116618077,Fault_proner
ArrowHand,7,6.465470116618077,Fault_proner
ArrowheadRotation,0,6.465470116618077,Clean
Balloon,7,6.465470116618077,Fault_proner
BalloonColor,1,6.465470116618077,Clean
BalloonColliders,4,6.465470116618077,Clean
ColliderData,0,6.465470116618077,Clean
BalloonHapticBump,2,6.465470116618077,Clean
BalloonSpawner,7,6.465470116618077,Fault_proner
ExplosionWobble,1,6.465470116618077,Clean
FireSource,7,6.465470116618077,Fault_proner
Longbow,8,6.465470116618077,Fault_proner
Handedness,1,6.465470116618077,Clean
SoundBowClick,4,6.465470116618077,Clean
ControllerHintsExample,5,6.465470116618077,Clean
InteractableExample,5,6.465470116618077,Clean
AllowTeleportWhileAttachedToHand,2,6.465470116618077,Clean
ChaperoneInfo,6,6.465470116618077,Clean
IgnoreTeleportTrace,0,6.465470116618077,Clean
Teleport,9,6.465470116618077,Fault_proner
TeleportArc,8,6.465470116618077,Fault_proner
TeleportArea,9,6.465470116618077,Fault_proner
TeleportAreaEditor,3,6.465470116618077,Clean
TeleportMarkerBase,8,6.465470116618077,Fault_proner
TeleportPoint,10,6.465470116618077,Fault_proner
TeleportPointType,1,6.465470116618077,Clean
TeleportPointEditor,3,6.465470116618077,Clean
IVRSystem,3,6.465470116618077,Clean
IVRExtendedDisplay,2,6.465470116618077,Clean
IVRTrackedCamera,3,6.465470116618077,Clean
IVRApplications,3,6.465470116618077,Clean
IVRChaperone,3,6.465470116618077,Clean
IVRChaperoneSetup,3,6.465470116618077,Clean
IVRCompositor,3,6.465470116618077,Clean
IVROverlay,3,6.465470116618077,Clean
IVRRenderModels,3,6.465470116618077,Clean
IVRNotifications,1,6.465470116618077,Clean
IVRSettings,3,6.465470116618077,Clean
IVRScreenshots,3,6.465470116618077,Clean
IVRResources,1,6.465470116618077,Clean
CVRSystem,6,6.465470116618077,Clean
CVRExtendedDisplay,5,6.465470116618077,Clean
CVRTrackedCamera,6,6.465470116618077,Clean
CVRApplications,6,6.465470116618077,Clean
CVRChaperone,6,6.465470116618077,Clean
CVRChaperoneSetup,6,6.465470116618077,Clean
CVRCompositor,6,6.465470116618077,Clean
CVROverlay,6,6.465470116618077,Clean
CVRRenderModels,6,6.465470116618077,Clean
CVRNotifications,3,6.465470116618077,Clean
CVRSettings,6,6.465470116618077,Clean
CVRScreenshots,6,6.465470116618077,Clean
CVRResources,3,6.465470116618077,Clean
OpenVRInterop,4,6.465470116618077,Clean
EVREye,1,6.465470116618077,Clean
ETextureType,1,6.465470116618077,Clean
EColorSpace,1,6.465470116618077,Clean
ETrackingResult,1,6.465470116618077,Clean
ETrackedDeviceClass,1,6.465470116618077,Clean
ETrackedControllerRole,1,6.465470116618077,Clean
ETrackingUniverseOrigin,1,6.465470116618077,Clean
ETrackedDeviceProperty,2,6.465470116618077,Clean
ETrackedPropertyError,1,6.465470116618077,Clean
EVRSubmitFlags,1,6.465470116618077,Clean
EVRState,0,6.465470116618077,Clean
EVREventType,2,6.465470116618077,Clean
EDeviceActivityLevel,1,6.465470116618077,Clean
EVRButtonId,1,6.465470116618077,Clean
EVRMouseButton,0,6.465470116618077,Clean
EHiddenAreaMeshType,1,6.465470116618077,Clean
EVRControllerAxisType,1,6.465470116618077,Clean
EVRControllerEventOutputType,0,6.465470116618077,Clean
ECollisionBoundsStyle,0,6.465470116618077,Clean
EVROverlayError,1,6.465470116618077,Clean
EVRApplicationType,1,6.465470116618077,Clean
EVRFirmwareError,1,6.465470116618077,Clean
EVRNotificationError,1,6.465470116618077,Clean
EVRInitError,2,6.465470116618077,Clean
EVRScreenshotType,1,6.465470116618077,Clean
EVRScreenshotPropertyFilenames,1,6.465470116618077,Clean
EVRTrackedCameraError,1,6.465470116618077,Clean
EVRTrackedCameraFrameType,1,6.465470116618077,Clean
EVRApplicationError,1,6.465470116618077,Clean
EVRApplicationProperty,1,6.465470116618077,Clean
EVRApplicationTransitionState,1,6.465470116618077,Clean
ChaperoneCalibrationState,1,6.465470116618077,Clean
EChaperoneConfigFile,1,6.465470116618077,Clean
EChaperoneImportFlags,0,6.465470116618077,Clean
EVRCompositorError,1,6.465470116618077,Clean
VROverlayInputMethod,1,6.465470116618077,Clean
VROverlayTransformType,1,6.465470116618077,Clean
VROverlayFlags,1,6.465470116618077,Clean
VRMessageOverlayResponse,1,6.465470116618077,Clean
EGamepadTextInputMode,0,6.465470116618077,Clean
EGamepadTextInputLineMode,0,6.465470116618077,Clean
EOverlayDirection,1,6.465470116618077,Clean
EVROverlayIntersectionMaskPrimitiveType,1,6.465470116618077,Clean
EVRRenderModelError,1,6.465470116618077,Clean
EVRComponentProperty,0,6.465470116618077,Clean
EVRNotificationType,1,6.465470116618077,Clean
EVRNotificationStyle,1,6.465470116618077,Clean
EVRSettingsError,1,6.465470116618077,Clean
EVRScreenshotError,1,6.465470116618077,Clean
VREvent_Data_t,3,6.465470116618077,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,6.465470116618077,Clean
HmdMatrix34_t,3,6.465470116618077,Clean
HmdMatrix44_t,3,6.465470116618077,Clean
HmdVector3_t,3,6.465470116618077,Clean
HmdVector4_t,2,6.465470116618077,Clean
HmdVector3d_t,2,6.465470116618077,Clean
HmdVector2_t,2,6.465470116618077,Clean
HmdQuaternion_t,2,6.465470116618077,Clean
HmdColor_t,3,6.465470116618077,Clean
HmdQuad_t,4,6.465470116618077,Clean
HmdRect2_t,3,6.465470116618077,Clean
DistortionCoordinates_t,3,6.465470116618077,Clean
Texture_t,4,6.465470116618077,Clean
TrackedDevicePose_t,4,6.465470116618077,Clean
VRTextureBounds_t,3,6.465470116618077,Clean
VRVulkanTextureData_t,2,6.465470116618077,Clean
VREvent_Controller_t,0,6.465470116618077,Clean
VREvent_Mouse_t,2,6.465470116618077,Clean
VREvent_Scroll_t,2,6.465470116618077,Clean
VREvent_TouchPadMove_t,2,6.465470116618077,Clean
VREvent_Notification_t,1,6.465470116618077,Clean
VREvent_Process_t,2,6.465470116618077,Clean
VREvent_Overlay_t,0,6.465470116618077,Clean
VREvent_Status_t,0,6.465470116618077,Clean
VREvent_Keyboard_t,2,6.465470116618077,Clean
VREvent_Ipd_t,0,6.465470116618077,Clean
VREvent_Chaperone_t,1,6.465470116618077,Clean
VREvent_Reserved_t,1,6.465470116618077,Clean
VREvent_PerformanceTest_t,0,6.465470116618077,Clean
VREvent_SeatedZeroPoseReset_t,0,6.465470116618077,Clean
VREvent_Screenshot_t,1,6.465470116618077,Clean
VREvent_ScreenshotProgress_t,0,6.465470116618077,Clean
VREvent_ApplicationLaunch_t,1,6.465470116618077,Clean
VREvent_EditingCameraSurface_t,1,6.465470116618077,Clean
VREvent_MessageOverlay_t,0,6.465470116618077,Clean
VREvent_t,4,6.465470116618077,Clean
HiddenAreaMesh_t,2,6.465470116618077,Clean
VRControllerAxis_t,2,6.465470116618077,Clean
VRControllerState_t,4,6.465470116618077,Clean
Compositor_OverlaySettings,3,6.465470116618077,Clean
CameraVideoStreamFrameHeader_t,4,6.465470116618077,Clean
AppOverrideKeys_t,2,6.465470116618077,Clean
Compositor_FrameTiming,4,6.465470116618077,Clean
Compositor_CumulativeStats,3,6.465470116618077,Clean
VROverlayIntersectionParams_t,4,6.465470116618077,Clean
VROverlayIntersectionResults_t,4,6.465470116618077,Clean
IntersectionMaskRectangle_t,2,6.465470116618077,Clean
IntersectionMaskCircle_t,2,6.465470116618077,Clean
VROverlayIntersectionMaskPrimitive_t,3,6.465470116618077,Clean
RenderModel_ComponentState_t,4,6.465470116618077,Clean
RenderModel_Vertex_t,3,6.465470116618077,Clean
RenderModel_TextureMap_t,2,6.465470116618077,Clean
RenderModel_t,2,6.465470116618077,Clean
RenderModel_ControllerMode_State_t,1,6.465470116618077,Clean
NotificationBitmap_t,3,6.465470116618077,Clean
COpenVRContext,8,6.465470116618077,Fault_proner
OpenVR,9,6.465470116618077,Fault_proner
