Component,Threshold,Cutoff,Status
LinkToMainCamera,0,8.95916955017301,Clean
GizmoType,1,8.95916955017301,Clean
GizmoTypeDrawer,1,8.95916955017301,Clean
LoadbalancingPeer,6,8.95916955017301,Clean
EnterRoomParams,3,8.95916955017301,Clean
OpJoinRandomRoomParams,4,8.95916955017301,Clean
ErrorCode,4,8.95916955017301,Clean
ActorProperties,2,8.95916955017301,Clean
GamePropertyKey,3,8.95916955017301,Clean
EventCode,2,8.95916955017301,Clean
ParameterCode,3,8.95916955017301,Clean
OperationCode,3,8.95916955017301,Clean
JoinMode,1,8.95916955017301,Clean
MatchmakingMode,1,8.95916955017301,Clean
ReceiverGroup,1,8.95916955017301,Clean
EventCaching,1,8.95916955017301,Clean
PropertyTypeFlag,0,8.95916955017301,Clean
RaiseEventOptions,3,8.95916955017301,Clean
LobbyType,0,8.95916955017301,Clean
TypedLobby,5,8.95916955017301,Clean
TypedLobbyInfo,1,8.95916955017301,Clean
CustomAuthenticationType,1,8.95916955017301,Clean
AuthenticationValues,7,8.95916955017301,Clean
SocketUdp,4,8.95916955017301,Clean
IPunObservable,0,8.95916955017301,Clean
IPunCallbacks,3,8.95916955017301,Clean
IPunPrefabPool,0,8.95916955017301,Clean
MonoBehaviour,2,8.95916955017301,Clean
PunBehaviour,5,8.95916955017301,Clean
PhotonMessageInfo,5,8.95916955017301,Clean
RoomOptions,4,8.95916955017301,Clean
PunEvent,2,8.95916955017301,Clean
PhotonStream,6,8.95916955017301,Clean
HelpURL,0,8.95916955017301,Clean
EditorSceneManager,3,8.95916955017301,Clean
SceneManager,1,8.95916955017301,Clean
SceneManagerHelper,2,8.95916955017301,Clean
WebRpcResponse,3,8.95916955017301,Clean
TimeKeeper,2,8.95916955017301,Clean
ChatChannel,8,8.95916955017301,Clean
ChatClient,8,8.95916955017301,Clean
ChatDisconnectCause,1,8.95916955017301,Clean
ChatEventCode,3,8.95916955017301,Clean
ChatOperationCode,3,8.95916955017301,Clean
ChatParameterCode,3,8.95916955017301,Clean
ChatPeer,9,8.95916955017301,Fault_proner
ChatState,1,8.95916955017301,Clean
ChatUserStatus,2,8.95916955017301,Clean
IChatClientListener,5,8.95916955017301,Clean
ReorderableListResources,6,8.95916955017301,Clean
ResourceName,0,8.95916955017301,Clean
