Component,Threshold,Cutoff,Status
GridInformationType,1,8.96807114739758,Clean
GridInformation,7,8.96807114739758,Clean
GridInformationValue,2,8.96807114739758,Clean
GridInformationKey,2,8.96807114739758,Clean
AnimatedTile,5,8.96807114739758,Clean
AnimatedTileEditor,2,8.96807114739758,Clean
PipelineTile,5,8.96807114739758,Clean
PipelineTileEditor,2,8.96807114739758,Clean
RandomTile,2,8.96807114739758,Clean
RandomTileEditor,2,8.96807114739758,Clean
TerrainTile,5,8.96807114739758,Clean
TerrainTileEditor,2,8.96807114739758,Clean
RuleTile,7,8.96807114739758,Clean
TilingRule,4,8.96807114739758,Clean
Transform,1,8.96807114739758,Clean
Neighbor,1,8.96807114739758,Clean
OutputSprite,1,8.96807114739758,Clean
CinemachineBlendListCamera,10,8.96807114739758,Fault_proner
Instruction,3,8.96807114739758,Clean
CinemachineBrain,9,8.96807114739758,Fault_proner
UpdateMethod,1,8.96807114739758,Clean
BrainEvent,1,8.96807114739758,Clean
VcamEvent,1,8.96807114739758,Clean
OverrideStackFrame,4,8.96807114739758,Clean
StaticPointVirtualCamera,5,8.96807114739758,Clean
BlendSourceVirtualCamera,5,8.96807114739758,Clean
CinemachineClearShot,10,8.96807114739758,Fault_proner
Pair,2,8.96807114739758,Clean
CinemachineCollider,10,8.96807114739758,Fault_proner
ResolutionStrategy,1,8.96807114739758,Clean
VcamExtraState,3,8.96807114739758,Clean
CinemachineConfiner,9,8.96807114739758,Fault_proner
Mode,1,8.96807114739758,Clean
CinemachineDollyCart,6,8.96807114739758,Clean
CinemachineExternalCamera,5,8.96807114739758,Clean
CinemachineFollowZoom,6,8.96807114739758,Clean
CinemachineFreeLook,10,8.96807114739758,Fault_proner
Orbit,3,8.96807114739758,Clean
CinemachineMixingCamera,10,8.96807114739758,Fault_proner
CinemachinePath,9,8.96807114739758,Fault_proner
Waypoint,4,8.96807114739758,Clean
CinemachinePipeline,0,8.96807114739758,Clean
CinemachineSmoothPath,10,8.96807114739758,Fault_proner
CinemachineStateDrivenCamera,10,8.96807114739758,Fault_proner
ParentHash,2,8.96807114739758,Clean
CinemachineTargetGroup,8,8.96807114739758,Clean
Target,3,8.96807114739758,Clean
PositionMode,0,8.96807114739758,Clean
RotationMode,0,8.96807114739758,Clean
CinemachineVirtualCamera,10,8.96807114739758,Fault_proner
CinemachineBasicMultiChannelPerlin,8,8.96807114739758,Clean
CinemachineComposer,11,8.96807114739758,Fault_proner
CinemachineFramingTransposer,9,8.96807114739758,Fault_proner
FramingMode,1,8.96807114739758,Clean
AdjustmentMode,1,8.96807114739758,Clean
CinemachineGroupComposer,9,8.96807114739758,Fault_proner
CinemachineHardLockToTarget,3,8.96807114739758,Clean
CinemachineHardLookAt,2,8.96807114739758,Clean
CinemachineOrbitalTransposer,10,8.96807114739758,Fault_proner
Heading,4,8.96807114739758,Clean
HeadingDefinition,1,8.96807114739758,Clean
Recentering,5,8.96807114739758,Clean
HeadingTracker,7,8.96807114739758,Clean
Item,2,8.96807114739758,Clean
CinemachinePOV,7,8.96807114739758,Clean
CinemachineSameAsFollowObject,3,8.96807114739758,Clean
CinemachineTrackedDolly,10,8.96807114739758,Fault_proner
CameraUpMode,1,8.96807114739758,Clean
AutoDolly,3,8.96807114739758,Clean
CinemachineTransposer,11,8.96807114739758,Fault_proner
BindingMode,1,8.96807114739758,Clean
AxisState,8,8.96807114739758,Clean
CameraState,9,8.96807114739758,Fault_proner
CustomBlendable,2,8.96807114739758,Clean
CinemachineBlend,7,8.96807114739758,Clean
CinemachineBlendDefinition,5,8.96807114739758,Clean
Style,1,8.96807114739758,Clean
CinemachineBlenderSettings,6,8.96807114739758,Clean
CustomBlend,3,8.96807114739758,Clean
CinemachineComponentBase,8,8.96807114739758,Clean
CinemachineCore,9,8.96807114739758,Fault_proner
Stage,1,8.96807114739758,Clean
UpdateStatus,5,8.96807114739758,Clean
UpdateFilter,1,8.96807114739758,Clean
CinemachineExtension,8,8.96807114739758,Clean
CinemachinePathBase,10,8.96807114739758,Fault_proner
Appearance,3,8.96807114739758,Clean
PositionUnits,1,8.96807114739758,Clean
LensSettingsPropertyAttribute,0,8.96807114739758,Clean
CinemachineBlendDefinitionPropertyAttribute,1,8.96807114739758,Clean
SaveDuringPlayAttribute,0,8.96807114739758,Clean
NoSaveDuringPlayAttribute,1,8.96807114739758,Clean
TagFieldAttribute,0,8.96807114739758,Clean
DocumentationSortingAttribute,1,8.96807114739758,Clean
Level,0,8.96807114739758,Clean
CinemachineVirtualCameraBase,11,8.96807114739758,Fault_proner
ICinemachineCamera,5,8.96807114739758,Clean
LensSettings,7,8.96807114739758,Clean
NoiseSettings,4,8.96807114739758,Clean
NoiseParams,2,8.96807114739758,Clean
TransformNoiseParams,2,8.96807114739758,Clean
CinemachineGameWindowDebug,3,8.96807114739758,Clean
GaussianWindow1d<T>,6,8.96807114739758,Clean
GaussianWindow1D_Vector3,0,8.96807114739758,Clean
GaussianWindow1D_Quaternion,0,8.96807114739758,Clean
GaussianWindow1D_CameraRotation,1,8.96807114739758,Clean
PositionPredictor,6,8.96807114739758,Clean
Damper,7,8.96807114739758,Clean
ReflectionHelpers,5,8.96807114739758,Clean
SplineHelpers,5,8.96807114739758,Clean
UnityVectorExtensions,6,8.96807114739758,Clean
UnityQuaternionExtensions,5,8.96807114739758,Clean
UnityRectExtensions,0,8.96807114739758,Clean
CinemachineMixer,6,8.96807114739758,Clean
CinemachineShotPlayable,2,8.96807114739758,Clean
CinemachineShot,2,8.96807114739758,Clean
CinemachineTrack,1,8.96807114739758,Clean
AxisTouchButton,7,8.96807114739758,Clean
ButtonHandler,4,8.96807114739758,Clean
CrossPlatformInputManager,8,8.96807114739758,Clean
ActiveInputMethod,0,8.96807114739758,Clean
VirtualAxis,4,8.96807114739758,Clean
VirtualButton,7,8.96807114739758,Clean
InputAxisScrollbar,1,8.96807114739758,Clean
Joystick,7,8.96807114739758,Clean
AxisOption,1,8.96807114739758,Clean
MobileControlRig,4,8.96807114739758,Clean
TiltInput,6,8.96807114739758,Clean
AxisOptions,0,8.96807114739758,Clean
AxisMapping,2,8.96807114739758,Clean
MappingType,0,8.96807114739758,Clean
TiltInputAxisStylePropertyDrawer,0,8.96807114739758,Clean
TouchPad,7,8.96807114739758,Clean
ControlStyle,0,8.96807114739758,Clean
VirtualInput,8,8.96807114739758,Clean
MobileInput,6,8.96807114739758,Clean
StandaloneInput,5,8.96807114739758,Clean
CoordinateBrush,3,8.96807114739758,Clean
CoordinateBrushEditor,2,8.96807114739758,Clean
GameObjectBrush,7,8.96807114739758,Clean
BrushCell,2,8.96807114739758,Clean
GameObjectBrushEditor,2,8.96807114739758,Clean
LineBrush,6,8.96807114739758,Clean
LineBrushEditor,1,8.96807114739758,Clean
PrefabBrush,6,8.96807114739758,Clean
PrefabBrushEditor,2,8.96807114739758,Clean
RandomBrush,3,8.96807114739758,Clean
RandomBrushEditor,5,8.96807114739758,Clean
TintBrushSmooth,6,8.96807114739758,Clean
TintBrushSmoothEditor,1,8.96807114739758,Clean
TintBrush,5,8.96807114739758,Clean
TintBrushEditor,1,8.96807114739758,Clean
RuleTileEditor,7,8.96807114739758,Clean
MenuItemData,3,8.96807114739758,Clean
CinemachineBasicMultiChannelPerlinEditor,6,8.96807114739758,Clean
CinemachineBlenderSettingsEditor,7,8.96807114739758,Clean
CinemachineBlendListCameraEditor,5,8.96807114739758,Clean
CinemachineBrainEditor,5,8.96807114739758,Clean
InstallGizmos,0,8.96807114739758,Clean
CinemachineClearShotEditor,5,8.96807114739758,Clean
ColliderState,0,8.96807114739758,Clean
CinemachineColliderEditor,4,8.96807114739758,Clean
CinemachineComposerEditor,5,8.96807114739758,Clean
CinemachineConfinerEditor,4,8.96807114739758,Clean
CinemachineExternalCameraEditor,0,8.96807114739758,Clean
CinemachineFramingTransposerEditor,4,8.96807114739758,Clean
CinemachineGroupComposerEditor,6,8.96807114739758,Clean
CinemachineHardLockToTargetEditor,0,8.96807114739758,Clean
CinemachineHardLookAtEditor,0,8.96807114739758,Clean
CinemachineMixingCameraEditor,4,8.96807114739758,Clean
CinemachineOrbitalTransposerEditor,4,8.96807114739758,Clean
CinemachinePathEditor,6,8.96807114739758,Clean
CinemachinePOVEditor,0,8.96807114739758,Clean
CinemachineScreenComposerGuides,8,8.96807114739758,Clean
DragBar,0,8.96807114739758,Clean
CinemachineSmoothPathEditor,4,8.96807114739758,Clean
CinemachineStateDrivenCameraEditor,5,8.96807114739758,Clean
StateCollector,5,8.96807114739758,Clean
CinemachineTargetGroupEditor,4,8.96807114739758,Clean
CinemachineTrackedDollyEditor,4,8.96807114739758,Clean
CinemachineTransposerEditor,4,8.96807114739758,Clean
CinemachineVirtualCameraBaseEditor<T>,5,8.96807114739758,Clean
CinemachineVirtualCameraEditor,5,8.96807114739758,Clean
StageData,3,8.96807114739758,Clean
CreatePipelineWithUndo,1,8.96807114739758,Clean
CollectGizmoDrawers,2,8.96807114739758,Clean
CinemachineMenu,7,8.96807114739758,Clean
CinemachineBlendDefinitionPropertyDrawer,1,8.96807114739758,Clean
CinemachineTagFieldPropertyDrawer,0,8.96807114739758,Clean
LensSettingsPropertyDrawer,5,8.96807114739758,Clean
BaseEditor<T>,4,8.96807114739758,Clean
EmbeddeAssetEditor<T>,6,8.96807114739758,Clean
ScriptableObjectUtility,6,8.96807114739758,Clean
SerializedPropertyHelper,3,8.96807114739758,Clean
AboutWindow,6,8.96807114739758,Clean
CinemachineSettings,7,8.96807114739758,Clean
CinemachineCoreSettings,5,8.96807114739758,Clean
ComposerSettings,5,8.96807114739758,Clean
CinemachineFreeLookEditor,5,8.96807114739758,Clean
CreateRigWithUndo,1,8.96807114739758,Clean
CinemachineColliderPrefs,3,8.96807114739758,Clean
ObjectTreeUtil,5,8.96807114739758,Clean
GameObjectFieldScanner,6,8.96807114739758,Clean
ObjectStateSaver,7,8.96807114739758,Clean
SaveDuringPlay,7,8.96807114739758,Clean
PostFXAutoImport,0,8.96807114739758,Clean
EditorInitialize,1,8.96807114739758,Clean
CinemachineShotEditor,5,8.96807114739758,Clean
CrossPlatformInitialize,4,8.96807114739758,Clean
