Component,Threshold,Cutoff,Status
BaseAndroidDevice,7,7.492733564013843,Clean
BaseVRDevice,8,7.492733564013843,Fault_proner
EditorDevice,5,7.492733564013843,Clean
GvrDevice,8,7.492733564013843,Fault_proner
UnityVRDevice,4,7.492733564013843,Clean
ControllerProviderFactory,1,7.492733564013843,Clean
AndroidNativeControllerProvider,7,7.492733564013843,Clean
gvr_quat,2,7.492733564013843,Clean
gvr_vec3,2,7.492733564013843,Clean
gvr_vec2,1,7.492733564013843,Clean
DummyControllerProvider,4,7.492733564013843,Clean
EmulatorControllerProvider,8,7.492733564013843,Fault_proner
ControllerState,2,7.492733564013843,Clean
EmulatorClientSocket,6,7.492733564013843,Clean
EmulatorConfig,4,7.492733564013843,Clean
Mode,1,7.492733564013843,Clean
EmulatorGyroEvent,3,7.492733564013843,Clean
EmulatorAccelEvent,3,7.492733564013843,Clean
EmulatorTouchEvent,8,7.492733564013843,Fault_proner
Action,0,7.492733564013843,Clean
Pointer,9,7.492733564013843,Fault_proner
EmulatorOrientationEvent,3,7.492733564013843,Clean
EmulatorButtonEvent,3,7.492733564013843,Clean
ButtonCode,1,7.492733564013843,Clean
EmulatorManager,8,7.492733564013843,Fault_proner
IControllerProvider,2,7.492733564013843,Clean
PhoneEvent,9,7.492733564013843,Fault_proner
Types,2,7.492733564013843,Clean
Type,1,7.492733564013843,Clean
MotionEvent,9,7.492733564013843,Fault_proner
Builder,8,7.492733564013843,Fault_proner
GyroscopeEvent,9,7.492733564013843,Fault_proner
AccelerometerEvent,9,7.492733564013843,Fault_proner
DepthMapEvent,9,7.492733564013843,Fault_proner
OrientationEvent,9,7.492733564013843,Fault_proner
KeyEvent,9,7.492733564013843,Fault_proner
FirstPersonController,5,7.492733564013843,Clean
HeadBob,3,7.492733564013843,Clean
MouseLook,7,7.492733564013843,Clean
RigidbodyFirstPersonController,8,7.492733564013843,Fault_proner
MovementSettings,3,7.492733564013843,Clean
AdvancedSettings,3,7.492733564013843,Clean
Ball,2,7.492733564013843,Clean
BallUserControl,2,7.492733564013843,Clean
AICharacterControl,3,7.492733564013843,Clean
ThirdPersonCharacter,5,7.492733564013843,Clean
ThirdPersonUserControl,2,7.492733564013843,Clean
AxisTouchButton,5,7.492733564013843,Clean
ButtonHandler,5,7.492733564013843,Clean
CrossPlatformInputManager,7,7.492733564013843,Clean
ActiveInputMethod,1,7.492733564013843,Clean
VirtualAxis,3,7.492733564013843,Clean
VirtualButton,5,7.492733564013843,Clean
InputAxisScrollbar,2,7.492733564013843,Clean
Joystick,6,7.492733564013843,Clean
AxisOption,1,7.492733564013843,Clean
MobileControlRig,2,7.492733564013843,Clean
TiltInput,4,7.492733564013843,Clean
AxisOptions,0,7.492733564013843,Clean
AxisMapping,2,7.492733564013843,Clean
MappingType,0,7.492733564013843,Clean
TiltInputAxisStylePropertyDrawer,0,7.492733564013843,Clean
TouchPad,6,7.492733564013843,Clean
ControlStyle,1,7.492733564013843,Clean
VirtualInput,8,7.492733564013843,Fault_proner
MobileInput,6,7.492733564013843,Clean
StandaloneInput,4,7.492733564013843,Clean
ActivateTrigger,3,7.492733564013843,Clean
AutoMobileShaderSwitch,2,7.492733564013843,Clean
ReplacementDefinition,1,7.492733564013843,Clean
ReplacementList,2,7.492733564013843,Clean
ReplacementListDrawer,1,7.492733564013843,Clean
AutoMoveAndRotate,3,7.492733564013843,Clean
Vector3andSpace,2,7.492733564013843,Clean
CameraRefocus,5,7.492733564013843,Clean
CurveControlledBob,3,7.492733564013843,Clean
DragRigidbody,2,7.492733564013843,Clean
DynamicShadowSettings,2,7.492733564013843,Clean
FollowTarget,1,7.492733564013843,Clean
FOVKick,6,7.492733564013843,Clean
FPSCounter,1,7.492733564013843,Clean
LerpControlledBob,3,7.492733564013843,Clean
ObjectResetter,1,7.492733564013843,Clean
ParticleSystemDestroyer,2,7.492733564013843,Clean
PlatformSpecificContent,4,7.492733564013843,Clean
BuildTargetGroup,1,7.492733564013843,Clean
SimpleActivatorMenu,2,7.492733564013843,Clean
SimpleMouseRotator,4,7.492733564013843,Clean
SmoothFollow,1,7.492733564013843,Clean
TimedObjectActivator,2,7.492733564013843,Clean
Entry,3,7.492733564013843,Clean
Entries,2,7.492733564013843,Clean
EntriesDrawer,2,7.492733564013843,Clean
TimedObjectDestructor,0,7.492733564013843,Clean
WaypointCircuit,7,7.492733564013843,Clean
WaypointList,2,7.492733564013843,Clean
RoutePoint,2,7.492733564013843,Clean
WaypointListDrawer,3,7.492733564013843,Clean
TransformNameComparer,0,7.492733564013843,Clean
WaypointProgressTracker,6,7.492733564013843,Clean
ProgressStyle,1,7.492733564013843,Clean
CrossPlatformInitialize,3,7.492733564013843,Clean
