Component,Threshold,Cutoff,Status
GizmoType,1,8.483044982698962,Clean
GizmoTypeDrawer,1,8.483044982698962,Clean
LoadbalancingPeer,6,8.483044982698962,Clean
EnterRoomParams,3,8.483044982698962,Clean
OpJoinRandomRoomParams,4,8.483044982698962,Clean
ErrorCode,4,8.483044982698962,Clean
ActorProperties,2,8.483044982698962,Clean
GamePropertyKey,3,8.483044982698962,Clean
EventCode,2,8.483044982698962,Clean
ParameterCode,3,8.483044982698962,Clean
OperationCode,4,8.483044982698962,Clean
JoinMode,1,8.483044982698962,Clean
MatchmakingMode,1,8.483044982698962,Clean
ReceiverGroup,1,8.483044982698962,Clean
EventCaching,1,8.483044982698962,Clean
PropertyTypeFlag,0,8.483044982698962,Clean
RaiseEventOptions,3,8.483044982698962,Clean
LobbyType,0,8.483044982698962,Clean
TypedLobby,5,8.483044982698962,Clean
TypedLobbyInfo,2,8.483044982698962,Clean
CustomAuthenticationType,1,8.483044982698962,Clean
AuthenticationValues,7,8.483044982698962,Clean
SocketUdp,5,8.483044982698962,Clean
IPunObservable,0,8.483044982698962,Clean
IPunCallbacks,3,8.483044982698962,Clean
IPunPrefabPool,1,8.483044982698962,Clean
MonoBehaviour,2,8.483044982698962,Clean
PunBehaviour,5,8.483044982698962,Clean
PhotonMessageInfo,5,8.483044982698962,Clean
RoomOptions,4,8.483044982698962,Clean
PunEvent,2,8.483044982698962,Clean
PhotonStream,6,8.483044982698962,Clean
HelpURL,0,8.483044982698962,Clean
EditorSceneManager,3,8.483044982698962,Clean
SceneManager,2,8.483044982698962,Clean
SceneManagerHelper,2,8.483044982698962,Clean
WebRpcResponse,4,8.483044982698962,Clean
TimeKeeper,4,8.483044982698962,Clean
Scoreboard,7,8.483044982698962,Clean
PlayerTurnObserver,6,8.483044982698962,Clean
HandleEndGame,7,8.483044982698962,Clean
GameStateChangedEvent,4,8.483044982698962,Clean
NextPlayerEvent,4,8.483044982698962,Clean
PlaceTowerPieceEvent,5,8.483044982698962,Clean
PlayerLostEvent,4,8.483044982698962,Clean
PlayerReadyEvent,2,8.483044982698962,Clean
PlayerWonEvent,4,8.483044982698962,Clean
ScoreChangedEvent,4,8.483044982698962,Clean
