Component,Threshold,Cutoff,Status
FirstPersonController,5,8.252706677514237,Clean
HeadBob,6,8.252706677514237,Clean
MouseLook,8,8.252706677514237,Clean
RigidbodyFirstPersonController,8,8.252706677514237,Clean
MovementSettings,7,8.252706677514237,Clean
AdvancedSettings,3,8.252706677514237,Clean
Ball,6,8.252706677514237,Clean
BallUserControl,5,8.252706677514237,Clean
AICharacterControl,7,8.252706677514237,Clean
ThirdPersonCharacter,6,8.252706677514237,Clean
ThirdPersonUserControl,5,8.252706677514237,Clean
AxisTouchButton,7,8.252706677514237,Clean
ButtonHandler,6,8.252706677514237,Clean
CrossPlatformInputManager,8,8.252706677514237,Clean
ActiveInputMethod,1,8.252706677514237,Clean
VirtualAxis,6,8.252706677514237,Clean
VirtualButton,7,8.252706677514237,Clean
InputAxisScrollbar,4,8.252706677514237,Clean
Joystick,7,8.252706677514237,Clean
AxisOption,1,8.252706677514237,Clean
MobileControlRig,3,8.252706677514237,Clean
TiltInput,6,8.252706677514237,Clean
AxisOptions,1,8.252706677514237,Clean
AxisMapping,4,8.252706677514237,Clean
MappingType,1,8.252706677514237,Clean
TiltInputAxisStylePropertyDrawer,3,8.252706677514237,Clean
TouchPad,7,8.252706677514237,Clean
ControlStyle,1,8.252706677514237,Clean
VirtualInput,9,8.252706677514237,Fault_proner
MobileInput,6,8.252706677514237,Clean
StandaloneInput,5,8.252706677514237,Clean
TiltInput_duplicated,6,8.252706677514237,Clean
AxisOptions_duplicated,0,8.252706677514237,Clean
AxisMapping_duplicated,3,8.252706677514237,Clean
MappingType_duplicated,0,8.252706677514237,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,8.252706677514237,Clean
ActivateTrigger,6,8.252706677514237,Clean
Mode,1,8.252706677514237,Clean
AutoMobileShaderSwitch,1,8.252706677514237,Clean
ReplacementDefinition,3,8.252706677514237,Clean
ReplacementList,2,8.252706677514237,Clean
ReplacementListDrawer,5,8.252706677514237,Clean
AutoMoveAndRotate,6,8.252706677514237,Clean
Vector3andSpace,3,8.252706677514237,Clean
CameraRefocus,6,8.252706677514237,Clean
CurveControlledBob,7,8.252706677514237,Clean
DragRigidbody,4,8.252706677514237,Clean
DynamicShadowSettings,5,8.252706677514237,Clean
FollowTarget,2,8.252706677514237,Clean
FOVKick,7,8.252706677514237,Clean
FPSCounter,4,8.252706677514237,Clean
LerpControlledBob,7,8.252706677514237,Clean
ObjectResetter,5,8.252706677514237,Clean
ParticleSystemDestroyer,6,8.252706677514237,Clean
PlatformSpecificContent,5,8.252706677514237,Clean
BuildTargetGroup,1,8.252706677514237,Clean
SimpleActivatorMenu,5,8.252706677514237,Clean
SimpleMouseRotator,6,8.252706677514237,Clean
SmoothFollow,4,8.252706677514237,Clean
TimedObjectActivator,6,8.252706677514237,Clean
Action,1,8.252706677514237,Clean
Entry,4,8.252706677514237,Clean
Entries,3,8.252706677514237,Clean
EntriesDrawer,6,8.252706677514237,Clean
TimedObjectDestructor,3,8.252706677514237,Clean
WaypointCircuit,9,8.252706677514237,Fault_proner
WaypointList,4,8.252706677514237,Clean
RoutePoint,4,8.252706677514237,Clean
WaypointListDrawer,6,8.252706677514237,Clean
TransformNameComparer,1,8.252706677514237,Clean
WaypointProgressTracker,8,8.252706677514237,Clean
ProgressStyle,1,8.252706677514237,Clean
AutoMobileShaderSwitch_duplicated,1,8.252706677514237,Clean
ReplacementDefinition_duplicated,2,8.252706677514237,Clean
ReplacementList_duplicated,2,8.252706677514237,Clean
ReplacementListDrawer_duplicated,5,8.252706677514237,Clean
TimedObjectActivator_duplicated,5,8.252706677514237,Clean
Action_duplicated,0,8.252706677514237,Clean
Entry_duplicated,3,8.252706677514237,Clean
Entries_duplicated,2,8.252706677514237,Clean
EntriesDrawer_duplicated,6,8.252706677514237,Clean
WaypointCircuit_duplicated,8,8.252706677514237,Clean
WaypointList_duplicated,3,8.252706677514237,Clean
RoutePoint_duplicated,4,8.252706677514237,Clean
WaypointListDrawer_duplicated,6,8.252706677514237,Clean
TransformNameComparer_duplicated,1,8.252706677514237,Clean
CrossPlatformInitialize,4,8.252706677514237,Clean
