Component,Threshold,Cutoff,Status
ControllerProviderFactory,1,8.158584807492195,Clean
DummyControllerProvider,2,8.158584807492195,Clean
EditorControllerProvider,4,8.158584807492195,Clean
EmulatorControllerProvider,7,8.158584807492195,Clean
MouseControllerProvider,8,8.158584807492195,Clean
ControllerState,2,8.158584807492195,Clean
EmulatorClientSocketConnectionState,1,8.158584807492195,Clean
EmulatorClientSocket,6,8.158584807492195,Clean
EmulatorConfig,4,8.158584807492195,Clean
Mode,1,8.158584807492195,Clean
EmulatorGyroEvent,3,8.158584807492195,Clean
EmulatorAccelEvent,3,8.158584807492195,Clean
EmulatorTouchEvent,7,8.158584807492195,Clean
Action,1,8.158584807492195,Clean
Pointer,9,8.158584807492195,Fault_proner
EmulatorOrientationEvent,3,8.158584807492195,Clean
EmulatorButtonEvent,3,8.158584807492195,Clean
ButtonCode,1,8.158584807492195,Clean
EmulatorManager,7,8.158584807492195,Clean
IControllerProvider,2,8.158584807492195,Clean
HeadsetProviderFactory,1,8.158584807492195,Clean
gvr_feature,0,8.158584807492195,Clean
gvr_property_type,0,8.158584807492195,Clean
gvr_value_type,0,8.158584807492195,Clean
gvr_recenter_flags,0,8.158584807492195,Clean
DummyHeadsetProvider,4,8.158584807492195,Clean
EditorHeadsetProvider,5,8.158584807492195,Clean
HeadsetState,2,8.158584807492195,Clean
IHeadsetProvider,3,8.158584807492195,Clean
InstantPreview,3,8.158584807492195,Clean
Resolutions,0,8.158584807492195,Clean
ResolutionSize,1,8.158584807492195,Clean
MultisampleCounts,0,8.158584807492195,Clean
BitRates,0,8.158584807492195,Clean
UnityRect,3,8.158584807492195,Clean
UnityEyeViews,3,8.158584807492195,Clean
IKeyboardProvider,3,8.158584807492195,Clean
KeyboardProviderFactory,1,8.158584807492195,Clean
AndroidNativeKeyboardProvider,7,8.158584807492195,Clean
gvr_clock_time_point,2,8.158584807492195,Clean
gvr_recti,3,8.158584807492195,Clean
DummyKeyboardProvider,4,8.158584807492195,Clean
EmulatorKeyboardProvider,6,8.158584807492195,Clean
GvrCursorHelper,1,8.158584807492195,Clean
PhoneEvent,9,8.158584807492195,Fault_proner
Types,2,8.158584807492195,Clean
Type,1,8.158584807492195,Clean
MotionEvent,9,8.158584807492195,Fault_proner
Builder,8,8.158584807492195,Clean
GyroscopeEvent,9,8.158584807492195,Fault_proner
AccelerometerEvent,9,8.158584807492195,Fault_proner
DepthMapEvent,9,8.158584807492195,Fault_proner
OrientationEvent,9,8.158584807492195,Fault_proner
KeyEvent,9,8.158584807492195,Fault_proner
Benchmark01,2,8.158584807492195,Clean
Benchmark01_UGUI,2,8.158584807492195,Clean
Benchmark02,2,8.158584807492195,Clean
Benchmark03,1,8.158584807492195,Clean
Benchmark04,2,8.158584807492195,Clean
CameraController,5,8.158584807492195,Clean
CameraModes,1,8.158584807492195,Clean
ObjectSpin,3,8.158584807492195,Clean
MotionType,1,8.158584807492195,Clean
ShaderPropAnimator,2,8.158584807492195,Clean
SimpleScript,0,8.158584807492195,Clean
SkewTextExample,4,8.158584807492195,Clean
TeleType,0,8.158584807492195,Clean
TextConsoleSimulator,2,8.158584807492195,Clean
TextMeshProFloatingText,5,8.158584807492195,Clean
TextMeshSpawner,3,8.158584807492195,Clean
TMP_ExampleScript_01,3,8.158584807492195,Clean
objectType,1,8.158584807492195,Clean
TMP_FrameRateCounter,4,8.158584807492195,Clean
FpsCounterAnchorPositions,1,8.158584807492195,Clean
TMP_TextEventCheck,4,8.158584807492195,Clean
TMP_TextInfoDebugTool,5,8.158584807492195,Clean
TMP_TextSelector_A,3,8.158584807492195,Clean
TMP_TextSelector_B,6,8.158584807492195,Clean
TMP_UiFrameRateCounter,4,8.158584807492195,Clean
TMPro_InstructionOverlay,3,8.158584807492195,Clean
VertexColorCycler,0,8.158584807492195,Clean
VertexJitter,6,8.158584807492195,Clean
VertexAnim,2,8.158584807492195,Clean
VertexShakeA,5,8.158584807492195,Clean
VertexShakeB,5,8.158584807492195,Clean
VertexZoom,5,8.158584807492195,Clean
WarpTextExample,3,8.158584807492195,Clean
TMP_DigitValidator,0,8.158584807492195,Clean
TMP_TextEventHandler,7,8.158584807492195,Clean
CharacterSelectionEvent,1,8.158584807492195,Clean
WordSelectionEvent,1,8.158584807492195,Clean
LineSelectionEvent,1,8.158584807492195,Clean
LinkSelectionEvent,1,8.158584807492195,Clean
