Component,Threshold,Cutoff,Status
SetRoomRotationUsingHead,4,6.9407898815797635,Clean
AnalogInterface,4,6.9407898815797635,Clean
ButtonInterface,4,6.9407898815797635,Clean
ClientKit,6,6.9407898815797635,Clean
DirectionInterface,6,6.9407898815797635,Clean
DisplayController,7,6.9407898815797635,Fault_proner
DLLSearchPathFixer,5,6.9407898815797635,Clean
PathTools,1,6.9407898815797635,Clean
EyeTracker2DInterface,4,6.9407898815797635,Clean
EyeTracker3DInterface,4,6.9407898815797635,Clean
EyeTrackerBlinkInterface,4,6.9407898815797635,Clean
GetParent,1,6.9407898815797635,Clean
ImagingInterface,4,6.9407898815797635,Clean
InterfaceBase,1,6.9407898815797635,Clean
InterfaceCallbacks,6,6.9407898815797635,Clean
InterfaceGameObject,5,6.9407898815797635,Clean
Location2DInterface,4,6.9407898815797635,Clean
Math,4,6.9407898815797635,Clean
NaviPositionInterface,4,6.9407898815797635,Clean
NaviVelocityInterface,4,6.9407898815797635,Clean
OrientationInterface,6,6.9407898815797635,Clean
OsvrCharacterMotor,6,6.9407898815797635,Clean
OsvrCharacterMotorMovement,3,6.9407898815797635,Clean
OsvrCharacterMotorJumping,3,6.9407898815797635,Clean
OsvrInputController,2,6.9407898815797635,Clean
OsvrMirrorDisplay,5,6.9407898815797635,Clean
OsvrMouseLook,4,6.9407898815797635,Clean
RotationAxes,0,6.9407898815797635,Clean
OsvrRenderManager,7,6.9407898815797635,Fault_proner
OSVR_ProjectionMatrix,2,6.9407898815797635,Clean
OSVR_ViewportDescription,2,6.9407898815797635,Clean
OsvrUnityNativeVR,7,6.9407898815797635,Fault_proner
StereoRigSetup,0,6.9407898815797635,Clean
PoseInterface,6,6.9407898815797635,Clean
PositionInterface,6,6.9407898815797635,Clean
RequiresAnalogInterface,2,6.9407898815797635,Clean
RequiresButtonInterface,2,6.9407898815797635,Clean
RequiresDirectionInterface,2,6.9407898815797635,Clean
RequiresEyeTracker2DInterface,2,6.9407898815797635,Clean
RequiresEyeTracker3DInterface,2,6.9407898815797635,Clean
RequiresEyeTrackerBlinkInterface,2,6.9407898815797635,Clean
RequiresImagingInterface,2,6.9407898815797635,Clean
RequiresNaviPositionInterface,2,6.9407898815797635,Clean
RequiresNaviVelocityInterface,2,6.9407898815797635,Clean
RequiresOrientationInterface,2,6.9407898815797635,Clean
RequiresPoseInterface,2,6.9407898815797635,Clean
RequiresPositionInterface,2,6.9407898815797635,Clean
SkeletonInterface,7,6.9407898815797635,Fault_proner
PostRotationType,0,6.9407898815797635,Clean
VREye,7,6.9407898815797635,Fault_proner
VRSurface,8,6.9407898815797635,Fault_proner
VRViewer,7,6.9407898815797635,Fault_proner
AutoRecenter,2,6.9407898815797635,Clean
OrientationAdapter,2,6.9407898815797635,Clean
PositionAdapter,2,6.9407898815797635,Clean
Pose3,2,6.9407898815797635,Clean
PoseAdapter,3,6.9407898815797635,Clean
Location2DAdapter,2,6.9407898815797635,Clean
EyeTracker3DState,2,6.9407898815797635,Clean
EyeTracker3DAdapter,3,6.9407898815797635,Clean
InterfaceGameObjectBase,7,6.9407898815797635,Fault_proner
PathHolder,2,6.9407898815797635,Clean
IRequiresInterface,2,6.9407898815797635,Clean
K1RadialDistortion,3,6.9407898815797635,Clean
K1RadialDistortionFactory,7,6.9407898815797635,Fault_proner
SessionData,8,6.9407898815797635,Fault_proner
GameType,1,6.9407898815797635,Clean
ExampleInteractiveItem,5,6.9407898815797635,Clean
ExampleRenderScale,0,6.9407898815797635,Clean
ExampleRotation,1,6.9407898815797635,Clean
ExampleTouchpad,5,6.9407898815797635,Clean
Asteroid,8,6.9407898815797635,Fault_proner
AsteroidExplosion,5,6.9407898815797635,Clean
EnvironmentController,7,6.9407898815797635,Fault_proner
FlyerAlignmentChecker,7,6.9407898815797635,Fault_proner
FlyerGameController,7,6.9407898815797635,Fault_proner
FlyerHealthController,7,6.9407898815797635,Fault_proner
FlyerLaser,8,6.9407898815797635,Fault_proner
FlyerLaserController,5,6.9407898815797635,Clean
FlyerMovementController,7,6.9407898815797635,Fault_proner
Ring,8,6.9407898815797635,Fault_proner
UIController,7,6.9407898815797635,Fault_proner
ExplosionPhysicsForce,3,6.9407898815797635,Clean
ParticleSystemMultiplier,2,6.9407898815797635,Clean
IntroManager,2,6.9407898815797635,Clean
AgentTrail,6,6.9407898815797635,Clean
AICharacterControl,8,6.9407898815797635,Fault_proner
CameraOrbit,7,6.9407898815797635,Fault_proner
OrbitStyle,1,6.9407898815797635,Clean
DestinationMarker,7,6.9407898815797635,Fault_proner
ExitArea,7,6.9407898815797635,Fault_proner
MazeGameController,7,6.9407898815797635,Fault_proner
MazeTargetSetting,7,6.9407898815797635,Fault_proner
Player,8,6.9407898815797635,Fault_proner
SwitchButton,7,6.9407898815797635,Fault_proner
ThirdPersonCharacter,6,6.9407898815797635,Clean
Turret,7,6.9407898815797635,Fault_proner
MenuAnimator,5,6.9407898815797635,Clean
MenuButton,5,6.9407898815797635,Clean
MenuItemPopout,2,6.9407898815797635,Clean
MenuSelectorMover,4,6.9407898815797635,Clean
ShootingGalleryController,7,6.9407898815797635,Fault_proner
ShootingGalleryGun,5,6.9407898815797635,Clean
ShootingGalleryScore,1,6.9407898815797635,Clean
ShootingTarget,7,6.9407898815797635,Fault_proner
GUIArrows,6,6.9407898815797635,Clean
InputWarnings,7,6.9407898815797635,Fault_proner
ObjectPool,6,6.9407898815797635,Clean
PlatformDependentText,3,6.9407898815797635,Clean
PlatformTextPair,3,6.9407898815797635,Clean
Reticle,7,6.9407898815797635,Fault_proner
ReturnToMainMenu,4,6.9407898815797635,Clean
SelectionRadial,8,6.9407898815797635,Fault_proner
SelectionSlider,7,6.9407898815797635,Fault_proner
UIFader,7,6.9407898815797635,Fault_proner
UIMovement,3,6.9407898815797635,Clean
UITint,5,6.9407898815797635,Clean
VRCameraFade,7,6.9407898815797635,Fault_proner
VRCameraUI,0,6.9407898815797635,Clean
VRDeviceManager,1,6.9407898815797635,Clean
VREyeRaycaster,7,6.9407898815797635,Fault_proner
VRFPSCounter,1,6.9407898815797635,Clean
VRInput,7,6.9407898815797635,Fault_proner
SwipeDirection,1,6.9407898815797635,Clean
VRInteractiveItem,6,6.9407898815797635,Clean
VRTrackingReset,0,6.9407898815797635,Clean
CrossPlatformInitialize,3,6.9407898815797635,Clean
