Component,Threshold,Cutoff,Status
EventSystemChecker,0,8.06141801810765,Clean
Pause,7,8.06141801810765,Clean
PlayMusic,7,8.06141801810765,Clean
QuitApplication,1,8.06141801810765,Clean
SetAudioLevels,3,8.06141801810765,Clean
StartOptions,8,8.06141801810765,Clean
SensorResponseHandler,5,8.06141801810765,Clean
VRAVEObstacle,2,8.06141801810765,Clean
VRAVESensor,3,8.06141801810765,Clean
Sensors,8,8.06141801810765,Clean
HUDAsyncController,6,8.06141801810765,Clean
HUDAudioController,9,8.06141801810765,Fault_proner
HUDAudioModel,4,8.06141801810765,Clean
HUDController,8,8.06141801810765,Clean
HUDModel,9,8.06141801810765,Fault_proner
HUDModel_Left,2,8.06141801810765,Clean
HUDModel_Right,2,8.06141801810765,Clean
HUDModel_RightTop,2,8.06141801810765,Clean
HUDModel_Upright,3,8.06141801810765,Clean
HUDVRAVE_Default,3,8.06141801810765,Clean
BackToMainMenu,2,8.06141801810765,Clean
FollowingSensorResponseHandler,7,8.06141801810765,Clean
HUD_LanePassing_Init,4,8.06141801810765,Clean
LanePassingAudioModel,1,8.06141801810765,Clean
LanePassingScenario,7,8.06141801810765,Clean
States,1,8.06141801810765,Clean
LanePassingSensorResponseHandler,7,8.06141801810765,Clean
ReactionTimeAudioModel,1,8.06141801810765,Clean
ReactionTimeScenario,7,8.06141801810765,Clean
SensitiveSensorResponseHandler,5,8.06141801810765,Clean
TrashCanAnimator,3,8.06141801810765,Clean
TrashcanSensorResponseHandler,6,8.06141801810765,Clean
ScenarioTemplate,6,8.06141801810765,Clean
Trigger,2,8.06141801810765,Clean
AICarCollisionChecker,5,8.06141801810765,Clean
WeatherAudioModel,1,8.06141801810765,Clean
WeatherHUDModel,3,8.06141801810765,Clean
WeatherScenario,7,8.06141801810765,Clean
WeatherSpawnModel,4,8.06141801810765,Clean
SpawnController,7,8.06141801810765,Clean
SpawnModel,5,8.06141801810765,Clean
SpawnTriple,3,8.06141801810765,Clean
AmbientAudioController,5,8.06141801810765,Clean
CameraFade,8,8.06141801810765,Clean
ChangeSelected,5,8.06141801810765,Clean
VRAVEStrings,4,8.06141801810765,Clean
CarAIControl,6,8.06141801810765,Clean
BrakeCondition,1,8.06141801810765,Clean
CarDriveType,1,8.06141801810765,Clean
SpeedType,1,8.06141801810765,Clean
CarController,8,8.06141801810765,Clean
CarSelfRighting,4,8.06141801810765,Clean
CarUserControl,2,8.06141801810765,Clean
Speedometer,2,8.06141801810765,Clean
VisualSteeringWheelController,3,8.06141801810765,Clean
StateBehaviour,8,8.06141801810765,Clean
StateEngine,8,8.06141801810765,Clean
StateTransition,1,8.06141801810765,Clean
StateMapping,4,8.06141801810765,Clean
SessionData,8,8.06141801810765,Clean
GameType,1,8.06141801810765,Clean
ExampleInteractiveItem,5,8.06141801810765,Clean
ExampleRenderScale,0,8.06141801810765,Clean
ExampleRotation,1,8.06141801810765,Clean
ExampleTouchpad,5,8.06141801810765,Clean
Asteroid,8,8.06141801810765,Clean
AsteroidExplosion,5,8.06141801810765,Clean
EnvironmentController,7,8.06141801810765,Clean
FlyerAlignmentChecker,7,8.06141801810765,Clean
FlyerGameController,7,8.06141801810765,Clean
FlyerHealthController,7,8.06141801810765,Clean
FlyerLaser,8,8.06141801810765,Clean
FlyerLaserController,5,8.06141801810765,Clean
FlyerMovementController,7,8.06141801810765,Clean
Ring,8,8.06141801810765,Clean
UIController,7,8.06141801810765,Clean
ExplosionPhysicsForce,3,8.06141801810765,Clean
ParticleSystemMultiplier,2,8.06141801810765,Clean
IntroManager,2,8.06141801810765,Clean
AgentTrail,6,8.06141801810765,Clean
AICharacterControl,8,8.06141801810765,Clean
CameraOrbit,7,8.06141801810765,Clean
OrbitStyle,1,8.06141801810765,Clean
DestinationMarker,7,8.06141801810765,Clean
ExitArea,7,8.06141801810765,Clean
MazeGameController,7,8.06141801810765,Clean
MazeTargetSetting,7,8.06141801810765,Clean
Player,8,8.06141801810765,Clean
SwitchButton,7,8.06141801810765,Clean
ThirdPersonCharacter,6,8.06141801810765,Clean
Turret,7,8.06141801810765,Clean
MenuAnimator,5,8.06141801810765,Clean
MenuButton,5,8.06141801810765,Clean
MenuItemPopout,3,8.06141801810765,Clean
MenuSelectorMover,5,8.06141801810765,Clean
ShootingGalleryController,7,8.06141801810765,Clean
ShootingGalleryGun,5,8.06141801810765,Clean
ShootingGalleryScore,1,8.06141801810765,Clean
ShootingTarget,7,8.06141801810765,Clean
GUIArrows,6,8.06141801810765,Clean
InputWarnings,7,8.06141801810765,Clean
ObjectPool,6,8.06141801810765,Clean
PlatformDependentText,4,8.06141801810765,Clean
PlatformTextPair,3,8.06141801810765,Clean
Reticle,7,8.06141801810765,Clean
ReturnToMainMenu,4,8.06141801810765,Clean
SelectionRadial,8,8.06141801810765,Clean
SelectionSlider,7,8.06141801810765,Clean
UIFader,7,8.06141801810765,Clean
UIMovement,4,8.06141801810765,Clean
UITint,5,8.06141801810765,Clean
VRCameraFade,7,8.06141801810765,Clean
VRCameraUI,0,8.06141801810765,Clean
VRDeviceManager,3,8.06141801810765,Clean
VREyeRaycaster,7,8.06141801810765,Clean
VRFPSCounter,2,8.06141801810765,Clean
VRInput,7,8.06141801810765,Clean
SwipeDirection,1,8.06141801810765,Clean
VRInteractiveItem,6,8.06141801810765,Clean
VRTrackingReset,0,8.06141801810765,Clean
AxisTouchButton,7,8.06141801810765,Clean
ButtonHandler,6,8.06141801810765,Clean
CrossPlatformInputManager,8,8.06141801810765,Clean
ActiveInputMethod,1,8.06141801810765,Clean
VirtualAxis,6,8.06141801810765,Clean
VirtualButton,7,8.06141801810765,Clean
InputAxisScrollbar,4,8.06141801810765,Clean
Joystick,7,8.06141801810765,Clean
AxisOption,1,8.06141801810765,Clean
MobileControlRig,3,8.06141801810765,Clean
TiltInput,6,8.06141801810765,Clean
AxisOptions,0,8.06141801810765,Clean
AxisMapping,2,8.06141801810765,Clean
MappingType,0,8.06141801810765,Clean
TiltInputAxisStylePropertyDrawer,2,8.06141801810765,Clean
TouchPad,7,8.06141801810765,Clean
ControlStyle,1,8.06141801810765,Clean
VirtualInput,9,8.06141801810765,Fault_proner
MobileInput,6,8.06141801810765,Clean
StandaloneInput,5,8.06141801810765,Clean
ActivateTrigger,6,8.06141801810765,Clean
Mode,1,8.06141801810765,Clean
AutoMobileShaderSwitch,1,8.06141801810765,Clean
ReplacementDefinition,1,8.06141801810765,Clean
ReplacementList,2,8.06141801810765,Clean
ReplacementListDrawer,4,8.06141801810765,Clean
AutoMoveAndRotate,4,8.06141801810765,Clean
Vector3andSpace,2,8.06141801810765,Clean
CameraRefocus,6,8.06141801810765,Clean
CurveControlledBob,6,8.06141801810765,Clean
DragRigidbody,4,8.06141801810765,Clean
DynamicShadowSettings,5,8.06141801810765,Clean
FollowTarget,1,8.06141801810765,Clean
FOVKick,6,8.06141801810765,Clean
FPSCounter,2,8.06141801810765,Clean
LerpControlledBob,5,8.06141801810765,Clean
ObjectResetter,5,8.06141801810765,Clean
ParticleSystemDestroyer,6,8.06141801810765,Clean
PlatformSpecificContent,5,8.06141801810765,Clean
BuildTargetGroup,1,8.06141801810765,Clean
SimpleActivatorMenu,4,8.06141801810765,Clean
SimpleMouseRotator,6,8.06141801810765,Clean
SmoothFollow,3,8.06141801810765,Clean
TimedObjectActivator,5,8.06141801810765,Clean
Action,0,8.06141801810765,Clean
