Component,Threshold,Cutoff,Status
AvatarLogger,6,9.498782983642926,Clean
ovrAvatarCapabilities,0,9.498782983642926,Clean
ovrAvatarMessageType,0,9.498782983642926,Clean
ovrAvatarMessage_AvatarSpecification,2,9.498782983642926,Clean
ovrAvatarMessage_AssetLoaded,2,9.498782983642926,Clean
ovrAvatarAssetType,0,9.498782983642926,Clean
ovrAvatarMeshVertex,2,9.498782983642926,Clean
ovrAvatarMeshVertexV2,3,9.498782983642926,Clean
ovrAvatarMeshAssetData,2,9.498782983642926,Clean
ovrAvatarMeshAssetDataV2,2,9.498782983642926,Clean
ovrAvatarTextureFormat,0,9.498782983642926,Clean
ovrAvatarTextureAssetData,2,9.498782983642926,Clean
ovrAvatarRenderPartType,0,9.498782983642926,Clean
ovrAvatarTransform,2,9.498782983642926,Clean
ovrAvatarButton,0,9.498782983642926,Clean
ovrAvatarTouch,0,9.498782983642926,Clean
ovrAvatarHandInputState,2,9.498782983642926,Clean
ovrAvatarComponent,2,9.498782983642926,Clean
ovrAvatarBaseComponent,2,9.498782983642926,Clean
ovrAvatarBodyComponent,2,9.498782983642926,Clean
ovrAvatarControllerComponent,2,9.498782983642926,Clean
ovrAvatarHandComponent,2,9.498782983642926,Clean
ovrAvatarMaterialLayerBlendMode,0,9.498782983642926,Clean
ovrAvatarMaterialLayerSampleMode,0,9.498782983642926,Clean
ovrAvatarMaterialMaskType,0,9.498782983642926,Clean
ovrAvatarControllerType,0,9.498782983642926,Clean
ovrAvatarAssetLevelOfDetail,0,9.498782983642926,Clean
ovrAvatarLookAndFeelVersion,0,9.498782983642926,Clean
ovrAvatarMaterialLayerState,5,9.498782983642926,Clean
ovrAvatarMaterialState,5,9.498782983642926,Clean
ovrAvatarPBSMaterialState,5,9.498782983642926,Clean
OvrAvatarAssetMaterial,3,9.498782983642926,Clean
ovrAvatarSkinnedMeshPose,2,9.498782983642926,Clean
ovrAvatarVisibilityFlags,0,9.498782983642926,Clean
ovrAvatarRenderPart_SkinnedMeshRender,2,9.498782983642926,Clean
ovrAvatarRenderPart_SkinnedMeshRenderPBS,2,9.498782983642926,Clean
ovrAvatarRenderPart_ProjectorRender,2,9.498782983642926,Clean
ovrAvatarRenderPart_SkinnedMeshRenderPBS_V2,2,9.498782983642926,Clean
ovrAvatarHandGesture,0,9.498782983642926,Clean
ovrAvatarBodyPartType,0,9.498782983642926,Clean
CAPI,8,9.498782983642926,Clean
AchievementType,1,9.498782983642926,Clean
AndroidPlatform,3,9.498782983642926,Clean
ApplicationOptions,3,9.498782983642926,Clean
Callback,6,9.498782983642926,Clean
RequestCallback,7,9.498782983642926,Clean
RequestCallback<T>,5,9.498782983642926,Clean
CallbackRunner,6,9.498782983642926,Clean
ovrKeyValuePair,7,9.498782983642926,Clean
ovrMatchmakingCriterion,4,9.498782983642926,Clean
ovrMatchmakingCustomQueryData,3,9.498782983642926,Clean
OculusInitParams,3,9.498782983642926,Clean
CloudStorageDataStatus,2,9.498782983642926,Clean
CloudStorageUpdateStatus,1,9.498782983642926,Clean
IMicrophone,2,9.498782983642926,Clean
IVoipPCMSource,4,9.498782983642926,Clean
KeyValuePairType,1,9.498782983642926,Clean
LaunchType,1,9.498782983642926,Clean
LeaderboardFilterType,1,9.498782983642926,Clean
LeaderboardStartAt,1,9.498782983642926,Clean
LivestreamingAudience,1,9.498782983642926,Clean
LivestreamingMicrophoneStatus,1,9.498782983642926,Clean
LivestreamingStartStatus,1,9.498782983642926,Clean
MatchmakingCriterionImportance,1,9.498782983642926,Clean
MatchmakingOptions,7,9.498782983642926,Clean
MatchmakingStatApproach,1,9.498782983642926,Clean
MediaContentType,1,9.498782983642926,Clean
Message<T>,3,9.498782983642926,Clean
Message,9,9.498782983642926,Clean
MessageType,2,9.498782983642926,Clean
MessageWithAchievementDefinitions,3,9.498782983642926,Clean
MessageWithAchievementProgressList,3,9.498782983642926,Clean
MessageWithAchievementUpdate,3,9.498782983642926,Clean
MessageWithApplicationVersion,3,9.498782983642926,Clean
MessageWithAssetFileDeleteResult,3,9.498782983642926,Clean
MessageWithAssetFileDownloadCancelResult,3,9.498782983642926,Clean
MessageWithAssetFileDownloadResult,3,9.498782983642926,Clean
MessageWithAssetFileDownloadUpdate,3,9.498782983642926,Clean
MessageWithCloudStorageConflictMetadata,3,9.498782983642926,Clean
MessageWithCloudStorageData,3,9.498782983642926,Clean
MessageWithCloudStorageMetadataUnderLocal,3,9.498782983642926,Clean
MessageWithCloudStorageMetadataList,3,9.498782983642926,Clean
MessageWithCloudStorageUpdateResponse,3,9.498782983642926,Clean
MessageWithInstalledApplicationList,3,9.498782983642926,Clean
MessageWithLeaderboardEntryList,3,9.498782983642926,Clean
MessageWithLivestreamingApplicationStatus,3,9.498782983642926,Clean
MessageWithLivestreamingStartResult,3,9.498782983642926,Clean
MessageWithLivestreamingStatus,3,9.498782983642926,Clean
MessageWithLivestreamingVideoStats,3,9.498782983642926,Clean
MessageWithMatchmakingAdminSnapshot,3,9.498782983642926,Clean
MessageWithMatchmakingEnqueueResult,3,9.498782983642926,Clean
MessageWithMatchmakingEnqueueResultAndRoom,3,9.498782983642926,Clean
MessageWithMatchmakingStatsUnderMatchmakingStats,3,9.498782983642926,Clean
MessageWithOrgScopedID,3,9.498782983642926,Clean
MessageWithParty,3,9.498782983642926,Clean
MessageWithPartyUnderCurrentParty,3,9.498782983642926,Clean
MessageWithPartyID,3,9.498782983642926,Clean
MessageWithPidList,3,9.498782983642926,Clean
MessageWithProductList,3,9.498782983642926,Clean
MessageWithPurchase,3,9.498782983642926,Clean
MessageWithPurchaseList,3,9.498782983642926,Clean
MessageWithRoom,3,9.498782983642926,Clean
MessageWithRoomUnderCurrentRoom,3,9.498782983642926,Clean
MessageWithRoomUnderViewerRoom,3,9.498782983642926,Clean
MessageWithRoomList,3,9.498782983642926,Clean
MessageWithRoomInviteNotification,3,9.498782983642926,Clean
MessageWithRoomInviteNotificationList,3,9.498782983642926,Clean
MessageWithSdkAccountList,3,9.498782983642926,Clean
MessageWithShareMediaResult,3,9.498782983642926,Clean
MessageWithString,3,9.498782983642926,Clean
MessageWithSystemPermission,3,9.498782983642926,Clean
MessageWithSystemVoipState,3,9.498782983642926,Clean
MessageWithUser,3,9.498782983642926,Clean
MessageWithUserAndRoomList,3,9.498782983642926,Clean
MessageWithUserList,3,9.498782983642926,Clean
MessageWithUserProof,3,9.498782983642926,Clean
MessageWithUserReportID,3,9.498782983642926,Clean
MessageWithNetworkingPeer,3,9.498782983642926,Clean
MessageWithPingResult,3,9.498782983642926,Clean
MessageWithLeaderboardDidUpdate,3,9.498782983642926,Clean
MessageWithMatchmakingNotification,3,9.498782983642926,Clean
MessageWithMatchmakingBrowseResult,5,9.498782983642926,Clean
MessageWithHttpTransferUpdate,3,9.498782983642926,Clean
MessageWithPlatformInitialize,3,9.498782983642926,Clean
MicrophoneInput,6,9.498782983642926,Clean
MicrophoneInputNative,7,9.498782983642926,Clean
Packet,8,9.498782983642926,Clean
PeerConnectionState,1,9.498782983642926,Clean
PermissionGrantStatus,1,9.498782983642926,Clean
PermissionType,1,9.498782983642926,Clean
Core,8,9.498782983642926,Clean
ApplicationLifecycle,1,9.498782983642926,Clean
Rooms,5,9.498782983642926,Clean
Livestreaming,5,9.498782983642926,Clean
Matchmaking,5,9.498782983642926,Clean
CustomQuery,6,9.498782983642926,Clean
Criterion,4,9.498782983642926,Clean
Net,5,9.498782983642926,Clean
Leaderboards,5,9.498782983642926,Clean
Voip,5,9.498782983642926,Clean
Achievements,5,9.498782983642926,Clean
Application,3,9.498782983642926,Clean
AssetFile,5,9.498782983642926,Clean
Avatar,0,9.498782983642926,Clean
CloudStorage,5,9.498782983642926,Clean
Entitlements,1,9.498782983642926,Clean
GraphAPI,0,9.498782983642926,Clean
HTTP,1,9.498782983642926,Clean
IAP,5,9.498782983642926,Clean
Media,2,9.498782983642926,Clean
Notifications,5,9.498782983642926,Clean
Parties,1,9.498782983642926,Clean
Users,5,9.498782983642926,Clean
PlatformInitializeResult,2,9.498782983642926,Clean
PlatformInternal,3,9.498782983642926,Clean
MessageTypeInternal,2,9.498782983642926,Clean
PlatformSettings,4,9.498782983642926,Clean
Request<T>,2,9.498782983642926,Clean
Request,8,9.498782983642926,Clean
RoomJoinability,2,9.498782983642926,Clean
RoomJoinPolicy,1,9.498782983642926,Clean
RoomMembershipLockStatus,1,9.498782983642926,Clean
RoomOptions,7,9.498782983642926,Clean
RoomType,1,9.498782983642926,Clean
SdkAccountType,1,9.498782983642926,Clean
