Component,Threshold,Cutoff,Status
BodyCollider,1,6.506305044853127,Clean
CircularDrive,6,6.506305044853127,Clean
Axis_t,0,6.506305044853127,Clean
ComplexThrowable,6,6.506305044853127,Clean
AttachMode,1,6.506305044853127,Clean
ControllerHoverHighlight,7,6.506305044853127,Fault_proner
CustomEvents,0,6.506305044853127,Clean
UnityEventSingleFloat,0,6.506305044853127,Clean
UnityEventHand,1,6.506305044853127,Clean
DebugUI,4,6.506305044853127,Clean
DestroyOnDetachedFromHand,1,6.506305044853127,Clean
DestroyOnParticleSystemDeath,1,6.506305044853127,Clean
DestroyOnTriggerEnter,2,6.506305044853127,Clean
DistanceHaptics,2,6.506305044853127,Clean
DontDestroyOnLoad,0,6.506305044853127,Clean
EnumFlags,2,6.506305044853127,Clean
EnumFlagsPropertyDrawer,1,6.506305044853127,Clean
FallbackCameraController,5,6.506305044853127,Clean
Hand,9,6.506305044853127,Fault_proner
HandType,1,6.506305044853127,Clean
AttachmentFlags,1,6.506305044853127,Clean
AttachedObject,3,6.506305044853127,Clean
HandEditor,4,6.506305044853127,Clean
HapticRack,6,6.506305044853127,Clean
HideOnHandFocusLost,1,6.506305044853127,Clean
IgnoreHovering,1,6.506305044853127,Clean
InputModule,6,6.506305044853127,Clean
Interactable,4,6.506305044853127,Clean
InteractableButtonEvents,5,6.506305044853127,Clean
InteractableHoverEvents,6,6.506305044853127,Clean
ItemPackage,4,6.506305044853127,Clean
ItemPackageType,1,6.506305044853127,Clean
ItemPackageReference,2,6.506305044853127,Clean
ItemPackageSpawner,7,6.506305044853127,Fault_proner
LinearAnimation,6,6.506305044853127,Clean
LinearAnimator,6,6.506305044853127,Clean
LinearAudioPitch,6,6.506305044853127,Clean
LinearBlendshape,6,6.506305044853127,Clean
LinearDisplacement,5,6.506305044853127,Clean
LinearDrive,6,6.506305044853127,Clean
LinearMapping,1,6.506305044853127,Clean
Player,9,6.506305044853127,Fault_proner
PlaySound,7,6.506305044853127,Fault_proner
SeeThru,5,6.506305044853127,Clean
SleepOnAwake,0,6.506305044853127,Clean
SoundDeparent,1,6.506305044853127,Clean
SoundPlayOneshot,8,6.506305044853127,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,6.506305044853127,Clean
SpawnAndAttachToHand,3,6.506305044853127,Clean
SpawnRenderModel,5,6.506305044853127,Clean
Throwable,6,6.506305044853127,Clean
UIElement,5,6.506305044853127,Clean
UIElementEditor,2,6.506305044853127,Clean
Unparent,3,6.506305044853127,Clean
Util,8,6.506305044853127,Fault_proner
AfterTimer_Component,6,6.506305044853127,Clean
VelocityEstimator,7,6.506305044853127,Fault_proner
ControllerButtonHints,9,6.506305044853127,Fault_proner
OffsetType,1,6.506305044853127,Clean
ButtonHintInfo,3,6.506305044853127,Clean
ArcheryTarget,6,6.506305044853127,Clean
Arrow,8,6.506305044853127,Fault_proner
ArrowHand,7,6.506305044853127,Fault_proner
ArrowheadRotation,0,6.506305044853127,Clean
Balloon,8,6.506305044853127,Fault_proner
BalloonColor,1,6.506305044853127,Clean
BalloonColliders,4,6.506305044853127,Clean
BalloonHapticBump,2,6.506305044853127,Clean
BalloonSpawner,7,6.506305044853127,Fault_proner
ExplosionWobble,2,6.506305044853127,Clean
FireSource,7,6.506305044853127,Fault_proner
Longbow,8,6.506305044853127,Fault_proner
Handedness,1,6.506305044853127,Clean
SoundBowClick,5,6.506305044853127,Clean
ControllerHintsExample,5,6.506305044853127,Clean
InteractableExample,5,6.506305044853127,Clean
AllowTeleportWhileAttachedToHand,2,6.506305044853127,Clean
ChaperoneInfo,7,6.506305044853127,Fault_proner
IgnoreTeleportTrace,0,6.506305044853127,Clean
Teleport,9,6.506305044853127,Fault_proner
TeleportArc,8,6.506305044853127,Fault_proner
TeleportArea,9,6.506305044853127,Fault_proner
TeleportAreaEditor,4,6.506305044853127,Clean
TeleportMarkerBase,8,6.506305044853127,Fault_proner
TeleportPoint,10,6.506305044853127,Fault_proner
TeleportPointType,1,6.506305044853127,Clean
TeleportPointEditor,4,6.506305044853127,Clean
IVRSystem,3,6.506305044853127,Clean
IVRExtendedDisplay,2,6.506305044853127,Clean
IVRTrackedCamera,3,6.506305044853127,Clean
IVRApplications,3,6.506305044853127,Clean
IVRChaperone,3,6.506305044853127,Clean
IVRChaperoneSetup,3,6.506305044853127,Clean
IVRCompositor,3,6.506305044853127,Clean
IVROverlay,3,6.506305044853127,Clean
IVRRenderModels,3,6.506305044853127,Clean
IVRNotifications,1,6.506305044853127,Clean
IVRSettings,3,6.506305044853127,Clean
IVRScreenshots,3,6.506305044853127,Clean
IVRResources,1,6.506305044853127,Clean
