Component,Threshold,Cutoff,Status
GizmoType,1,7.962962962962964,Clean
GizmoTypeDrawer,1,7.962962962962964,Clean
IPunObservable,0,7.962962962962964,Clean
IPunCallbacks,3,7.962962962962964,Clean
IPunPrefabPool,0,7.962962962962964,Clean
MonoBehaviour,3,7.962962962962964,Clean
PunBehaviour,5,7.962962962962964,Clean
PhotonMessageInfo,4,7.962962962962964,Clean
PunEvent,2,7.962962962962964,Clean
PhotonStream,6,7.962962962962964,Clean
HelpURL,0,7.962962962962964,Clean
EditorSceneManager,3,7.962962962962964,Clean
SceneManager,2,7.962962962962964,Clean
SceneManagerHelper,1,7.962962962962964,Clean
WebRpcResponse,2,7.962962962962964,Clean
SocketUdp,5,7.962962962962964,Clean
PlayerRoomIndexing,9,7.962962962962964,Fault_proner
PlayerRoomIndexingExtensions,1,7.962962962962964,Clean
ButtonInsideScrollList,3,7.962962962962964,Clean
TextButtonTransition,4,7.962962962962964,Clean
TextToggleIsOnTransition,6,7.962962962962964,Clean
TimeKeeper,3,7.962962962962964,Clean
CameraRigSyncingSetup,3,7.962962962962964,Clean
NetworkManager,5,7.962962962962964,Clean
SDKChooser,6,7.962962962962964,Clean
SDKSetup,3,7.962962962962964,Clean
ReorderableListResources,6,7.962962962962964,Clean
ResourceName,0,7.962962962962964,Clean
PlayerRoomIndexingInspector,5,7.962962962962964,Clean
PunTeamsInspector,2,7.962962962962964,Clean
