Component,Threshold,Cutoff,Status
VRTKExample_ControllerEventsDelegateListeners,6,7.2961882577263495,Clean
EventQuickSelect,1,7.2961882577263495,Clean
VRTKExample_PointerObjectHighlighterActivator,6,7.2961882577263495,Clean
VRTKExample_BezierPointerChanger,3,7.2961882577263495,Clean
VRTKExample_BezierPointerCustomStyles,3,7.2961882577263495,Clean
VRTKExample_BezierPointerDefaults,1,7.2961882577263495,Clean
VRTKExample_BezierPointerLineRenderer,1,7.2961882577263495,Clean
ControllableReactor,5,7.2961882577263495,Clean
SnapDropZoneToggle,4,7.2961882577263495,Clean
ToggleCustomHands,6,7.2961882577263495,Clean
TogglePointerInteraction,6,7.2961882577263495,Clean
OptionType,0,7.2961882577263495,Clean
ClimbableHandLift,5,7.2961882577263495,Clean
ElevatorControl,3,7.2961882577263495,Clean
IgnoreTeleportDummy,0,7.2961882577263495,Clean
OptionsMenu,5,7.2961882577263495,Clean
ToggleGameObject,6,7.2961882577263495,Clean
ToggleGameObjectSliderOptions,1,7.2961882577263495,Clean
ToggleGameObjectSlider,5,7.2961882577263495,Clean
PanelMenuSaucerGrid,6,7.2961882577263495,Clean
Direction,1,7.2961882577263495,Clean
PanelMenuSphereSlider,5,7.2961882577263495,Clean
BeamRotator,1,7.2961882577263495,Clean
FireExtinguisher_Base,6,7.2961882577263495,Clean
FireExtinguisher_Sprayer,5,7.2961882577263495,Clean
GunShoot,5,7.2961882577263495,Clean
InteractableLamp,3,7.2961882577263495,Clean
ScaleOnUse,6,7.2961882577263495,Clean
InteractableWhirlyGig,5,7.2961882577263495,Clean
VRTKExample_OptionTile,4,7.2961882577263495,Clean
VRTKExample_OptionTilePointerSelector,4,7.2961882577263495,Clean
AutoRotation,1,7.2961882577263495,Clean
Breakable_Cube,2,7.2961882577263495,Clean
ButtonReactor,2,7.2961882577263495,Clean
Controller_Hand,5,7.2961882577263495,Clean
Hands,0,7.2961882577263495,Clean
Controller_Menu,4,7.2961882577263495,Clean
ControlReactor,5,7.2961882577263495,Clean
ControlsMenu,5,7.2961882577263495,Clean
ExcludeTeleport,0,7.2961882577263495,Clean
Gun,3,7.2961882577263495,Clean
HandLift,4,7.2961882577263495,Clean
Lamp,3,7.2961882577263495,Clean
LightSaber,7,7.2961882577263495,Clean
Menu_Color_Changer,2,7.2961882577263495,Clean
Menu_Container_Object_Colors,1,7.2961882577263495,Clean
Menu_Object_Spawner,4,7.2961882577263495,Clean
PrimitiveTypes,0,7.2961882577263495,Clean
ModelVillage_TeleportLocation,2,7.2961882577263495,Clean
Openable_Door,5,7.2961882577263495,Clean
PusherStickyToggle,6,7.2961882577263495,Clean
RC_Car,6,7.2961882577263495,Clean
RC_Car_Controller,2,7.2961882577263495,Clean
RealGun,8,7.2961882577263495,Fault_proner
RealGun_SafetySwitch,4,7.2961882577263495,Clean
RealGun_Slide,3,7.2961882577263495,Clean
Remote_Beam,1,7.2961882577263495,Clean
Remote_Beam_Controller,1,7.2961882577263495,Clean
RendererOffOnDash,3,7.2961882577263495,Clean
SnapDropZoneGroup_Switcher,3,7.2961882577263495,Clean
Sphere_Spawner,2,7.2961882577263495,Clean
Sword,5,7.2961882577263495,Clean
UI_Interactions,4,7.2961882577263495,Clean
UI_Keyboard,2,7.2961882577263495,Clean
UseRotate,5,7.2961882577263495,Clean
VRTK_ControllerAppearance_Example,6,7.2961882577263495,Clean
VRTK_ControllerEvents_ListenerExample,6,7.2961882577263495,Clean
VRTK_ControllerInteract_ListenerExample,3,7.2961882577263495,Clean
VRTK_ControllerPointerEvents_ListenerExample,3,7.2961882577263495,Clean
VRTK_ControllerUIPointerEvents_ListenerExample,3,7.2961882577263495,Clean
VRTK_RoomExtender_ControllerExample,4,7.2961882577263495,Clean
Whirlygig,4,7.2961882577263495,Clean
Zipline,4,7.2961882577263495,Clean
VRTKExample_FixSetup,2,7.2961882577263495,Clean
VRTKExample_ObjectListToggle,6,7.2961882577263495,Clean
VRTKExample_SceneSwitcher,6,7.2961882577263495,Clean
SceneChanger,4,7.2961882577263495,Clean
SceneLoader,4,7.2961882577263495,Clean
Arrow,7,7.2961882577263495,Clean
ArrowNotch,1,7.2961882577263495,Clean
ArrowSpawner,5,7.2961882577263495,Clean
BowAim,8,7.2961882577263495,Fault_proner
BowAnimation,0,7.2961882577263495,Clean
BowHandle,3,7.2961882577263495,Clean
Follow,3,7.2961882577263495,Clean
PanelMenuDemoFlyingSaucer,0,7.2961882577263495,Clean
PanelMenuDemoSphere,0,7.2961882577263495,Clean
PanelMenuUIGrid,5,7.2961882577263495,Clean
PanelMenuUISlider,2,7.2961882577263495,Clean
VRTK_BaseTest,3,7.2961882577263495,Clean
VRTK_ControllerReference_Setup,7,7.2961882577263495,Clean
AxisOverrides,3,7.2961882577263495,Clean
ApplyOverrideType,0,7.2961882577263495,Clean
VRTK_AvatarHandController,6,7.2961882577263495,Clean
OverrideState,0,7.2961882577263495,Clean
VRTK_ConsoleViewer,6,7.2961882577263495,Clean
ControllerRigidbodyActivatorEventArgs,1,7.2961882577263495,Clean
VRTK_ControllerRigidbodyActivator,8,7.2961882577263495,Fault_proner
ControllerTooltipsEventArgs,1,7.2961882577263495,Clean
VRTK_ControllerTooltips,8,7.2961882577263495,Fault_proner
TooltipButtons,1,7.2961882577263495,Clean
VRTK_DesktopCamera,6,7.2961882577263495,Clean
VRTK_DestinationPoint,8,7.2961882577263495,Fault_proner
RotationTypes,0,7.2961882577263495,Clean
VRTK_FramesPerSecondViewer,6,7.2961882577263495,Clean
ObjectTooltipEventArgs,1,7.2961882577263495,Clean
VRTK_ObjectTooltip,8,7.2961882577263495,Fault_proner
VRTK_PanelMenuController,7,7.2961882577263495,Clean
TouchpadPressPosition,0,7.2961882577263495,Clean
PanelMenuItemControllerEventArgs,1,7.2961882577263495,Clean
VRTK_PanelMenuItemController,5,7.2961882577263495,Clean
VRTK_PointerDirectionIndicator,8,7.2961882577263495,Fault_proner
VisibilityState,0,7.2961882577263495,Clean
RadialButtonIcon,0,7.2961882577263495,Clean
UICircle,4,7.2961882577263495,Clean
VRTK_IndependentRadialMenuController,7,7.2961882577263495,Clean
TouchAngleDeflection,2,7.2961882577263495,Clean
VRTK_RadialMenu,8,7.2961882577263495,Fault_proner
RadialMenuButton,2,7.2961882577263495,Clean
ButtonEvent,0,7.2961882577263495,Clean
VRTK_RadialMenuController,6,7.2961882577263495,Clean
VRTK_SDKSetupSwitcher,5,7.2961882577263495,Clean
ViewingState,0,7.2961882577263495,Clean
SnapDropZoneEventArgs,1,7.2961882577263495,Clean
