Component,Threshold,Cutoff,Status
Json,2,6.889506172839506,Clean
Parser,6,6.889506172839506,Clean
TOKEN,1,6.889506172839506,Clean
Serializer,3,6.889506172839506,Clean
BaseVRDevice,8,6.889506172839506,Fault_proner
EditorDevice,5,6.889506172839506,Clean
GvrDevice,7,6.889506172839506,Fault_proner
EmulatorClientSocket,6,6.889506172839506,Clean
EmulatorConfig,4,6.889506172839506,Clean
Mode,1,6.889506172839506,Clean
EmulatorGyroEvent,3,6.889506172839506,Clean
EmulatorAccelEvent,3,6.889506172839506,Clean
EmulatorTouchEvent,7,6.889506172839506,Fault_proner
Action,1,6.889506172839506,Clean
Pointer,2,6.889506172839506,Clean
EmulatorOrientationEvent,3,6.889506172839506,Clean
EmulatorButtonEvent,3,6.889506172839506,Clean
ButtonCode,1,6.889506172839506,Clean
EmulatorManager,7,6.889506172839506,Fault_proner
PhoneEvent,8,6.889506172839506,Fault_proner
Types,1,6.889506172839506,Clean
Type,0,6.889506172839506,Clean
MotionEvent,8,6.889506172839506,Fault_proner
Pointer_duplicated,8,6.889506172839506,Fault_proner
Builder,7,6.889506172839506,Fault_proner
GyroscopeEvent,8,6.889506172839506,Fault_proner
AccelerometerEvent,8,6.889506172839506,Fault_proner
DepthMapEvent,8,6.889506172839506,Fault_proner
OrientationEvent,8,6.889506172839506,Fault_proner
KeyEvent,8,6.889506172839506,Fault_proner
PhoneEvent_duplicated,9,6.889506172839506,Fault_proner
Types_duplicated,2,6.889506172839506,Clean
Type_duplicated,1,6.889506172839506,Clean
MotionEvent_duplicated,9,6.889506172839506,Fault_proner
Pointer_duplicated_duplicated,9,6.889506172839506,Fault_proner
Builder_duplicated,8,6.889506172839506,Fault_proner
GyroscopeEvent_duplicated,9,6.889506172839506,Fault_proner
AccelerometerEvent_duplicated,9,6.889506172839506,Fault_proner
DepthMapEvent_duplicated,9,6.889506172839506,Fault_proner
OrientationEvent_duplicated,9,6.889506172839506,Fault_proner
KeyEvent_duplicated,9,6.889506172839506,Fault_proner
AAMode,1,6.889506172839506,Clean
Antialiasing,5,6.889506172839506,Clean
Bloom,7,6.889506172839506,Fault_proner
LensFlareStyle,1,6.889506172839506,Clean
TweakMode,1,6.889506172839506,Clean
HDRBloomMode,1,6.889506172839506,Clean
BloomScreenBlendMode,1,6.889506172839506,Clean
BloomQuality,1,6.889506172839506,Clean
LensflareStyle34,1,6.889506172839506,Clean
TweakMode34,1,6.889506172839506,Clean
BloomAndFlares,7,6.889506172839506,Fault_proner
BloomOptimized,4,6.889506172839506,Clean
Resolution,1,6.889506172839506,Clean
BlurType,1,6.889506172839506,Clean
Blur,4,6.889506172839506,Clean
BlurOptimized,4,6.889506172839506,Clean
CameraMotionBlur,7,6.889506172839506,Fault_proner
MotionBlurFilter,1,6.889506172839506,Clean
ColorCorrectionCurves,7,6.889506172839506,Fault_proner
ColorCorrectionMode,1,6.889506172839506,Clean
ColorCorrectionLookup,6,6.889506172839506,Clean
ColorCorrectionRamp,1,6.889506172839506,Clean
ContrastEnhance,3,6.889506172839506,Clean
ContrastStretch,6,6.889506172839506,Clean
CreaseShading,3,6.889506172839506,Clean
DepthOfField,7,6.889506172839506,Fault_proner
BlurSampleCount,1,6.889506172839506,Clean
DepthOfFieldDeprecated,7,6.889506172839506,Fault_proner
Dof34QualitySetting,1,6.889506172839506,Clean
DofResolution,1,6.889506172839506,Clean
DofBlurriness,1,6.889506172839506,Clean
BokehDestination,1,6.889506172839506,Clean
EdgeDetection,6,6.889506172839506,Clean
EdgeDetectMode,1,6.889506172839506,Clean
Fisheye,3,6.889506172839506,Clean
GlobalFog,4,6.889506172839506,Clean
Grayscale,2,6.889506172839506,Clean
ImageEffectBase,2,6.889506172839506,Clean
ImageEffects,1,6.889506172839506,Clean
MotionBlur,3,6.889506172839506,Clean
NoiseAndGrain,5,6.889506172839506,Clean
NoiseAndScratches,3,6.889506172839506,Clean
PostEffectsBase,5,6.889506172839506,Clean
PostEffectsHelper,2,6.889506172839506,Clean
Quads,2,6.889506172839506,Clean
ScreenOverlay,4,6.889506172839506,Clean
OverlayBlendMode,1,6.889506172839506,Clean
ScreenSpaceAmbientObscurance,4,6.889506172839506,Clean
ScreenSpaceAmbientOcclusion,6,6.889506172839506,Clean
SSAOSamples,1,6.889506172839506,Clean
SepiaTone,1,6.889506172839506,Clean
SunShafts,5,6.889506172839506,Clean
SunShaftsResolution,1,6.889506172839506,Clean
ShaftsScreenBlendMode,1,6.889506172839506,Clean
TiltShift,4,6.889506172839506,Clean
TiltShiftMode,1,6.889506172839506,Clean
TiltShiftQuality,1,6.889506172839506,Clean
Tonemapping,7,6.889506172839506,Fault_proner
TonemapperType,1,6.889506172839506,Clean
AdaptiveTexSize,1,6.889506172839506,Clean
Triangles,1,6.889506172839506,Clean
Twirl,3,6.889506172839506,Clean
VignetteAndChromaticAberration,5,6.889506172839506,Clean
AberrationMode,1,6.889506172839506,Clean
Vortex,3,6.889506172839506,Clean
ProtectCameraFromWallClip,4,6.889506172839506,Clean
RayHitComparer,1,6.889506172839506,Clean
