Component,Threshold,Cutoff,Status
BaseVRDevice,6,7.22941646682654,Clean
EditorDevice,4,7.22941646682654,Clean
GvrDevice,5,7.22941646682654,Clean
ControllerProviderFactory,0,7.22941646682654,Clean
DummyControllerProvider,1,7.22941646682654,Clean
EmulatorControllerProvider,4,7.22941646682654,Clean
ControllerState,2,7.22941646682654,Clean
EmulatorClientSocket,3,7.22941646682654,Clean
EmulatorConfig,2,7.22941646682654,Clean
Mode,1,7.22941646682654,Clean
EmulatorGyroEvent,2,7.22941646682654,Clean
EmulatorAccelEvent,2,7.22941646682654,Clean
EmulatorTouchEvent,4,7.22941646682654,Clean
Action,1,7.22941646682654,Clean
Pointer,8,7.22941646682654,Fault_proner
EmulatorOrientationEvent,2,7.22941646682654,Clean
EmulatorButtonEvent,3,7.22941646682654,Clean
ButtonCode,1,7.22941646682654,Clean
EmulatorManager,5,7.22941646682654,Clean
IControllerProvider,1,7.22941646682654,Clean
PhoneEvent,9,7.22941646682654,Fault_proner
Types,2,7.22941646682654,Clean
Type,1,7.22941646682654,Clean
MotionEvent,9,7.22941646682654,Fault_proner
Builder,8,7.22941646682654,Fault_proner
GyroscopeEvent,8,7.22941646682654,Fault_proner
AccelerometerEvent,8,7.22941646682654,Fault_proner
DepthMapEvent,8,7.22941646682654,Fault_proner
OrientationEvent,8,7.22941646682654,Fault_proner
KeyEvent,8,7.22941646682654,Fault_proner
