Component,Threshold,Cutoff,Status
FirstPersonController,5,7.8674482110471775,Clean
HeadBob,6,7.8674482110471775,Clean
MouseLook,8,7.8674482110471775,Fault_proner
RigidbodyFirstPersonController,8,7.8674482110471775,Fault_proner
MovementSettings,7,7.8674482110471775,Clean
AdvancedSettings,3,7.8674482110471775,Clean
Ball,6,7.8674482110471775,Clean
BallUserControl,5,7.8674482110471775,Clean
AICharacterControl,6,7.8674482110471775,Clean
ThirdPersonCharacter,6,7.8674482110471775,Clean
ThirdPersonUserControl,5,7.8674482110471775,Clean
AxisTouchButton,7,7.8674482110471775,Clean
ButtonHandler,5,7.8674482110471775,Clean
CrossPlatformInputManager,8,7.8674482110471775,Fault_proner
ActiveInputMethod,1,7.8674482110471775,Clean
VirtualAxis,6,7.8674482110471775,Clean
VirtualButton,7,7.8674482110471775,Clean
InputAxisScrollbar,3,7.8674482110471775,Clean
Joystick,7,7.8674482110471775,Clean
AxisOption,1,7.8674482110471775,Clean
MobileControlRig,3,7.8674482110471775,Clean
TiltInput,6,7.8674482110471775,Clean
AxisOptions,0,7.8674482110471775,Clean
AxisMapping,2,7.8674482110471775,Clean
MappingType,0,7.8674482110471775,Clean
TiltInputAxisStylePropertyDrawer,2,7.8674482110471775,Clean
TouchPad,7,7.8674482110471775,Clean
ControlStyle,1,7.8674482110471775,Clean
VirtualInput,9,7.8674482110471775,Fault_proner
MobileInput,6,7.8674482110471775,Clean
StandaloneInput,5,7.8674482110471775,Clean
AAMode,1,7.8674482110471775,Clean
Antialiasing,9,7.8674482110471775,Fault_proner
Bloom,9,7.8674482110471775,Fault_proner
LensFlareStyle,1,7.8674482110471775,Clean
TweakMode,1,7.8674482110471775,Clean
HDRBloomMode,1,7.8674482110471775,Clean
BloomScreenBlendMode,1,7.8674482110471775,Clean
BloomQuality,1,7.8674482110471775,Clean
LensflareStyle34,1,7.8674482110471775,Clean
TweakMode34,1,7.8674482110471775,Clean
BloomAndFlares,9,7.8674482110471775,Fault_proner
BloomOptimized,8,7.8674482110471775,Fault_proner
Resolution,1,7.8674482110471775,Clean
BlurType,1,7.8674482110471775,Clean
Blur,7,7.8674482110471775,Clean
BlurOptimized,8,7.8674482110471775,Fault_proner
CameraMotionBlur,9,7.8674482110471775,Fault_proner
MotionBlurFilter,1,7.8674482110471775,Clean
ColorCorrectionCurves,9,7.8674482110471775,Fault_proner
ColorCorrectionMode,1,7.8674482110471775,Clean
ColorCorrectionLookup,8,7.8674482110471775,Fault_proner
ColorCorrectionRamp,1,7.8674482110471775,Clean
ContrastEnhance,7,7.8674482110471775,Clean
ContrastStretch,6,7.8674482110471775,Clean
CreaseShading,7,7.8674482110471775,Clean
DepthOfField,9,7.8674482110471775,Fault_proner
BlurSampleCount,1,7.8674482110471775,Clean
DepthOfFieldDeprecated,9,7.8674482110471775,Fault_proner
Dof34QualitySetting,1,7.8674482110471775,Clean
DofResolution,1,7.8674482110471775,Clean
DofBlurriness,1,7.8674482110471775,Clean
BokehDestination,1,7.8674482110471775,Clean
EdgeDetection,8,7.8674482110471775,Fault_proner
EdgeDetectMode,1,7.8674482110471775,Clean
Fisheye,6,7.8674482110471775,Clean
GlobalFog,7,7.8674482110471775,Clean
Grayscale,2,7.8674482110471775,Clean
ImageEffectBase,6,7.8674482110471775,Clean
ImageEffects,4,7.8674482110471775,Clean
MotionBlur,7,7.8674482110471775,Clean
NoiseAndGrain,8,7.8674482110471775,Fault_proner
NoiseAndScratches,6,7.8674482110471775,Clean
PostEffectsBase,7,7.8674482110471775,Clean
PostEffectsHelper,3,7.8674482110471775,Clean
