Component,Threshold,Cutoff,Status
AppButtonInput,0,7.377185780417504,Clean
Vector3Event,0,7.377185780417504,Clean
Vector2Event,0,7.377185780417504,Clean
FloatEvent,0,7.377185780417504,Clean
BoolEvent,0,7.377185780417504,Clean
ButtonEvent,0,7.377185780417504,Clean
TouchPadEvent,0,7.377185780417504,Clean
TransformEvent,0,7.377185780417504,Clean
GameObjectEvent,0,7.377185780417504,Clean
AutoPlayVideo,3,7.377185780417504,Clean
PositionSwapper,3,7.377185780417504,Clean
ToggleAction,5,7.377185780417504,Clean
BaseVRDevice,8,7.377185780417504,Fault_proner
EditorDevice,6,7.377185780417504,Clean
GvrDevice,7,7.377185780417504,Clean
EmulatorClientSocket,6,7.377185780417504,Clean
EmulatorConfig,4,7.377185780417504,Clean
Mode,1,7.377185780417504,Clean
EmulatorGyroEvent,3,7.377185780417504,Clean
EmulatorAccelEvent,3,7.377185780417504,Clean
EmulatorTouchEvent,8,7.377185780417504,Fault_proner
Action,1,7.377185780417504,Clean
Pointer,3,7.377185780417504,Clean
EmulatorOrientationEvent,3,7.377185780417504,Clean
EmulatorButtonEvent,3,7.377185780417504,Clean
ButtonCode,1,7.377185780417504,Clean
EmulatorManager,8,7.377185780417504,Fault_proner
PhoneEvent,8,7.377185780417504,Fault_proner
Types,1,7.377185780417504,Clean
Type,0,7.377185780417504,Clean
MotionEvent,8,7.377185780417504,Fault_proner
Pointer_duplicated,8,7.377185780417504,Fault_proner
Builder,7,7.377185780417504,Clean
GyroscopeEvent,8,7.377185780417504,Fault_proner
AccelerometerEvent,8,7.377185780417504,Fault_proner
DepthMapEvent,8,7.377185780417504,Fault_proner
OrientationEvent,8,7.377185780417504,Fault_proner
KeyEvent,8,7.377185780417504,Fault_proner
PhoneEvent_duplicated,9,7.377185780417504,Fault_proner
Types_duplicated,2,7.377185780417504,Clean
Type_duplicated,1,7.377185780417504,Clean
MotionEvent_duplicated,9,7.377185780417504,Fault_proner
Pointer_duplicated_duplicated,9,7.377185780417504,Fault_proner
Builder_duplicated,8,7.377185780417504,Fault_proner
GyroscopeEvent_duplicated,9,7.377185780417504,Fault_proner
AccelerometerEvent_duplicated,9,7.377185780417504,Fault_proner
DepthMapEvent_duplicated,9,7.377185780417504,Fault_proner
OrientationEvent_duplicated,9,7.377185780417504,Fault_proner
KeyEvent_duplicated,9,7.377185780417504,Fault_proner
FirstPersonController,5,7.377185780417504,Clean
HeadBob,3,7.377185780417504,Clean
MouseLook,6,7.377185780417504,Clean
RigidbodyFirstPersonController,8,7.377185780417504,Fault_proner
MovementSettings,4,7.377185780417504,Clean
AdvancedSettings,3,7.377185780417504,Clean
Ball,2,7.377185780417504,Clean
BallUserControl,3,7.377185780417504,Clean
AICharacterControl,3,7.377185780417504,Clean
ThirdPersonCharacter,6,7.377185780417504,Clean
ThirdPersonUserControl,4,7.377185780417504,Clean
AxisTouchButton,6,7.377185780417504,Clean
ButtonHandler,4,7.377185780417504,Clean
CrossPlatformInputManager,6,7.377185780417504,Clean
ActiveInputMethod,1,7.377185780417504,Clean
VirtualAxis,4,7.377185780417504,Clean
VirtualButton,5,7.377185780417504,Clean
InputAxisScrollbar,1,7.377185780417504,Clean
Joystick,7,7.377185780417504,Clean
AxisOption,1,7.377185780417504,Clean
MobileControlRig,2,7.377185780417504,Clean
TiltInput,6,7.377185780417504,Clean
AxisOptions,1,7.377185780417504,Clean
AxisMapping,3,7.377185780417504,Clean
MappingType,1,7.377185780417504,Clean
TiltInputAxisStylePropertyDrawer,0,7.377185780417504,Clean
TouchPad,7,7.377185780417504,Clean
ControlStyle,1,7.377185780417504,Clean
VirtualInput,7,7.377185780417504,Clean
MobileInput,6,7.377185780417504,Clean
StandaloneInput,4,7.377185780417504,Clean
TiltInput_duplicated,6,7.377185780417504,Clean
AxisOptions_duplicated,0,7.377185780417504,Clean
AxisMapping_duplicated,2,7.377185780417504,Clean
MappingType_duplicated,0,7.377185780417504,Clean
TiltInputAxisStylePropertyDrawer_duplicated,0,7.377185780417504,Clean
AAMode,1,7.377185780417504,Clean
Antialiasing,9,7.377185780417504,Fault_proner
Bloom,9,7.377185780417504,Fault_proner
LensFlareStyle,1,7.377185780417504,Clean
TweakMode,1,7.377185780417504,Clean
HDRBloomMode,1,7.377185780417504,Clean
BloomScreenBlendMode,1,7.377185780417504,Clean
BloomQuality,1,7.377185780417504,Clean
LensflareStyle34,1,7.377185780417504,Clean
TweakMode34,1,7.377185780417504,Clean
BloomAndFlares,8,7.377185780417504,Fault_proner
BloomOptimized,7,7.377185780417504,Clean
Resolution,1,7.377185780417504,Clean
BlurType,1,7.377185780417504,Clean
Blur,5,7.377185780417504,Clean
BlurOptimized,8,7.377185780417504,Fault_proner
CameraMotionBlur,8,7.377185780417504,Fault_proner
MotionBlurFilter,1,7.377185780417504,Clean
ColorCorrectionCurves,9,7.377185780417504,Fault_proner
ColorCorrectionMode,1,7.377185780417504,Clean
ColorCorrectionLookup,8,7.377185780417504,Fault_proner
ColorCorrectionRamp,1,7.377185780417504,Clean
ContrastEnhance,3,7.377185780417504,Clean
ContrastStretch,6,7.377185780417504,Clean
CreaseShading,3,7.377185780417504,Clean
DepthOfField,8,7.377185780417504,Fault_proner
BlurSampleCount,1,7.377185780417504,Clean
DepthOfFieldDeprecated,8,7.377185780417504,Fault_proner
Dof34QualitySetting,1,7.377185780417504,Clean
DofResolution,1,7.377185780417504,Clean
DofBlurriness,1,7.377185780417504,Clean
BokehDestination,1,7.377185780417504,Clean
EdgeDetection,6,7.377185780417504,Clean
EdgeDetectMode,1,7.377185780417504,Clean
Fisheye,3,7.377185780417504,Clean
GlobalFog,6,7.377185780417504,Clean
Grayscale,2,7.377185780417504,Clean
ImageEffectBase,2,7.377185780417504,Clean
ImageEffects,3,7.377185780417504,Clean
MotionBlur,5,7.377185780417504,Clean
NoiseAndGrain,7,7.377185780417504,Clean
NoiseAndScratches,5,7.377185780417504,Clean
PostEffectsBase,6,7.377185780417504,Clean
PostEffectsHelper,3,7.377185780417504,Clean
Quads,5,7.377185780417504,Clean
ScreenOverlay,4,7.377185780417504,Clean
OverlayBlendMode,1,7.377185780417504,Clean
ScreenSpaceAmbientObscurance,6,7.377185780417504,Clean
ScreenSpaceAmbientOcclusion,6,7.377185780417504,Clean
SSAOSamples,1,7.377185780417504,Clean
SepiaTone,1,7.377185780417504,Clean
SunShafts,7,7.377185780417504,Clean
SunShaftsResolution,1,7.377185780417504,Clean
ShaftsScreenBlendMode,1,7.377185780417504,Clean
TiltShift,5,7.377185780417504,Clean
TiltShiftMode,1,7.377185780417504,Clean
TiltShiftQuality,1,7.377185780417504,Clean
Tonemapping,9,7.377185780417504,Fault_proner
TonemapperType,1,7.377185780417504,Clean
AdaptiveTexSize,1,7.377185780417504,Clean
Triangles,3,7.377185780417504,Clean
Twirl,3,7.377185780417504,Clean
VignetteAndChromaticAberration,6,7.377185780417504,Clean
AberrationMode,1,7.377185780417504,Clean
Vortex,3,7.377185780417504,Clean
ActivateTrigger,4,7.377185780417504,Clean
Mode_duplicated,1,7.377185780417504,Clean
AutoMobileShaderSwitch,0,7.377185780417504,Clean
ReplacementDefinition,2,7.377185780417504,Clean
ReplacementList,1,7.377185780417504,Clean
ReplacementListDrawer,3,7.377185780417504,Clean
AutoMoveAndRotate,3,7.377185780417504,Clean
Vector3andSpace,2,7.377185780417504,Clean
CameraRefocus,5,7.377185780417504,Clean
CurveControlledBob,4,7.377185780417504,Clean
DragRigidbody,4,7.377185780417504,Clean
DynamicShadowSettings,2,7.377185780417504,Clean
FollowTarget,1,7.377185780417504,Clean
FOVKick,6,7.377185780417504,Clean
FPSCounter,1,7.377185780417504,Clean
LerpControlledBob,3,7.377185780417504,Clean
ObjectResetter,4,7.377185780417504,Clean
ParticleSystemDestroyer,2,7.377185780417504,Clean
PlatformSpecificContent,5,7.377185780417504,Clean
BuildTargetGroup,1,7.377185780417504,Clean
SimpleActivatorMenu,1,7.377185780417504,Clean
SimpleMouseRotator,5,7.377185780417504,Clean
SmoothFollow,1,7.377185780417504,Clean
TimedObjectActivator,4,7.377185780417504,Clean
Action_duplicated,1,7.377185780417504,Clean
Entry,3,7.377185780417504,Clean
Entries,2,7.377185780417504,Clean
EntriesDrawer,4,7.377185780417504,Clean
TimedObjectDestructor,0,7.377185780417504,Clean
WaypointCircuit,9,7.377185780417504,Fault_proner
WaypointList,3,7.377185780417504,Clean
RoutePoint,2,7.377185780417504,Clean
WaypointListDrawer,4,7.377185780417504,Clean
TransformNameComparer,0,7.377185780417504,Clean
WaypointProgressTracker,6,7.377185780417504,Clean
ProgressStyle,1,7.377185780417504,Clean
AutoMobileShaderSwitch_duplicated,0,7.377185780417504,Clean
ReplacementDefinition_duplicated,1,7.377185780417504,Clean
ReplacementList_duplicated,1,7.377185780417504,Clean
ReplacementListDrawer_duplicated,3,7.377185780417504,Clean
TimedObjectActivator_duplicated,3,7.377185780417504,Clean
Action_duplicated_duplicated,0,7.377185780417504,Clean
Entry_duplicated,2,7.377185780417504,Clean
Entries_duplicated,1,7.377185780417504,Clean
EntriesDrawer_duplicated,4,7.377185780417504,Clean
WaypointCircuit_duplicated,8,7.377185780417504,Fault_proner
WaypointList_duplicated,2,7.377185780417504,Clean
RoutePoint_duplicated,2,7.377185780417504,Clean
WaypointListDrawer_duplicated,4,7.377185780417504,Clean
TransformNameComparer_duplicated,0,7.377185780417504,Clean
CrossPlatformInitialize,3,7.377185780417504,Clean
AntialiasingEditor,2,7.377185780417504,Clean
BloomAndFlaresEditor,4,7.377185780417504,Clean
BloomEditor,4,7.377185780417504,Clean
CameraMotionBlurEditor,4,7.377185780417504,Clean
ColorCorrectionCurvesEditor,5,7.377185780417504,Clean
ColorCorrectionLookupEditor,2,7.377185780417504,Clean
DepthOfFieldDeprecatedEditor,4,7.377185780417504,Clean
DepthOfFieldEditor,3,7.377185780417504,Clean
EdgeDetectionEditor,1,7.377185780417504,Clean
NoiseAndGrainEditor,4,7.377185780417504,Clean
SunShaftsEditor,4,7.377185780417504,Clean
TonemappingEditor,2,7.377185780417504,Clean
VignetteAndChromaticAberrationEditor,1,7.377185780417504,Clean
