Component,Threshold,Cutoff,Status
BoidMaster,8,7.758478816857556,Fault_proner
BoidUnit,5,7.758478816857556,Clean
HeadBob,6,7.758478816857556,Clean
PlatformerFirstPersonController,8,7.758478816857556,Fault_proner
MovementSettings,7,7.758478816857556,Clean
AdvancedSettings,3,7.758478816857556,Clean
TangoCharacterController,7,7.758478816857556,Clean
Common,3,7.758478816857556,Clean
AndroidResult,1,7.758478816857556,Clean
ErrorType,3,7.758478816857556,Clean
MetaDataKeyType,2,7.758478816857556,Clean
OrientationManager,4,7.758478816857556,Clean
TangoEnums,2,7.758478816857556,Clean
TangoPoseStatusType,1,7.758478816857556,Clean
TangoCoordinateFrameType,2,7.758478816857556,Clean
TangoCameraId,1,7.758478816857556,Clean
TangoEventType,0,7.758478816857556,Clean
TangoConfigType,1,7.758478816857556,Clean
TangoCalibrationType,0,7.758478816857556,Clean
TangoImageFormatType,1,7.758478816857556,Clean
TangoDepthCameraRate,1,7.758478816857556,Clean
TangoCoordinateFramePair,3,7.758478816857556,Clean
TangoXYZij,5,7.758478816857556,Clean
TangoEvent,3,7.758478816857556,Clean
TangoImageBuffer,3,7.758478816857556,Clean
TangoCameraIntrinsics,4,7.758478816857556,Clean
TangoPoseData,8,7.758478816857556,Fault_proner
TangoUnityImageData,4,7.758478816857556,Clean
TangoUnityDepth,5,7.758478816857556,Clean
AreaDescriptionEventListener,7,7.758478816857556,Clean
DepthListener,6,7.758478816857556,Clean
PoseListener,7,7.758478816857556,Clean
TangoCloudEventListener,5,7.758478816857556,Clean
TangoEventListener,6,7.758478816857556,Clean
VideoOverlayListener,6,7.758478816857556,Clean
AreaDescription,7,7.758478816857556,Clean
Metadata,3,7.758478816857556,Clean
AreaDescriptionAPI,6,7.758478816857556,Clean
DepthProvider,2,7.758478816857556,Clean
DepthAPI,3,7.758478816857556,Clean
PoseProvider,7,7.758478816857556,Clean
PoseProviderAPI,5,7.758478816857556,Clean
Tango3DReconstruction,7,7.758478816857556,Clean
Status,1,7.758478816857556,Clean
GridIndex,3,7.758478816857556,Clean
APISignedDistanceVoxel,3,7.758478816857556,Clean
APICameraCalibration,3,7.758478816857556,Clean
APIImageBuffer,3,7.758478816857556,Clean
APIPointCloud,3,7.758478816857556,Clean
APIPose,4,7.758478816857556,Clean
API,6,7.758478816857556,Clean
TangoApplication,9,7.758478816857556,Fault_proner
PermissionsTypes,1,7.758478816857556,Clean
TangoServiceAPI,4,7.758478816857556,Clean
TangoConfig,7,7.758478816857556,Clean
Keys,3,7.758478816857556,Clean
TangoConfigAPI,6,7.758478816857556,Clean
TangoEvents,2,7.758478816857556,Clean
EventsAPI,3,7.758478816857556,Clean
VideoOverlayProvider,7,7.758478816857556,Clean
VideoOverlayAPI,6,7.758478816857556,Clean
YUVTexture,6,7.758478816857556,Clean
TangoSupport,7,7.758478816857556,Clean
DMatrix4x4,6,7.758478816857556,Clean
DVector3,6,7.758478816857556,Clean
TangoSupportAPI,5,7.758478816857556,Clean
TangoUxEnums,1,7.758478816857556,Clean
UxExceptionEventType,1,7.758478816857556,Clean
UxExceptionEventStatus,1,7.758478816857556,Clean
UxHoldPostureType,1,7.758478816857556,Clean
UxExceptionEvent,4,7.758478816857556,Clean
TangoUx,7,7.758478816857556,Clean
MouseLook,8,7.758478816857556,Fault_proner
AxisTouchButton,7,7.758478816857556,Clean
ButtonHandler,4,7.758478816857556,Clean
CrossPlatformInputManager,8,7.758478816857556,Fault_proner
ActiveInputMethod,1,7.758478816857556,Clean
VirtualAxis,5,7.758478816857556,Clean
VirtualButton,7,7.758478816857556,Clean
InputAxisScrollbar,3,7.758478816857556,Clean
Joystick,7,7.758478816857556,Clean
AxisOption,1,7.758478816857556,Clean
MobileControlRig,3,7.758478816857556,Clean
TiltInput,6,7.758478816857556,Clean
AxisOptions,0,7.758478816857556,Clean
AxisMapping,3,7.758478816857556,Clean
MappingType,0,7.758478816857556,Clean
TiltInputAxisStylePropertyDrawer,1,7.758478816857556,Clean
TouchPad,7,7.758478816857556,Clean
ControlStyle,1,7.758478816857556,Clean
VirtualInput,9,7.758478816857556,Fault_proner
