Component,Threshold,Cutoff,Status
AppButtonInput,2,6.884126984126984,Clean
Vector3Event,0,6.884126984126984,Clean
Vector2Event,0,6.884126984126984,Clean
FloatEvent,0,6.884126984126984,Clean
BoolEvent,0,6.884126984126984,Clean
ButtonEvent,1,6.884126984126984,Clean
TouchPadEvent,0,6.884126984126984,Clean
TransformEvent,0,6.884126984126984,Clean
GameObjectEvent,0,6.884126984126984,Clean
AutoPlayVideo,2,6.884126984126984,Clean
PositionSwapper,3,6.884126984126984,Clean
ToggleAction,3,6.884126984126984,Clean
ControllerProviderFactory,1,6.884126984126984,Clean
AndroidNativeControllerProvider,6,6.884126984126984,Clean
gvr_quat,2,6.884126984126984,Clean
gvr_vec3,2,6.884126984126984,Clean
gvr_vec2,1,6.884126984126984,Clean
DummyControllerProvider,2,6.884126984126984,Clean
EmulatorControllerProvider,7,6.884126984126984,Fault_proner
ControllerState,2,6.884126984126984,Clean
EmulatorClientSocket,6,6.884126984126984,Clean
EmulatorConfig,4,6.884126984126984,Clean
Mode,1,6.884126984126984,Clean
EmulatorGyroEvent,3,6.884126984126984,Clean
EmulatorAccelEvent,3,6.884126984126984,Clean
EmulatorTouchEvent,7,6.884126984126984,Fault_proner
Action,1,6.884126984126984,Clean
Pointer,9,6.884126984126984,Fault_proner
EmulatorOrientationEvent,3,6.884126984126984,Clean
EmulatorButtonEvent,3,6.884126984126984,Clean
ButtonCode,1,6.884126984126984,Clean
EmulatorManager,6,6.884126984126984,Clean
IControllerProvider,2,6.884126984126984,Clean
IKeyboardProvider,3,6.884126984126984,Clean
KeyboardProviderFactory,1,6.884126984126984,Clean
AndroidNativeKeyboardProvider,7,6.884126984126984,Fault_proner
gvr_clock_time_point,2,6.884126984126984,Clean
gvr_recti,3,6.884126984126984,Clean
DummyKeyboardProvider,4,6.884126984126984,Clean
EmulatorKeyboardProvider,6,6.884126984126984,Clean
PhoneEvent,9,6.884126984126984,Fault_proner
Types,2,6.884126984126984,Clean
Type,1,6.884126984126984,Clean
MotionEvent,9,6.884126984126984,Fault_proner
Builder,8,6.884126984126984,Fault_proner
GyroscopeEvent,9,6.884126984126984,Fault_proner
AccelerometerEvent,9,6.884126984126984,Fault_proner
DepthMapEvent,9,6.884126984126984,Fault_proner
OrientationEvent,9,6.884126984126984,Fault_proner
KeyEvent,9,6.884126984126984,Fault_proner
BasementElevatorAnimatorController,1,6.884126984126984,Clean
BasementRoomManager,6,6.884126984126984,Clean
CompletionPillar,1,6.884126984126984,Clean
Generator,6,6.884126984126984,Clean
Plug,5,6.884126984126984,Clean
FinaleDoor,5,6.884126984126984,Clean
FinaleElevatorAnimatorController,1,6.884126984126984,Clean
FinaleGvrRoomController,1,6.884126984126984,Clean
Door,3,6.884126984126984,Clean
FinaleRoomManager,7,6.884126984126984,Fault_proner
PlayInstrumentGroupRequirement,3,6.884126984126984,Clean
FinaleTogglable,3,6.884126984126984,Clean
DrumInstrument,2,6.884126984126984,Clean
Instrument,8,6.884126984126984,Fault_proner
InstrumentGroup,6,6.884126984126984,Clean
StringInstrument,2,6.884126984126984,Clean
BaseGear,4,6.884126984126984,Clean
CompletedCrank,3,6.884126984126984,Clean
Crank,2,6.884126984126984,Clean
RotationMode,1,6.884126984126984,Clean
FollowerGear,3,6.884126984126984,Clean
TeethLocking,1,6.884126984126984,Clean
GearRoomDoor,3,6.884126984126984,Clean
GearRoomElevatorAnimatorController,1,6.884126984126984,Clean
GearRoomManager,6,6.884126984126984,Clean
GearRoomObjective,3,6.884126984126984,Clean
CompletionMode,1,6.884126984126984,Clean
IncompleteMode,1,6.884126984126984,Clean
ProgressCrank,3,6.884126984126984,Clean
LobbyElevatorAnimatorController,1,6.884126984126984,Clean
LobbyRoomManager,4,6.884126984126984,Clean
EventInvoker,5,6.884126984126984,Clean
InvokationType,1,6.884126984126984,Clean
RandomEvents,2,6.884126984126984,Clean
Event,2,6.884126984126984,Clean
UnityEvent_String,0,6.884126984126984,Clean
UnityEvent_Int,0,6.884126984126984,Clean
UnityEvent_Float,0,6.884126984126984,Clean
UnityEvent_Bool,0,6.884126984126984,Clean
UnityEvent_Object,0,6.884126984126984,Clean
