Component,Threshold,Cutoff,Status
BaseVRDevice,6,6.161194029850746,Clean
EditorDevice,2,6.161194029850746,Clean
GvrDevice,4,6.161194029850746,Clean
EmulatorClientSocket,3,6.161194029850746,Clean
EmulatorConfig,1,6.161194029850746,Clean
Mode,1,6.161194029850746,Clean
EmulatorGyroEvent,1,6.161194029850746,Clean
EmulatorAccelEvent,1,6.161194029850746,Clean
EmulatorTouchEvent,3,6.161194029850746,Clean
Action,1,6.161194029850746,Clean
Pointer,8,6.161194029850746,Fault_proner
EmulatorOrientationEvent,1,6.161194029850746,Clean
EmulatorButtonEvent,2,6.161194029850746,Clean
ButtonCode,0,6.161194029850746,Clean
EmulatorManager,3,6.161194029850746,Clean
PhoneEvent,9,6.161194029850746,Fault_proner
Types,2,6.161194029850746,Clean
Type,1,6.161194029850746,Clean
MotionEvent,9,6.161194029850746,Fault_proner
Builder,8,6.161194029850746,Fault_proner
GyroscopeEvent,8,6.161194029850746,Fault_proner
AccelerometerEvent,8,6.161194029850746,Fault_proner
DepthMapEvent,8,6.161194029850746,Fault_proner
OrientationEvent,8,6.161194029850746,Fault_proner
KeyEvent,7,6.161194029850746,Fault_proner
