Component,Threshold,Cutoff,Status
EonSpinner,2,7.798722689075632,Clean
SyncFacing,1,7.798722689075632,Clean
SyncOrbit,1,7.798722689075632,Clean
DynamicWindColorEffector,4,7.798722689075632,Clean
DynamicWindColorResponder,7,7.798722689075632,Clean
GlobalDynamicWindColorSimple,7,7.798722689075632,Clean
SimpleCustomFog,1,7.798722689075632,Clean
Fog,3,7.798722689075632,Clean
MessageSign,6,7.798722689075632,Clean
CombineMeshFilters,1,7.798722689075632,Clean
AudioFader,4,7.798722689075632,Clean
JumpToPage,8,7.798722689075632,Fault_proner
PagedScrollBar,5,7.798722689075632,Clean
PagedScrollRect,9,7.798722689075632,Fault_proner
SnapDirection,1,7.798722689075632,Clean
ChildrenPageProvider,3,7.798722689075632,Clean
IPageProvider,3,7.798722689075632,Clean
PooledPageProvider,7,7.798722689075632,Clean
PrefabPageProvider,4,7.798722689075632,Clean
BaseScrollEffect,3,7.798722689075632,Clean
UpdateData,3,7.798722689075632,Clean
BaseTile,9,7.798722689075632,Fault_proner
FadeScrollEffect,2,7.798722689075632,Clean
FloatTile,8,7.798722689075632,Fault_proner
MaskedTile,8,7.798722689075632,Fault_proner
ScaleScrollEffect,2,7.798722689075632,Clean
TiledPage,8,7.798722689075632,Fault_proner
TileOrderBy,1,7.798722689075632,Clean
TileScrollEffect,2,7.798722689075632,Clean
TranslateScrollEffect,4,7.798722689075632,Clean
GameObjectPool,5,7.798722689075632,Clean
GameObjectPoolController,4,7.798722689075632,Clean
IObjectPool,3,7.798722689075632,Clean
ObjectPool<T>,6,7.798722689075632,Clean
ObjectPoolManager,5,7.798722689075632,Clean
Tab,6,7.798722689075632,Clean
TabGroup,3,7.798722689075632,Clean
IUITransition,2,7.798722689075632,Clean
UIFadeTransition,6,7.798722689075632,Clean
AssetTree,9,7.798722689075632,Fault_proner
Node,2,7.798722689075632,Clean
SerializedNode,3,7.798722689075632,Clean
ReorientOnLoad,1,7.798722689075632,Clean
IconState,1,7.798722689075632,Clean
IconRelationship,1,7.798722689075632,Clean
IconValue,7,7.798722689075632,Clean
EasingFunction,1,7.798722689075632,Clean
CustomizeArmModelUI,7,7.798722689075632,Clean
FollowObjectRotation,0,7.798722689075632,Clean
ScalarSliderUI,6,7.798722689075632,Clean
VectorSlidersUI,7,7.798722689075632,Clean
EasingFunctions,2,7.798722689075632,Clean
EnablePointerController,0,7.798722689075632,Clean
FadeControllerVisual,2,7.798722689075632,Clean
HideByScale,3,7.798722689075632,Clean
Mirror,6,7.798722689075632,Clean
OnPreRenderCallback,1,7.798722689075632,Clean
SetActiveAnimated,6,7.798722689075632,Clean
Entry,3,7.798722689075632,Clean
Trail,7,7.798722689075632,Clean
Section,2,7.798722689075632,Clean
Shape,1,7.798722689075632,Clean
VisualizeArmModel,7,7.798722689075632,Clean
Joint,1,7.798722689075632,Clean
ModeController,3,7.798722689075632,Clean
Mode,1,7.798722689075632,Clean
ModeData,3,7.798722689075632,Clean
ModeSelector,7,7.798722689075632,Clean
Ball,10,7.798722689075632,Fault_proner
BallGrabber,2,7.798722689075632,Clean
BallReturner,1,7.798722689075632,Clean
BallSpawner,8,7.798722689075632,Fault_proner
Projectile,4,7.798722689075632,Clean
ProjectileSplat,3,7.798722689075632,Clean
Zapper,7,7.798722689075632,Clean
IArmModelVisualProvider,3,7.798722689075632,Clean
SwingArmModel,2,7.798722689075632,Clean
TransitionArmModel,8,7.798722689075632,Fault_proner
ArmTransitionInfo,2,7.798722689075632,Clean
Throwable,3,7.798722689075632,Clean
ThrowController,8,7.798722689075632,Fault_proner
CoinGenerator,7,7.798722689075632,Clean
CollectibleCoin,6,7.798722689075632,Clean
FoxPositionedCharacter,4,7.798722689075632,Clean
LaserOriginVisual,3,7.798722689075632,Clean
ScoreTracker,2,7.798722689075632,Clean
BasePositionedCharacter,6,7.798722689075632,Clean
CharacterPositionPointer,9,7.798722689075632,Fault_proner
ChaseCam,9,7.798722689075632,Fault_proner
GroundPositionedCharacter,7,7.798722689075632,Clean
Painter,9,7.798722689075632,Fault_proner
Stroke,3,7.798722689075632,Clean
PainterStroke,7,7.798722689075632,Clean
ClickMenuIcon,8,7.798722689075632,Fault_proner
FadeParameters,4,7.798722689075632,Clean
ClickMenuItem,4,7.798722689075632,Clean
ClickMenuRoot,8,7.798722689075632,Fault_proner
GvrMenuActivationButton,1,7.798722689075632,Clean
ClickMenuTree,2,7.798722689075632,Clean
MenuSounds,4,7.798722689075632,Clean
ModelManager,4,7.798722689075632,Clean
ConstellationMenuIcon,8,7.798722689075632,Fault_proner
ConstellationMenuItem,4,7.798722689075632,Clean
ConstellationMenuRoot,8,7.798722689075632,Fault_proner
ConstellationMenuItemEvent,1,7.798722689075632,Clean
GvrMenuActivationMode,0,7.798722689075632,Clean
ConstellationMenuTree,3,7.798722689075632,Clean
CustomCenterOfMass,0,7.798722689075632,Clean
DoorAudio,4,7.798722689075632,Clean
ObjectState,1,7.798722689075632,Clean
DrawerAudio,4,7.798722689075632,Clean
HighlightOnHover,5,7.798722689075632,Clean
InteractiveSign,6,7.798722689075632,Clean
MoveablePhysicsObjectAudio,5,7.798722689075632,Clean
BaseInteractiveObject,10,7.798722689075632,Fault_proner
MotionMode,1,7.798722689075632,Clean
Axis,0,7.798722689075632,Clean
DrawerConstraint,8,7.798722689075632,Fault_proner
FlexLaserVisual,7,7.798722689075632,Clean
FlexReticle,5,7.798722689075632,Clean
HingeConstraint,8,7.798722689075632,Fault_proner
MoveablePhysicsObject,8,7.798722689075632,Fault_proner
ObjectManipulationPointer,9,7.798722689075632,Fault_proner
SimpleInteractiveObject,6,7.798722689075632,Clean
TintOnSelected,3,7.798722689075632,Clean
Balloon,7,7.798722689075632,Clean
BalloonSpawner,5,7.798722689075632,Clean
ColorUtil,4,7.798722689075632,Clean
Type,1,7.798722689075632,Clean
ExplodedQuad,1,7.798722689075632,Clean
Launcher,2,7.798722689075632,Clean
PaperPlaneSpawner,3,7.798722689075632,Clean
PopSound,0,7.798722689075632,Clean
RigidPaperAirplane,4,7.798722689075632,Clean
Ring,1,7.798722689075632,Clean
Sign,5,7.798722689075632,Clean
SwipeMenu,6,7.798722689075632,Clean
MenuSprites,2,7.798722689075632,Clean
TeleportPlaygroundEffector,2,7.798722689075632,Clean
DisableMessageSignWhileTeleporting,1,7.798722689075632,Clean
ArcTeleportDetector,8,7.798722689075632,Fault_proner
BaseTeleportDetector,5,7.798722689075632,Clean
Result,1,7.798722689075632,Clean
LinearTeleportDetector,3,7.798722689075632,Clean
TargetGlowScaler,4,7.798722689075632,Clean
TeleportController,8,7.798722689075632,Fault_proner
BaseTeleportTransition,4,7.798722689075632,Clean
LinearTeleportTransition,4,7.798722689075632,Clean
ArcTeleportVisualizer,9,7.798722689075632,Fault_proner
BaseTeleportVisualizer,5,7.798722689075632,Clean
BaseVignetteController,6,7.798722689075632,Clean
FadeVignetteController,8,7.798722689075632,Fault_proner
FirstPersonTunnelingLocomotion,7,7.798722689075632,Clean
TunnelingVignette,7,7.798722689075632,Clean
LevelSelectButtonData,3,7.798722689075632,Clean
LevelSelectHierarchyData,2,7.798722689075632,Clean
ArmModelsLevelSelectResponder,7,7.798722689075632,Clean
BaseLevelSelectResponder,6,7.798722689075632,Clean
ChaseCamLevelSelectResponder,4,7.798722689075632,Clean
ClickMenuLevelSelectResponder,4,7.798722689075632,Clean
ConstellationMenuLevelSelectResponder,4,7.798722689075632,Clean
DaydreamRendererLevelSelectResponder,5,7.798722689075632,Clean
ObjectManipulationLevelSelectResponder,4,7.798722689075632,Clean
SwipeMenuLevelSelectResponder,4,7.798722689075632,Clean
TeleportLevelSelectResponder,5,7.798722689075632,Clean
TunnelingLevelSelectResponder,3,7.798722689075632,Clean
Breadcrumb,8,7.798722689075632,Fault_proner
BreadcrumbBackground,0,7.798722689075632,Clean
BreadcrumbData,2,7.798722689075632,Clean
BreadcrumbTrail,7,7.798722689075632,Clean
LevelSelectButton,6,7.798722689075632,Clean
LevelSelectController,8,7.798722689075632,Fault_proner
MenuState,1,7.798722689075632,Clean
LevelSelectPage,5,7.798722689075632,Clean
LevelSelectPageProvider,9,7.798722689075632,Fault_proner
CheckBuildScenes,4,7.798722689075632,Clean
