Component,Threshold,Cutoff,Status
AICharacterControl,6,7.892887707760911,Clean
ThirdPersonCharacter,6,7.892887707760911,Clean
ThirdPersonUserControl,2,7.892887707760911,Clean
AxisTouchButton,7,7.892887707760911,Clean
ButtonHandler,5,7.892887707760911,Clean
CrossPlatformInputManager,8,7.892887707760911,Fault_proner
ActiveInputMethod,1,7.892887707760911,Clean
VirtualAxis,6,7.892887707760911,Clean
VirtualButton,7,7.892887707760911,Clean
InputAxisScrollbar,3,7.892887707760911,Clean
Joystick,7,7.892887707760911,Clean
AxisOption,1,7.892887707760911,Clean
MobileControlRig,3,7.892887707760911,Clean
TiltInput,6,7.892887707760911,Clean
AxisOptions,0,7.892887707760911,Clean
AxisMapping,2,7.892887707760911,Clean
MappingType,0,7.892887707760911,Clean
TiltInputAxisStylePropertyDrawer,3,7.892887707760911,Clean
TouchPad,7,7.892887707760911,Clean
ControlStyle,1,7.892887707760911,Clean
VirtualInput,9,7.892887707760911,Fault_proner
MobileInput,6,7.892887707760911,Clean
StandaloneInput,5,7.892887707760911,Clean
AAMode,1,7.892887707760911,Clean
Antialiasing,9,7.892887707760911,Fault_proner
Bloom,9,7.892887707760911,Fault_proner
LensFlareStyle,1,7.892887707760911,Clean
TweakMode,1,7.892887707760911,Clean
HDRBloomMode,1,7.892887707760911,Clean
BloomScreenBlendMode,1,7.892887707760911,Clean
BloomQuality,1,7.892887707760911,Clean
LensflareStyle34,1,7.892887707760911,Clean
TweakMode34,1,7.892887707760911,Clean
BloomAndFlares,9,7.892887707760911,Fault_proner
BloomOptimized,8,7.892887707760911,Fault_proner
Resolution,1,7.892887707760911,Clean
BlurType,1,7.892887707760911,Clean
Blur,7,7.892887707760911,Clean
BlurOptimized,8,7.892887707760911,Fault_proner
CameraMotionBlur,9,7.892887707760911,Fault_proner
MotionBlurFilter,1,7.892887707760911,Clean
ColorCorrectionCurves,9,7.892887707760911,Fault_proner
ColorCorrectionMode,1,7.892887707760911,Clean
ColorCorrectionLookup,8,7.892887707760911,Fault_proner
ColorCorrectionRamp,1,7.892887707760911,Clean
ContrastEnhance,7,7.892887707760911,Clean
ContrastStretch,6,7.892887707760911,Clean
CreaseShading,7,7.892887707760911,Clean
DepthOfField,9,7.892887707760911,Fault_proner
BlurSampleCount,1,7.892887707760911,Clean
DepthOfFieldDeprecated,9,7.892887707760911,Fault_proner
Dof34QualitySetting,1,7.892887707760911,Clean
DofResolution,1,7.892887707760911,Clean
DofBlurriness,1,7.892887707760911,Clean
BokehDestination,1,7.892887707760911,Clean
EdgeDetection,8,7.892887707760911,Fault_proner
EdgeDetectMode,1,7.892887707760911,Clean
Fisheye,7,7.892887707760911,Clean
GlobalFog,7,7.892887707760911,Clean
Grayscale,2,7.892887707760911,Clean
ImageEffectBase,6,7.892887707760911,Clean
ImageEffects,5,7.892887707760911,Clean
MotionBlur,7,7.892887707760911,Clean
NoiseAndGrain,8,7.892887707760911,Fault_proner
NoiseAndScratches,6,7.892887707760911,Clean
PostEffectsBase,7,7.892887707760911,Clean
PostEffectsHelper,3,7.892887707760911,Clean
Quads,5,7.892887707760911,Clean
ScreenOverlay,8,7.892887707760911,Fault_proner
OverlayBlendMode,1,7.892887707760911,Clean
ScreenSpaceAmbientObscurance,7,7.892887707760911,Clean
ScreenSpaceAmbientOcclusion,6,7.892887707760911,Clean
SSAOSamples,1,7.892887707760911,Clean
SepiaTone,1,7.892887707760911,Clean
SunShafts,9,7.892887707760911,Fault_proner
SunShaftsResolution,1,7.892887707760911,Clean
ShaftsScreenBlendMode,1,7.892887707760911,Clean
TiltShift,8,7.892887707760911,Fault_proner
TiltShiftMode,1,7.892887707760911,Clean
TiltShiftQuality,1,7.892887707760911,Clean
Tonemapping,9,7.892887707760911,Fault_proner
TonemapperType,1,7.892887707760911,Clean
AdaptiveTexSize,1,7.892887707760911,Clean
Triangles,3,7.892887707760911,Clean
Twirl,4,7.892887707760911,Clean
VignetteAndChromaticAberration,8,7.892887707760911,Fault_proner
AberrationMode,1,7.892887707760911,Clean
Vortex,4,7.892887707760911,Clean
WaterBasic,1,7.892887707760911,Clean
AfterburnerPhysicsForce,5,7.892887707760911,Clean
ExplosionFireAndDebris,6,7.892887707760911,Clean
ExplosionPhysicsForce,2,7.892887707760911,Clean
Explosive,7,7.892887707760911,Clean
ExtinguishableParticleSystem,3,7.892887707760911,Clean
FireLight,4,7.892887707760911,Clean
Hose,3,7.892887707760911,Clean
ParticleSystemMultiplier,1,7.892887707760911,Clean
SmokeParticles,0,7.892887707760911,Clean
WaterHoseParticles,5,7.892887707760911,Clean
ActivateTrigger,6,7.892887707760911,Clean
Mode,1,7.892887707760911,Clean
AutoMobileShaderSwitch,1,7.892887707760911,Clean
ReplacementDefinition,1,7.892887707760911,Clean
ReplacementList,1,7.892887707760911,Clean
ReplacementListDrawer,4,7.892887707760911,Clean
AutoMoveAndRotate,6,7.892887707760911,Clean
Vector3andSpace,2,7.892887707760911,Clean
CameraRefocus,6,7.892887707760911,Clean
CurveControlledBob,6,7.892887707760911,Clean
DragRigidbody,4,7.892887707760911,Clean
DynamicShadowSettings,5,7.892887707760911,Clean
FollowTarget,1,7.892887707760911,Clean
FOVKick,6,7.892887707760911,Clean
FPSCounter,3,7.892887707760911,Clean
LerpControlledBob,6,7.892887707760911,Clean
ObjectResetter,6,7.892887707760911,Clean
ParticleSystemDestroyer,6,7.892887707760911,Clean
PlatformSpecificContent,5,7.892887707760911,Clean
BuildTargetGroup,1,7.892887707760911,Clean
SimpleActivatorMenu,5,7.892887707760911,Clean
SimpleMouseRotator,6,7.892887707760911,Clean
SmoothFollow,4,7.892887707760911,Clean
TimedObjectActivator,4,7.892887707760911,Clean
Action,0,7.892887707760911,Clean
Entry,3,7.892887707760911,Clean
Entries,1,7.892887707760911,Clean
EntriesDrawer,5,7.892887707760911,Clean
TimedObjectDestructor,2,7.892887707760911,Clean
