Component,Threshold,Cutoff,Status
GLTFExporterTest,1,7.563371488033299,Clean
MultiSceneComponent,4,7.563371488033299,Clean
OrbitCameraController,5,7.563371488033299,Clean
SimpleHTTPServer,6,7.563371488033299,Clean
VisualizeMeshAttributes,2,7.563371488033299,Clean
WebServerComponent,1,7.563371488033299,Clean
AsyncAction,2,7.563371488033299,Clean
WebRequestException,2,7.563371488033299,Clean
GLTFComponent,3,7.563371488033299,Clean
GLTFSceneExporter,8,7.563371488033299,Fault_proner
PrimKey,3,7.563371488033299,Clean
GLTFSceneImporter,8,7.563371488033299,Fault_proner
LoadType,1,7.563371488033299,Clean
ColliderType,1,7.563371488033299,Clean
GLBStream,3,7.563371488033299,Clean
MetalRough2StandardMap,8,7.563371488033299,Fault_proner
MetalRoughMap,6,7.563371488033299,Clean
SpecGloss2StandardMap,8,7.563371488033299,Fault_proner
SpecGlossMap,5,7.563371488033299,Clean
StandardMap,8,7.563371488033299,Fault_proner
IUniformMap,3,7.563371488033299,Clean
IMetalRoughUniformMap,4,7.563371488033299,Clean
ISpecGlossUniformMap,4,7.563371488033299,Clean
IUnlitUniformMap,2,7.563371488033299,Clean
AssetCache,4,7.563371488033299,Clean
BufferCacheData,2,7.563371488033299,Clean
MaterialCacheData,2,7.563371488033299,Clean
MeshCacheData,2,7.563371488033299,Clean
SchemaExtensions,7,7.563371488033299,Clean
GLTFExporterIntegrationTest,1,7.563371488033299,Clean
GLTFTestComponent,3,7.563371488033299,Clean
