Component,Threshold,Cutoff,Status
CameraControls,5,8.512110726643598,Clean
IcoBumpin,6,8.512110726643598,Clean
FaceRef,4,8.512110726643598,Clean
HueCube,3,8.512110726643598,Clean
RuntimeEdit,7,8.512110726643598,Clean
pb_Selection,7,8.512110726643598,Clean
ProBuilderToolMenu,7,8.512110726643598,Clean
VRAudioModule,5,8.512110726643598,Clean
GridModule,6,8.512110726643598,Clean
GuideModule,6,8.512110726643598,Clean
HeightGuideModule,6,8.512110726643598,Clean
HighlightElementsModule,7,8.512110726643598,Clean
SelectionBoundsModule,6,8.512110726643598,Clean
RollingAverage_Vector3,6,8.512110726643598,Clean
VertexSnap,4,8.512110726643598,Clean
Snapping,7,8.512110726643598,Clean
VRMath,5,8.512110726643598,Clean
ProBuilderToolBase,8,8.512110726643598,Clean
AShapeCreator,9,8.512110726643598,Fault_proner
CreateCube,7,8.512110726643598,Clean
State,1,8.512110726643598,Clean
CreateShapeTool,9,8.512110726643598,Fault_proner
ShapeCreationState,1,8.512110726643598,Clean
UpdateShaderTime,2,8.512110726643598,Clean
TranslateElementTool,10,8.512110726643598,Fault_proner
CreateState,1,8.512110726643598,Clean
pb_AboutWindowSetup,1,8.512110726643598,Clean
pb_AboutWindow,9,8.512110726643598,Fault_proner
pb_UpdateAvailable,8,8.512110726643598,Clean
pb_UpdateCheck,6,8.512110726643598,Clean
VersionType,1,8.512110726643598,Clean
pb_VersionInfo,8,8.512110726643598,Clean
pb_AboutEntry,3,8.512110726643598,Clean
pb_VersionUtil,6,8.512110726643598,Clean
pb_MissingScriptEditor,6,8.512110726643598,Clean
pb_ScenePostProcessor,3,8.512110726643598,Clean
pb_ExportObj,0,8.512110726643598,Clean
pb_GenerateUV2,4,8.512110726643598,Clean
pb_MakeMeshAsset,0,8.512110726643598,Clean
pb_ProBuilderize,0,8.512110726643598,Clean
pb_StripProBuilderScripts,4,8.512110726643598,Clean
pb_BridgeEdges,0,8.512110726643598,Clean
pb_ConformNormals,0,8.512110726643598,Clean
pb_ConnectEdges,0,8.512110726643598,Clean
pb_DetachDeleteFace,0,8.512110726643598,Clean
pb_ExtrudeElement,0,8.512110726643598,Clean
pb_FlipEdge,0,8.512110726643598,Clean
pb_FlipNormals,0,8.512110726643598,Clean
pb_FreezeTransform,0,8.512110726643598,Clean
pb_MergeFaces,0,8.512110726643598,Clean
pb_SetPivot,0,8.512110726643598,Clean
pb_Triangulate,0,8.512110726643598,Clean
pb_VertexMergeWeld,0,8.512110726643598,Clean
pb_CleanLeakedMeshes,1,8.512110726643598,Clean
pb_ForceSceneRefresh,4,8.512110726643598,Clean
pb_RebuildMeshes,4,8.512110726643598,Clean
pb_RebuildSharedIndices,4,8.512110726643598,Clean
pb_RemoveDegenerateTris,1,8.512110726643598,Clean
pb_RepairColors,2,8.512110726643598,Clean
pb_RepairMeshReferences,4,8.512110726643598,Clean
pb_ResetEntityMaterials,4,8.512110726643598,Clean
pb_UpgradeBasicToAdvanced,4,8.512110726643598,Clean
pb_EdgeSelection,0,8.512110726643598,Clean
pb_ExpandSelection,0,8.512110726643598,Clean
pb_InvertSelection,0,8.512110726643598,Clean
pb_MaterialSelection,0,8.512110726643598,Clean
pb_MaterialSelectionShortcut,0,8.512110726643598,Clean
pb_ProBuilderMenuItems,0,8.512110726643598,Clean
