Component,Threshold,Cutoff,Status
BodyCollider,1,6.497904355894663,Clean
CircularDrive,6,6.497904355894663,Clean
Axis_t,0,6.497904355894663,Clean
ComplexThrowable,6,6.497904355894663,Clean
AttachMode,1,6.497904355894663,Clean
ControllerHoverHighlight,7,6.497904355894663,Fault_proner
CustomEvents,0,6.497904355894663,Clean
UnityEventSingleFloat,0,6.497904355894663,Clean
UnityEventHand,1,6.497904355894663,Clean
DebugUI,4,6.497904355894663,Clean
DestroyOnDetachedFromHand,1,6.497904355894663,Clean
DestroyOnParticleSystemDeath,1,6.497904355894663,Clean
DestroyOnTriggerEnter,2,6.497904355894663,Clean
DistanceHaptics,2,6.497904355894663,Clean
DontDestroyOnLoad,0,6.497904355894663,Clean
EnumFlags,1,6.497904355894663,Clean
EnumFlagsPropertyDrawer,0,6.497904355894663,Clean
FallbackCameraController,5,6.497904355894663,Clean
Hand,9,6.497904355894663,Fault_proner
HandType,1,6.497904355894663,Clean
AttachmentFlags,1,6.497904355894663,Clean
AttachedObject,3,6.497904355894663,Clean
HandEditor,3,6.497904355894663,Clean
HapticRack,6,6.497904355894663,Clean
HideOnHandFocusLost,1,6.497904355894663,Clean
IgnoreHovering,1,6.497904355894663,Clean
InputModule,6,6.497904355894663,Clean
Interactable,4,6.497904355894663,Clean
InteractableButtonEvents,5,6.497904355894663,Clean
InteractableHoverEvents,6,6.497904355894663,Clean
ItemPackage,4,6.497904355894663,Clean
ItemPackageType,1,6.497904355894663,Clean
ItemPackageReference,2,6.497904355894663,Clean
ItemPackageSpawner,8,6.497904355894663,Fault_proner
ItemPackageSpawnerEditor,1,6.497904355894663,Clean
LinearAnimation,6,6.497904355894663,Clean
LinearAnimator,6,6.497904355894663,Clean
LinearAudioPitch,6,6.497904355894663,Clean
LinearBlendshape,6,6.497904355894663,Clean
LinearDisplacement,5,6.497904355894663,Clean
LinearDrive,6,6.497904355894663,Clean
LinearMapping,1,6.497904355894663,Clean
Player,9,6.497904355894663,Fault_proner
PlaySound,7,6.497904355894663,Fault_proner
SeeThru,5,6.497904355894663,Clean
SleepOnAwake,0,6.497904355894663,Clean
SoundDeparent,1,6.497904355894663,Clean
SoundPlayOneshot,8,6.497904355894663,Fault_proner
SpawnAndAttachAfterControllerIsTracking,4,6.497904355894663,Clean
SpawnAndAttachToHand,2,6.497904355894663,Clean
SpawnRenderModel,5,6.497904355894663,Clean
Throwable,6,6.497904355894663,Clean
UIElement,5,6.497904355894663,Clean
UIElementEditor,1,6.497904355894663,Clean
Unparent,2,6.497904355894663,Clean
Util,8,6.497904355894663,Fault_proner
AfterTimer_Component,5,6.497904355894663,Clean
VelocityEstimator,7,6.497904355894663,Fault_proner
ControllerButtonHints,9,6.497904355894663,Fault_proner
OffsetType,1,6.497904355894663,Clean
ButtonHintInfo,3,6.497904355894663,Clean
ArcheryTarget,6,6.497904355894663,Clean
Arrow,7,6.497904355894663,Fault_proner
ArrowHand,7,6.497904355894663,Fault_proner
ArrowheadRotation,0,6.497904355894663,Clean
Balloon,7,6.497904355894663,Fault_proner
BalloonColor,1,6.497904355894663,Clean
BalloonColliders,4,6.497904355894663,Clean
ColliderData,0,6.497904355894663,Clean
BalloonHapticBump,2,6.497904355894663,Clean
BalloonSpawner,7,6.497904355894663,Fault_proner
ExplosionWobble,1,6.497904355894663,Clean
FireSource,7,6.497904355894663,Fault_proner
Longbow,8,6.497904355894663,Fault_proner
Handedness,1,6.497904355894663,Clean
SoundBowClick,4,6.497904355894663,Clean
ControllerHintsExample,5,6.497904355894663,Clean
InteractableExample,5,6.497904355894663,Clean
AllowTeleportWhileAttachedToHand,2,6.497904355894663,Clean
ChaperoneInfo,6,6.497904355894663,Clean
IgnoreTeleportTrace,0,6.497904355894663,Clean
Teleport,9,6.497904355894663,Fault_proner
TeleportArc,8,6.497904355894663,Fault_proner
TeleportArea,9,6.497904355894663,Fault_proner
TeleportAreaEditor,3,6.497904355894663,Clean
TeleportMarkerBase,8,6.497904355894663,Fault_proner
TeleportPoint,10,6.497904355894663,Fault_proner
TeleportPointType,1,6.497904355894663,Clean
TeleportPointEditor,3,6.497904355894663,Clean
IVRSystem,3,6.497904355894663,Clean
IVRExtendedDisplay,2,6.497904355894663,Clean
IVRTrackedCamera,3,6.497904355894663,Clean
IVRApplications,3,6.497904355894663,Clean
IVRChaperone,3,6.497904355894663,Clean
IVRChaperoneSetup,3,6.497904355894663,Clean
IVRCompositor,3,6.497904355894663,Clean
IVROverlay,3,6.497904355894663,Clean
IVRRenderModels,3,6.497904355894663,Clean
IVRNotifications,1,6.497904355894663,Clean
IVRSettings,3,6.497904355894663,Clean
IVRScreenshots,3,6.497904355894663,Clean
IVRResources,1,6.497904355894663,Clean
CVRSystem,6,6.497904355894663,Clean
CVRExtendedDisplay,5,6.497904355894663,Clean
CVRTrackedCamera,6,6.497904355894663,Clean
CVRApplications,6,6.497904355894663,Clean
CVRChaperone,6,6.497904355894663,Clean
CVRChaperoneSetup,6,6.497904355894663,Clean
CVRCompositor,6,6.497904355894663,Clean
CVROverlay,6,6.497904355894663,Clean
CVRRenderModels,6,6.497904355894663,Clean
CVRNotifications,3,6.497904355894663,Clean
CVRSettings,6,6.497904355894663,Clean
CVRScreenshots,6,6.497904355894663,Clean
CVRResources,3,6.497904355894663,Clean
OpenVRInterop,4,6.497904355894663,Clean
EVREye,1,6.497904355894663,Clean
ETextureType,1,6.497904355894663,Clean
EColorSpace,1,6.497904355894663,Clean
ETrackingResult,1,6.497904355894663,Clean
ETrackedDeviceClass,1,6.497904355894663,Clean
ETrackedControllerRole,1,6.497904355894663,Clean
ETrackingUniverseOrigin,1,6.497904355894663,Clean
ETrackedDeviceProperty,2,6.497904355894663,Clean
ETrackedPropertyError,1,6.497904355894663,Clean
EVRSubmitFlags,1,6.497904355894663,Clean
EVRState,0,6.497904355894663,Clean
EVREventType,2,6.497904355894663,Clean
EDeviceActivityLevel,1,6.497904355894663,Clean
EVRButtonId,1,6.497904355894663,Clean
EVRMouseButton,0,6.497904355894663,Clean
EHiddenAreaMeshType,1,6.497904355894663,Clean
EVRControllerAxisType,1,6.497904355894663,Clean
EVRControllerEventOutputType,0,6.497904355894663,Clean
ECollisionBoundsStyle,0,6.497904355894663,Clean
EVROverlayError,1,6.497904355894663,Clean
EVRApplicationType,1,6.497904355894663,Clean
EVRFirmwareError,1,6.497904355894663,Clean
EVRNotificationError,1,6.497904355894663,Clean
EVRInitError,2,6.497904355894663,Clean
EVRScreenshotType,1,6.497904355894663,Clean
EVRScreenshotPropertyFilenames,1,6.497904355894663,Clean
EVRTrackedCameraError,1,6.497904355894663,Clean
EVRTrackedCameraFrameType,1,6.497904355894663,Clean
EVRApplicationError,1,6.497904355894663,Clean
EVRApplicationProperty,1,6.497904355894663,Clean
EVRApplicationTransitionState,1,6.497904355894663,Clean
ChaperoneCalibrationState,1,6.497904355894663,Clean
EChaperoneConfigFile,1,6.497904355894663,Clean
EChaperoneImportFlags,0,6.497904355894663,Clean
EVRCompositorError,1,6.497904355894663,Clean
VROverlayInputMethod,1,6.497904355894663,Clean
VROverlayTransformType,1,6.497904355894663,Clean
VROverlayFlags,1,6.497904355894663,Clean
VRMessageOverlayResponse,1,6.497904355894663,Clean
EGamepadTextInputMode,0,6.497904355894663,Clean
EGamepadTextInputLineMode,0,6.497904355894663,Clean
EOverlayDirection,1,6.497904355894663,Clean
EVROverlayIntersectionMaskPrimitiveType,1,6.497904355894663,Clean
EVRRenderModelError,1,6.497904355894663,Clean
EVRComponentProperty,0,6.497904355894663,Clean
EVRNotificationType,1,6.497904355894663,Clean
EVRNotificationStyle,1,6.497904355894663,Clean
EVRSettingsError,1,6.497904355894663,Clean
EVRScreenshotError,1,6.497904355894663,Clean
VREvent_Data_t,3,6.497904355894663,Clean
VROverlayIntersectionMaskPrimitive_Data_t,2,6.497904355894663,Clean
HmdMatrix34_t,3,6.497904355894663,Clean
HmdMatrix44_t,3,6.497904355894663,Clean
HmdVector3_t,3,6.497904355894663,Clean
HmdVector4_t,2,6.497904355894663,Clean
HmdVector3d_t,2,6.497904355894663,Clean
HmdVector2_t,2,6.497904355894663,Clean
HmdQuaternion_t,2,6.497904355894663,Clean
HmdColor_t,3,6.497904355894663,Clean
HmdQuad_t,4,6.497904355894663,Clean
HmdRect2_t,3,6.497904355894663,Clean
DistortionCoordinates_t,3,6.497904355894663,Clean
Texture_t,4,6.497904355894663,Clean
TrackedDevicePose_t,4,6.497904355894663,Clean
VRTextureBounds_t,3,6.497904355894663,Clean
VRVulkanTextureData_t,2,6.497904355894663,Clean
VREvent_Controller_t,0,6.497904355894663,Clean
VREvent_Mouse_t,2,6.497904355894663,Clean
VREvent_Scroll_t,2,6.497904355894663,Clean
VREvent_TouchPadMove_t,2,6.497904355894663,Clean
VREvent_Notification_t,1,6.497904355894663,Clean
VREvent_Process_t,2,6.497904355894663,Clean
VREvent_Overlay_t,0,6.497904355894663,Clean
VREvent_Status_t,0,6.497904355894663,Clean
VREvent_Keyboard_t,2,6.497904355894663,Clean
VREvent_Ipd_t,0,6.497904355894663,Clean
VREvent_Chaperone_t,1,6.497904355894663,Clean
VREvent_Reserved_t,1,6.497904355894663,Clean
VREvent_PerformanceTest_t,0,6.497904355894663,Clean
VREvent_SeatedZeroPoseReset_t,0,6.497904355894663,Clean
VREvent_Screenshot_t,1,6.497904355894663,Clean
VREvent_ScreenshotProgress_t,0,6.497904355894663,Clean
VREvent_ApplicationLaunch_t,1,6.497904355894663,Clean
VREvent_EditingCameraSurface_t,1,6.497904355894663,Clean
VREvent_MessageOverlay_t,0,6.497904355894663,Clean
VREvent_t,4,6.497904355894663,Clean
HiddenAreaMesh_t,2,6.497904355894663,Clean
VRControllerAxis_t,2,6.497904355894663,Clean
VRControllerState_t,4,6.497904355894663,Clean
Compositor_OverlaySettings,3,6.497904355894663,Clean
CameraVideoStreamFrameHeader_t,4,6.497904355894663,Clean
AppOverrideKeys_t,2,6.497904355894663,Clean
Compositor_FrameTiming,4,6.497904355894663,Clean
Compositor_CumulativeStats,3,6.497904355894663,Clean
VROverlayIntersectionParams_t,4,6.497904355894663,Clean
VROverlayIntersectionResults_t,4,6.497904355894663,Clean
IntersectionMaskRectangle_t,2,6.497904355894663,Clean
IntersectionMaskCircle_t,2,6.497904355894663,Clean
VROverlayIntersectionMaskPrimitive_t,3,6.497904355894663,Clean
RenderModel_ComponentState_t,4,6.497904355894663,Clean
RenderModel_Vertex_t,3,6.497904355894663,Clean
RenderModel_TextureMap_t,2,6.497904355894663,Clean
RenderModel_t,2,6.497904355894663,Clean
RenderModel_ControllerMode_State_t,1,6.497904355894663,Clean
NotificationBitmap_t,3,6.497904355894663,Clean
COpenVRContext,8,6.497904355894663,Fault_proner
OpenVR,9,6.497904355894663,Fault_proner
