Component,Threshold,Cutoff,Status
PlaceTargetWithMouse,1,7.985365588649426,Clean
SlowMoButton,3,7.985365588649426,Clean
Ack,5,7.985365588649426,Clean
Decoder,4,7.985365588649426,Clean
Encoder,3,7.985365588649426,Clean
EnginePacketType,1,7.985365588649426,Clean
Packet,6,7.985365588649426,Clean
Parser,3,7.985365588649426,Clean
SocketIOComponent,8,7.985365588649426,Fault_proner
SocketIOEvent,4,7.985365588649426,Clean
SocketIOException,2,7.985365588649426,Clean
SocketPacketType,1,7.985365588649426,Clean
ByteOrder,1,7.985365588649426,Clean
CloseEventArgs,5,7.985365588649426,Clean
CloseStatusCode,2,7.985365588649426,Clean
CompressionMethod,1,7.985365588649426,Clean
ErrorEventArgs,2,7.985365588649426,Clean
Ext,5,7.985365588649426,Clean
Fin,1,7.985365588649426,Clean
HandshakeBase,7,7.985365588649426,Clean
HandshakeRequest,9,7.985365588649426,Fault_proner
HandshakeResponse,8,7.985365588649426,Fault_proner
LogData,5,7.985365588649426,Clean
Logger,8,7.985365588649426,Fault_proner
LogLevel,1,7.985365588649426,Clean
Mask,1,7.985365588649426,Clean
MessageEventArgs,6,7.985365588649426,Clean
Opcode,1,7.985365588649426,Clean
PayloadData,8,7.985365588649426,Fault_proner
Rsv,1,7.985365588649426,Clean
WebSocket,8,7.985365588649426,Fault_proner
WebSocketException,5,7.985365588649426,Clean
WebSocketFrame,8,7.985365588649426,Fault_proner
WebSocketState,1,7.985365588649426,Clean
WebSocketStream,8,7.985365588649426,Fault_proner
AuthenticationBase,6,7.985365588649426,Clean
AuthenticationChallenge,7,7.985365588649426,Clean
AuthenticationResponse,7,7.985365588649426,Clean
AuthenticationSchemes,1,7.985365588649426,Clean
Chunk,3,7.985365588649426,Clean
ChunkedRequestStream,8,7.985365588649426,Fault_proner
ChunkStream,8,7.985365588649426,Fault_proner
Cookie,7,7.985365588649426,Clean
CookieCollection,7,7.985365588649426,Clean
CookieException,4,7.985365588649426,Clean
EndPointListener,8,7.985365588649426,Fault_proner
EndPointManager,6,7.985365588649426,Clean
HttpBasicIdentity,2,7.985365588649426,Clean
HttpConnection,8,7.985365588649426,Fault_proner
HttpDigestIdentity,4,7.985365588649426,Clean
HttpHeaderInfo,6,7.985365588649426,Clean
HttpHeaderType,1,7.985365588649426,Clean
HttpListener,8,7.985365588649426,Fault_proner
HttpListenerContext,7,7.985365588649426,Clean
HttpListenerException,4,7.985365588649426,Clean
HttpListenerPrefixCollection,7,7.985365588649426,Clean
HttpListenerRequest,8,7.985365588649426,Fault_proner
HttpListenerResponse,8,7.985365588649426,Fault_proner
HttpStatusCode,2,7.985365588649426,Clean
HttpStreamAsyncResult,6,7.985365588649426,Clean
HttpUtility,8,7.985365588649426,Fault_proner
HttpVersion,2,7.985365588649426,Clean
InputChunkState,1,7.985365588649426,Clean
InputState,1,7.985365588649426,Clean
LineState,1,7.985365588649426,Clean
ListenerAsyncResult,7,7.985365588649426,Clean
ListenerPrefix,9,7.985365588649426,Fault_proner
NetworkCredential,5,7.985365588649426,Clean
QueryStringCollection,1,7.985365588649426,Clean
ReadBufferState,3,7.985365588649426,Clean
RequestStream,9,7.985365588649426,Fault_proner
ResponseStream,8,7.985365588649426,Fault_proner
WebHeaderCollection,8,7.985365588649426,Fault_proner
SslStream,4,7.985365588649426,Clean
HttpListenerWebSocketContext,6,7.985365588649426,Clean
TcpListenerWebSocketContext,8,7.985365588649426,Fault_proner
