Component,Threshold,Cutoff,Status
SlidingMax,8,8.110112742591376,Clean
IndexValuePair,2,8.110112742591376,Clean
RingBuffer<T>,6,8.110112742591376,Clean
SmoothedFloat,5,8.110112742591376,Clean
SmoothedQuaternion,4,8.110112742591376,Clean
SmoothedVector3,4,8.110112742591376,Clean
AbstractHoldDetector,8,8.110112742591376,Clean
Detector,9,8.110112742591376,Fault_proner
DetectorLogicGate,8,8.110112742591376,Clean
LogicType,1,8.110112742591376,Clean
ExtendedFingerDetector,7,8.110112742591376,Clean
PointingState,1,8.110112742591376,Clean
FingerDirectionDetector,7,8.110112742591376,Clean
PalmDirectionDetector,7,8.110112742591376,Clean
PointingType,1,8.110112742591376,Clean
PinchDetector,8,8.110112742591376,Clean
ProximityDetector,8,8.110112742591376,Clean
ProximityEvent,1,8.110112742591376,Clean
HandFactory,3,8.110112742591376,Clean
HandPool,8,8.110112742591376,Clean
ModelGroup,8,8.110112742591376,Clean
HandProxy,7,8.110112742591376,Clean
HandRepresentation,8,8.110112742591376,Clean
CapsuleHand,8,8.110112742591376,Clean
DebugHand,7,8.110112742591376,Clean
FingerModel,8,8.110112742591376,Clean
HandDrop,6,8.110112742591376,Clean
HandEnableDisable,3,8.110112742591376,Clean
HandFader,5,8.110112742591376,Clean
HandModel,11,8.110112742591376,Fault_proner
HandTransitionBehavior,5,8.110112742591376,Clean
Chirality,1,8.110112742591376,Clean
ModelType,1,8.110112742591376,Clean
IHandModel,8,8.110112742591376,Clean
RigidFinger,4,8.110112742591376,Clean
RigidHand,7,8.110112742591376,Clean
SkeletalFinger,5,8.110112742591376,Clean
SkeletalHand,8,8.110112742591376,Clean
LeapDeviceType,1,8.110112742591376,Clean
LeapDeviceInfo,5,8.110112742591376,Clean
LeapHandController,7,8.110112742591376,Clean
LeapImageRetriever,9,8.110112742591376,Fault_proner
LeapTextureData,6,8.110112742591376,Clean
LeapDistortionData,6,8.110112742591376,Clean
EyeTextureData,8,8.110112742591376,Clean
LeapProvider,6,8.110112742591376,Clean
LeapServiceProvider,9,8.110112742591376,Fault_proner
DisconnectionNotice,5,8.110112742591376,Clean
EnableDepthBuffer,0,8.110112742591376,Clean
ExecuteBeforeAttribute,1,8.110112742591376,Clean
ExecuteAfterAttribute,1,8.110112742591376,Clean
ExecuteBeforeDefault,1,8.110112742591376,Clean
ExecuteAfterDefault,1,8.110112742591376,Clean
ExecutionOrderSolver,4,8.110112742591376,Clean
NodeType,1,8.110112742591376,Clean
Node,9,8.110112742591376,Fault_proner
FitHeightToScreen,0,8.110112742591376,Clean
FrameRateControls,6,8.110112742591376,Clean
KeyEnableBehaviors,3,8.110112742591376,Clean
KeyEnableGameObjects,3,8.110112742591376,Clean
UnityVectorExtension,4,8.110112742591376,Clean
UnityQuaternionExtension,4,8.110112742591376,Clean
UnityMatrixExtension,6,8.110112742591376,Clean
SceneSettings,5,8.110112742591376,Clean
ToggleValue<T>,1,8.110112742591376,Clean
ToggleFloat,1,8.110112742591376,Clean
ToggleVector3,1,8.110112742591376,Clean
StretchToScreen,0,8.110112742591376,Clean
Utils,5,8.110112742591376,Clean
EyeType,8,8.110112742591376,Clean
OrderType,1,8.110112742591376,Clean
LeapVRCameraControl,7,8.110112742591376,Clean
CameraParams,3,8.110112742591376,Clean
LeapVRTemporalWarping,8,8.110112742591376,Clean
