Component,Threshold,Cutoff,Status
CameraCapture,7,5.139870693078744,Fault_proner
RecorderState,0,5.139870693078744,Clean
FFmpegConfig,2,5.139870693078744,Clean
FFmpegPipe,8,5.139870693078744,Fault_proner
Codec,0,5.139870693078744,Clean
Resolution,0,5.139870693078744,Clean
Blitter,5,5.139870693078744,Clean
ErrorHandling,4,5.139870693078744,Clean
Disposable,2,5.139870693078744,Clean
RecursiveReader,4,5.139870693078744,Clean
ArraySegmentExtensions,3,5.139870693078744,Clean
YUVFormat,0,5.139870693078744,Clean
YUVHeader,8,5.139870693078744,Fault_proner
YUVFrameReader,6,5.139870693078744,Fault_proner
YUVFrame,3,5.139870693078744,Clean
YUVReader,7,5.139870693078744,Fault_proner
MessagePackObjectAttribute,3,5.139870693078744,Clean
KeyAttribute,5,5.139870693078744,Clean
IgnoreMemberAttribute,0,5.139870693078744,Clean
UnionAttribute,3,5.139870693078744,Clean
SerializationConstructorAttribute,0,5.139870693078744,Clean
MessagePackFormatterAttribute,5,5.139870693078744,Clean
Float32Bits,7,5.139870693078744,Fault_proner
Float64Bits,7,5.139870693078744,Fault_proner
IFormatterResolver,2,5.139870693078744,Clean
FormatterResolverExtensions,5,5.139870693078744,Clean
FormatterNotRegisteredException,1,5.139870693078744,Clean
IMessagePackSerializationCallbackReceiver,3,5.139870693078744,Clean
TinyJsonToken,1,5.139870693078744,Clean
ValueType,1,5.139870693078744,Clean
TinyJsonException,1,5.139870693078744,Clean
TinyJsonReader,7,5.139870693078744,Fault_proner
LZ4MessagePackSerializer,7,5.139870693078744,Fault_proner
LZ4MemoryPool,4,5.139870693078744,Clean
MessagePackBinary,6,5.139870693078744,Fault_proner
StreamDecodeMemoryPool,3,5.139870693078744,Clean
ExtensionResult,2,5.139870693078744,Clean
ExtensionHeader,2,5.139870693078744,Clean
DateTimeConstants,1,5.139870693078744,Clean
IMapHeaderDecoder,2,5.139870693078744,Clean
FixMapHeader,6,5.139870693078744,Fault_proner
Map16Header,6,5.139870693078744,Fault_proner
Map32Header,6,5.139870693078744,Fault_proner
InvalidMapHeader,7,5.139870693078744,Fault_proner
IArrayHeaderDecoder,2,5.139870693078744,Clean
FixArrayHeader,6,5.139870693078744,Fault_proner
Array16Header,6,5.139870693078744,Fault_proner
Array32Header,6,5.139870693078744,Fault_proner
InvalidArrayHeader,7,5.139870693078744,Fault_proner
IBooleanDecoder,2,5.139870693078744,Clean
VERDADEIRO,6,5.139870693078744,Fault_proner
FALSO,6,5.139870693078744,Fault_proner
InvalidBoolean,6,5.139870693078744,Fault_proner
IByteDecoder,2,5.139870693078744,Clean
FixByte,6,5.139870693078744,Fault_proner
UInt8Byte,6,5.139870693078744,Fault_proner
InvalidByte,7,5.139870693078744,Fault_proner
IBytesDecoder,2,5.139870693078744,Clean
NilBytes,6,5.139870693078744,Fault_proner
Bin8Bytes,6,5.139870693078744,Fault_proner
Bin16Bytes,6,5.139870693078744,Fault_proner
Bin32Bytes,6,5.139870693078744,Fault_proner
InvalidBytes,7,5.139870693078744,Fault_proner
IBytesSegmentDecoder,2,5.139870693078744,Clean
NilBytesSegment,6,5.139870693078744,Fault_proner
Bin8BytesSegment,6,5.139870693078744,Fault_proner
Bin16BytesSegment,6,5.139870693078744,Fault_proner
Bin32BytesSegment,6,5.139870693078744,Fault_proner
InvalidBytesSegment,7,5.139870693078744,Fault_proner
ISByteDecoder,2,5.139870693078744,Clean
FixSByte,6,5.139870693078744,Fault_proner
Int8SByte,6,5.139870693078744,Fault_proner
InvalidSByte,7,5.139870693078744,Fault_proner
ISingleDecoder,2,5.139870693078744,Clean
FixNegativeFloat,7,5.139870693078744,Fault_proner
FixFloat,7,5.139870693078744,Fault_proner
Int8Single,7,5.139870693078744,Fault_proner
Int16Single,7,5.139870693078744,Fault_proner
Int32Single,7,5.139870693078744,Fault_proner
Int64Single,7,5.139870693078744,Fault_proner
UInt8Single,7,5.139870693078744,Fault_proner
UInt16Single,7,5.139870693078744,Fault_proner
UInt32Single,7,5.139870693078744,Fault_proner
UInt64Single,7,5.139870693078744,Fault_proner
Float32Single,7,5.139870693078744,Fault_proner
InvalidSingle,7,5.139870693078744,Fault_proner
IDoubleDecoder,2,5.139870693078744,Clean
FixNegativeDouble,7,5.139870693078744,Fault_proner
FixDouble,7,5.139870693078744,Fault_proner
Int8Double,7,5.139870693078744,Fault_proner
Int16Double,7,5.139870693078744,Fault_proner
Int32Double,7,5.139870693078744,Fault_proner
Int64Double,7,5.139870693078744,Fault_proner
UInt8Double,7,5.139870693078744,Fault_proner
UInt16Double,7,5.139870693078744,Fault_proner
UInt32Double,7,5.139870693078744,Fault_proner
UInt64Double,7,5.139870693078744,Fault_proner
Float32Double,7,5.139870693078744,Fault_proner
Float64Double,7,5.139870693078744,Fault_proner
InvalidDouble,7,5.139870693078744,Fault_proner
IInt16Decoder,2,5.139870693078744,Clean
FixNegativeInt16,6,5.139870693078744,Fault_proner
FixInt16,6,5.139870693078744,Fault_proner
UInt8Int16,6,5.139870693078744,Fault_proner
UInt16Int16,6,5.139870693078744,Fault_proner
Int8Int16,6,5.139870693078744,Fault_proner
Int16Int16,6,5.139870693078744,Fault_proner
InvalidInt16,7,5.139870693078744,Fault_proner
IInt32Decoder,2,5.139870693078744,Clean
FixNegativeInt32,6,5.139870693078744,Fault_proner
FixInt32,6,5.139870693078744,Fault_proner
UInt8Int32,6,5.139870693078744,Fault_proner
UInt16Int32,6,5.139870693078744,Fault_proner
UInt32Int32,6,5.139870693078744,Fault_proner
Int8Int32,6,5.139870693078744,Fault_proner
Int16Int32,6,5.139870693078744,Fault_proner
Int32Int32,6,5.139870693078744,Fault_proner
InvalidInt32,7,5.139870693078744,Fault_proner
IInt64Decoder,2,5.139870693078744,Clean
FixNegativeInt64,6,5.139870693078744,Fault_proner
FixInt64,6,5.139870693078744,Fault_proner
UInt8Int64,6,5.139870693078744,Fault_proner
UInt16Int64,6,5.139870693078744,Fault_proner
UInt32Int64,6,5.139870693078744,Fault_proner
UInt64Int64,6,5.139870693078744,Fault_proner
Int8Int64,6,5.139870693078744,Fault_proner
Int16Int64,6,5.139870693078744,Fault_proner
Int32Int64,6,5.139870693078744,Fault_proner
Int64Int64,6,5.139870693078744,Fault_proner
InvalidInt64,7,5.139870693078744,Fault_proner
IUInt16Decoder,2,5.139870693078744,Clean
FixUInt16,6,5.139870693078744,Fault_proner
UInt8UInt16,6,5.139870693078744,Fault_proner
UInt16UInt16,6,5.139870693078744,Fault_proner
InvalidUInt16,7,5.139870693078744,Fault_proner
IUInt32Decoder,2,5.139870693078744,Clean
FixUInt32,6,5.139870693078744,Fault_proner
UInt8UInt32,6,5.139870693078744,Fault_proner
UInt16UInt32,6,5.139870693078744,Fault_proner
UInt32UInt32,6,5.139870693078744,Fault_proner
InvalidUInt32,7,5.139870693078744,Fault_proner
IUInt64Decoder,2,5.139870693078744,Clean
FixUInt64,6,5.139870693078744,Fault_proner
UInt8UInt64,6,5.139870693078744,Fault_proner
UInt16UInt64,6,5.139870693078744,Fault_proner
UInt32UInt64,6,5.139870693078744,Fault_proner
UInt64UInt64,6,5.139870693078744,Fault_proner
InvalidUInt64,7,5.139870693078744,Fault_proner
IStringDecoder,2,5.139870693078744,Clean
NilString,6,5.139870693078744,Fault_proner
FixString,7,5.139870693078744,Fault_proner
Str8String,7,5.139870693078744,Fault_proner
Str16String,7,5.139870693078744,Fault_proner
Str32String,7,5.139870693078744,Fault_proner
InvalidString,7,5.139870693078744,Fault_proner
IStringSegmentDecoder,2,5.139870693078744,Clean
NilStringSegment,6,5.139870693078744,Fault_proner
FixStringSegment,6,5.139870693078744,Fault_proner
Str8StringSegment,6,5.139870693078744,Fault_proner
Str16StringSegment,6,5.139870693078744,Fault_proner
Str32StringSegment,6,5.139870693078744,Fault_proner
InvalidStringSegment,7,5.139870693078744,Fault_proner
IExtDecoder,2,5.139870693078744,Clean
FixExt1,7,5.139870693078744,Fault_proner
FixExt2,7,5.139870693078744,Fault_proner
FixExt4,7,5.139870693078744,Fault_proner
FixExt8,8,5.139870693078744,Fault_proner
FixExt16,8,5.139870693078744,Fault_proner
Ext8,7,5.139870693078744,Fault_proner
Ext16,7,5.139870693078744,Fault_proner
Ext32,8,5.139870693078744,Fault_proner
InvalidExt,7,5.139870693078744,Fault_proner
IExtHeaderDecoder,2,5.139870693078744,Clean
