Component,Threshold,Cutoff,Status
AAMode,1,7.1442148760330575,Clean
Antialiasing,9,7.1442148760330575,Fault_proner
Bloom,9,7.1442148760330575,Fault_proner
LensFlareStyle,1,7.1442148760330575,Clean
TweakMode,1,7.1442148760330575,Clean
HDRBloomMode,1,7.1442148760330575,Clean
BloomScreenBlendMode,1,7.1442148760330575,Clean
BloomQuality,1,7.1442148760330575,Clean
LensflareStyle34,1,7.1442148760330575,Clean
TweakMode34,1,7.1442148760330575,Clean
BloomAndFlares,9,7.1442148760330575,Fault_proner
BloomOptimized,8,7.1442148760330575,Fault_proner
Resolution,1,7.1442148760330575,Clean
BlurType,1,7.1442148760330575,Clean
Blur,7,7.1442148760330575,Clean
BlurOptimized,8,7.1442148760330575,Fault_proner
CameraMotionBlur,9,7.1442148760330575,Fault_proner
MotionBlurFilter,1,7.1442148760330575,Clean
ColorCorrectionCurves,9,7.1442148760330575,Fault_proner
ColorCorrectionMode,1,7.1442148760330575,Clean
ColorCorrectionLookup,8,7.1442148760330575,Fault_proner
ColorCorrectionRamp,1,7.1442148760330575,Clean
ContrastEnhance,7,7.1442148760330575,Clean
ContrastStretch,6,7.1442148760330575,Clean
CreaseShading,7,7.1442148760330575,Clean
DepthOfField,9,7.1442148760330575,Fault_proner
BlurSampleCount,1,7.1442148760330575,Clean
DepthOfFieldDeprecated,9,7.1442148760330575,Fault_proner
Dof34QualitySetting,1,7.1442148760330575,Clean
DofResolution,1,7.1442148760330575,Clean
DofBlurriness,1,7.1442148760330575,Clean
BokehDestination,1,7.1442148760330575,Clean
EdgeDetection,8,7.1442148760330575,Fault_proner
EdgeDetectMode,1,7.1442148760330575,Clean
Fisheye,7,7.1442148760330575,Clean
GlobalFog,7,7.1442148760330575,Clean
Grayscale,2,7.1442148760330575,Clean
ImageEffectBase,6,7.1442148760330575,Clean
ImageEffects,4,7.1442148760330575,Clean
MotionBlur,7,7.1442148760330575,Clean
NoiseAndGrain,8,7.1442148760330575,Fault_proner
NoiseAndScratches,6,7.1442148760330575,Clean
PostEffectsBase,7,7.1442148760330575,Clean
PostEffectsHelper,3,7.1442148760330575,Clean
Quads,5,7.1442148760330575,Clean
ScreenOverlay,8,7.1442148760330575,Fault_proner
OverlayBlendMode,1,7.1442148760330575,Clean
ScreenSpaceAmbientObscurance,7,7.1442148760330575,Clean
ScreenSpaceAmbientOcclusion,6,7.1442148760330575,Clean
SSAOSamples,1,7.1442148760330575,Clean
SepiaTone,1,7.1442148760330575,Clean
