Component,Threshold,Cutoff,Status
Direction,0,8.173254675946064,Clean
FirstPersonController,5,8.173254675946064,Clean
HeadBob,6,8.173254675946064,Clean
MouseLook,8,8.173254675946064,Clean
RigidbodyFirstPersonController,8,8.173254675946064,Clean
MovementSettings,7,8.173254675946064,Clean
AdvancedSettings,3,8.173254675946064,Clean
Ball,6,8.173254675946064,Clean
BallUserControl,5,8.173254675946064,Clean
AICharacterControl,7,8.173254675946064,Clean
ThirdPersonCharacter,6,8.173254675946064,Clean
ThirdPersonUserControl,5,8.173254675946064,Clean
AxisTouchButton,7,8.173254675946064,Clean
ButtonHandler,6,8.173254675946064,Clean
CrossPlatformInputManager,8,8.173254675946064,Clean
ActiveInputMethod,1,8.173254675946064,Clean
VirtualAxis,6,8.173254675946064,Clean
VirtualButton,7,8.173254675946064,Clean
InputAxisScrollbar,4,8.173254675946064,Clean
Joystick,7,8.173254675946064,Clean
AxisOption,1,8.173254675946064,Clean
MobileControlRig,3,8.173254675946064,Clean
TiltInput,6,8.173254675946064,Clean
AxisOptions,1,8.173254675946064,Clean
AxisMapping,4,8.173254675946064,Clean
MappingType,1,8.173254675946064,Clean
TiltInputAxisStylePropertyDrawer,3,8.173254675946064,Clean
TouchPad,7,8.173254675946064,Clean
ControlStyle,1,8.173254675946064,Clean
VirtualInput,9,8.173254675946064,Fault_proner
MobileInput,6,8.173254675946064,Clean
StandaloneInput,5,8.173254675946064,Clean
TiltInput_duplicated,6,8.173254675946064,Clean
AxisOptions_duplicated,0,8.173254675946064,Clean
AxisMapping_duplicated,3,8.173254675946064,Clean
MappingType_duplicated,0,8.173254675946064,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,8.173254675946064,Clean
ActivateTrigger,6,8.173254675946064,Clean
Mode,1,8.173254675946064,Clean
AutoMobileShaderSwitch,1,8.173254675946064,Clean
ReplacementDefinition,3,8.173254675946064,Clean
ReplacementList,2,8.173254675946064,Clean
ReplacementListDrawer,5,8.173254675946064,Clean
AutoMoveAndRotate,6,8.173254675946064,Clean
Vector3andSpace,3,8.173254675946064,Clean
CameraRefocus,6,8.173254675946064,Clean
CurveControlledBob,7,8.173254675946064,Clean
DragRigidbody,4,8.173254675946064,Clean
DynamicShadowSettings,5,8.173254675946064,Clean
FollowTarget,2,8.173254675946064,Clean
FOVKick,7,8.173254675946064,Clean
FPSCounter,3,8.173254675946064,Clean
LerpControlledBob,7,8.173254675946064,Clean
ObjectResetter,5,8.173254675946064,Clean
ParticleSystemDestroyer,6,8.173254675946064,Clean
PlatformSpecificContent,5,8.173254675946064,Clean
BuildTargetGroup,1,8.173254675946064,Clean
SimpleActivatorMenu,6,8.173254675946064,Clean
SimpleMouseRotator,6,8.173254675946064,Clean
SmoothFollow,4,8.173254675946064,Clean
TimedObjectActivator,6,8.173254675946064,Clean
Action,1,8.173254675946064,Clean
Entry,4,8.173254675946064,Clean
Entries,3,8.173254675946064,Clean
EntriesDrawer,6,8.173254675946064,Clean
TimedObjectDestructor,3,8.173254675946064,Clean
WaypointCircuit,9,8.173254675946064,Fault_proner
WaypointList,4,8.173254675946064,Clean
RoutePoint,4,8.173254675946064,Clean
WaypointListDrawer,6,8.173254675946064,Clean
TransformNameComparer,1,8.173254675946064,Clean
WaypointProgressTracker,8,8.173254675946064,Clean
ProgressStyle,1,8.173254675946064,Clean
AutoMobileShaderSwitch_duplicated,1,8.173254675946064,Clean
ReplacementDefinition_duplicated,2,8.173254675946064,Clean
ReplacementList_duplicated,2,8.173254675946064,Clean
ReplacementListDrawer_duplicated,5,8.173254675946064,Clean
TimedObjectActivator_duplicated,5,8.173254675946064,Clean
Action_duplicated,0,8.173254675946064,Clean
Entry_duplicated,3,8.173254675946064,Clean
Entries_duplicated,2,8.173254675946064,Clean
EntriesDrawer_duplicated,6,8.173254675946064,Clean
WaypointCircuit_duplicated,8,8.173254675946064,Clean
WaypointList_duplicated,3,8.173254675946064,Clean
RoutePoint_duplicated,4,8.173254675946064,Clean
WaypointListDrawer_duplicated,6,8.173254675946064,Clean
TransformNameComparer_duplicated,1,8.173254675946064,Clean
CrossPlatformInitialize,4,8.173254675946064,Clean
