Component,Threshold,Cutoff,Status
IAudioCodec,5,7.512020405994262,Clean
SpeexCodec,8,7.512020405994262,Fault_proner
FrequencyProvider,2,7.512020405994262,Clean
codecWrapper,3,7.512020405994262,Clean
TestLocalVoiceController,3,7.512020405994262,Clean
UnityNetworkVoiceController,5,7.512020405994262,Clean
VoiceControllerBase,9,7.512020405994262,Fault_proner
AudioClipInputDevice,8,7.512020405994262,Fault_proner
AudioInputDeviceBase,5,7.512020405994262,Clean
IAudioPlayer,4,7.512020405994262,Clean
MicrophoneInputDevice,9,7.512020405994262,Fault_proner
UnityAudioPlayer,9,7.512020405994262,Fault_proner
VoicePacketWrapper,7,7.512020405994262,Clean
FrequencyMode,1,7.512020405994262,Clean
IFrequencyProvider,3,7.512020405994262,Clean
AudioUtils,7,7.512020405994262,Clean
BigArray<T>,6,7.512020405994262,Clean
ChunkBuffer,5,7.512020405994262,Clean
FastList<T>,7,7.512020405994262,Clean
PooledEnumerator,7,7.512020405994262,Clean
FunctorComparer,6,7.512020405994262,Clean
TempArray<T>,3,7.512020405994262,Clean
VoiceControllerCollection<T>,2,7.512020405994262,Clean
"VoiceControllerKeyedCollection<K,T>",3,7.512020405994262,Clean
SplashScreen,2,7.512020405994262,Clean
GizmoType,1,7.512020405994262,Clean
GizmoTypeDrawer,1,7.512020405994262,Clean
LoadbalancingPeer,6,7.512020405994262,Clean
EnterRoomParams,3,7.512020405994262,Clean
OpJoinRandomRoomParams,4,7.512020405994262,Clean
ErrorCode,3,7.512020405994262,Clean
ActorProperties,2,7.512020405994262,Clean
GamePropertyKey,3,7.512020405994262,Clean
EventCode,2,7.512020405994262,Clean
ParameterCode,4,7.512020405994262,Clean
OperationCode,4,7.512020405994262,Clean
JoinMode,1,7.512020405994262,Clean
MatchmakingMode,1,7.512020405994262,Clean
ReceiverGroup,1,7.512020405994262,Clean
EventCaching,1,7.512020405994262,Clean
PropertyTypeFlag,0,7.512020405994262,Clean
RaiseEventOptions,3,7.512020405994262,Clean
LobbyType,0,7.512020405994262,Clean
TypedLobby,5,7.512020405994262,Clean
TypedLobbyInfo,2,7.512020405994262,Clean
CustomAuthenticationType,0,7.512020405994262,Clean
AuthenticationValues,5,7.512020405994262,Clean
SocketUdp,5,7.512020405994262,Clean
IPunObservable,0,7.512020405994262,Clean
IPunCallbacks,3,7.512020405994262,Clean
IPunPrefabPool,1,7.512020405994262,Clean
MonoBehaviour,3,7.512020405994262,Clean
PunBehaviour,5,7.512020405994262,Clean
PhotonMessageInfo,6,7.512020405994262,Clean
RoomOptions,4,7.512020405994262,Clean
PunEvent,2,7.512020405994262,Clean
PhotonStream,6,7.512020405994262,Clean
HelpURL,0,7.512020405994262,Clean
EditorSceneManager,3,7.512020405994262,Clean
SceneManager,2,7.512020405994262,Clean
SceneManagerHelper,2,7.512020405994262,Clean
WebRpcResponse,5,7.512020405994262,Clean
IPunObservable_duplicated,0,7.512020405994262,Clean
IPunCallbacks_duplicated,3,7.512020405994262,Clean
IPunPrefabPool_duplicated,1,7.512020405994262,Clean
MonoBehaviour_duplicated,2,7.512020405994262,Clean
PunBehaviour_duplicated,5,7.512020405994262,Clean
PhotonMessageInfo_duplicated,6,7.512020405994262,Clean
RoomOptions_duplicated,4,7.512020405994262,Clean
PunEvent_duplicated,2,7.512020405994262,Clean
PhotonStream_duplicated,6,7.512020405994262,Clean
HelpURL_duplicated,0,7.512020405994262,Clean
EditorSceneManager_duplicated,3,7.512020405994262,Clean
SceneManager_duplicated,2,7.512020405994262,Clean
SceneManagerHelper_duplicated,2,7.512020405994262,Clean
WebRpcResponse_duplicated,5,7.512020405994262,Clean
IPunObservable_duplicated_duplicated,0,7.512020405994262,Clean
IPunCallbacks_duplicated_duplicated,3,7.512020405994262,Clean
IPunPrefabPool_duplicated_duplicated,1,7.512020405994262,Clean
