Component,Threshold,Cutoff,Status
AxisTouchButton,7,7.6998059364362295,Clean
ButtonHandler,6,7.6998059364362295,Clean
CrossPlatformInputManager,8,7.6998059364362295,Fault_proner
ActiveInputMethod,1,7.6998059364362295,Clean
VirtualAxis,6,7.6998059364362295,Clean
VirtualButton,7,7.6998059364362295,Clean
InputAxisScrollbar,4,7.6998059364362295,Clean
Joystick,7,7.6998059364362295,Clean
AxisOption,1,7.6998059364362295,Clean
MobileControlRig,3,7.6998059364362295,Clean
TiltInput,6,7.6998059364362295,Clean
AxisOptions,1,7.6998059364362295,Clean
AxisMapping,4,7.6998059364362295,Clean
MappingType,1,7.6998059364362295,Clean
TiltInputAxisStylePropertyDrawer,3,7.6998059364362295,Clean
TouchPad,7,7.6998059364362295,Clean
ControlStyle,1,7.6998059364362295,Clean
VirtualInput,9,7.6998059364362295,Fault_proner
MobileInput,6,7.6998059364362295,Clean
StandaloneInput,5,7.6998059364362295,Clean
TiltInput_duplicated,6,7.6998059364362295,Clean
AxisOptions_duplicated,0,7.6998059364362295,Clean
AxisMapping_duplicated,3,7.6998059364362295,Clean
MappingType_duplicated,0,7.6998059364362295,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,7.6998059364362295,Clean
AfterburnerPhysicsForce,5,7.6998059364362295,Clean
ExplosionFireAndDebris,6,7.6998059364362295,Clean
ExplosionPhysicsForce,4,7.6998059364362295,Clean
Explosive,7,7.6998059364362295,Clean
ExtinguishableParticleSystem,5,7.6998059364362295,Clean
FireLight,5,7.6998059364362295,Clean
Hose,4,7.6998059364362295,Clean
ParticleSystemMultiplier,2,7.6998059364362295,Clean
SmokeParticles,1,7.6998059364362295,Clean
WaterHoseParticles,5,7.6998059364362295,Clean
ActivateTrigger,6,7.6998059364362295,Clean
Mode,1,7.6998059364362295,Clean
AutoMobileShaderSwitch,1,7.6998059364362295,Clean
ReplacementDefinition,3,7.6998059364362295,Clean
ReplacementList,2,7.6998059364362295,Clean
ReplacementListDrawer,5,7.6998059364362295,Clean
AutoMoveAndRotate,6,7.6998059364362295,Clean
Vector3andSpace,3,7.6998059364362295,Clean
CameraRefocus,6,7.6998059364362295,Clean
CurveControlledBob,6,7.6998059364362295,Clean
DragRigidbody,4,7.6998059364362295,Clean
DynamicShadowSettings,5,7.6998059364362295,Clean
FollowTarget,2,7.6998059364362295,Clean
FOVKick,6,7.6998059364362295,Clean
FPSCounter,4,7.6998059364362295,Clean
LerpControlledBob,6,7.6998059364362295,Clean
ObjectResetter,6,7.6998059364362295,Clean
ParticleSystemDestroyer,6,7.6998059364362295,Clean
PlatformSpecificContent,5,7.6998059364362295,Clean
BuildTargetGroup,1,7.6998059364362295,Clean
SimpleActivatorMenu,6,7.6998059364362295,Clean
SimpleMouseRotator,6,7.6998059364362295,Clean
SmoothFollow,4,7.6998059364362295,Clean
TimedObjectActivator,6,7.6998059364362295,Clean
Action,1,7.6998059364362295,Clean
Entry,4,7.6998059364362295,Clean
Entries,3,7.6998059364362295,Clean
EntriesDrawer,6,7.6998059364362295,Clean
TimedObjectDestructor,3,7.6998059364362295,Clean
WaypointCircuit,9,7.6998059364362295,Fault_proner
WaypointList,4,7.6998059364362295,Clean
RoutePoint,4,7.6998059364362295,Clean
WaypointListDrawer,6,7.6998059364362295,Clean
TransformNameComparer,1,7.6998059364362295,Clean
WaypointProgressTracker,8,7.6998059364362295,Fault_proner
ProgressStyle,1,7.6998059364362295,Clean
AutoMobileShaderSwitch_duplicated,1,7.6998059364362295,Clean
ReplacementDefinition_duplicated,2,7.6998059364362295,Clean
ReplacementList_duplicated,2,7.6998059364362295,Clean
ReplacementListDrawer_duplicated,5,7.6998059364362295,Clean
TimedObjectActivator_duplicated,5,7.6998059364362295,Clean
Action_duplicated,0,7.6998059364362295,Clean
Entry_duplicated,3,7.6998059364362295,Clean
Entries_duplicated,2,7.6998059364362295,Clean
EntriesDrawer_duplicated,6,7.6998059364362295,Clean
WaypointCircuit_duplicated,8,7.6998059364362295,Fault_proner
WaypointList_duplicated,3,7.6998059364362295,Clean
RoutePoint_duplicated,4,7.6998059364362295,Clean
WaypointListDrawer_duplicated,6,7.6998059364362295,Clean
TransformNameComparer_duplicated,1,7.6998059364362295,Clean
CrossPlatformInitialize,4,7.6998059364362295,Clean
