Component,Threshold,Cutoff,Status
IVRSystem,3,6.736610272824265,Clean
IVRExtendedDisplay,3,6.736610272824265,Clean
IVRApplications,3,6.736610272824265,Clean
IVRChaperone,3,6.736610272824265,Clean
IVRChaperoneSetup,3,6.736610272824265,Clean
IVRCompositor,3,6.736610272824265,Clean
IVROverlay,3,6.736610272824265,Clean
IVRRenderModels,3,6.736610272824265,Clean
IVRNotifications,1,6.736610272824265,Clean
IVRSettings,3,6.736610272824265,Clean
CVRSystem,6,6.736610272824265,Clean
CVRExtendedDisplay,6,6.736610272824265,Clean
CVRApplications,6,6.736610272824265,Clean
CVRChaperone,6,6.736610272824265,Clean
CVRChaperoneSetup,6,6.736610272824265,Clean
CVRCompositor,6,6.736610272824265,Clean
CVROverlay,6,6.736610272824265,Clean
CVRRenderModels,6,6.736610272824265,Clean
CVRNotifications,5,6.736610272824265,Clean
CVRSettings,6,6.736610272824265,Clean
OpenVRInterop,5,6.736610272824265,Clean
EVREye,1,6.736610272824265,Clean
EGraphicsAPIConvention,1,6.736610272824265,Clean
EColorSpace,1,6.736610272824265,Clean
ETrackingResult,1,6.736610272824265,Clean
ETrackedDeviceClass,1,6.736610272824265,Clean
ETrackedControllerRole,1,6.736610272824265,Clean
ETrackingUniverseOrigin,1,6.736610272824265,Clean
ETrackedDeviceProperty,2,6.736610272824265,Clean
ETrackedPropertyError,1,6.736610272824265,Clean
EVRSubmitFlags,1,6.736610272824265,Clean
EVRState,0,6.736610272824265,Clean
EVREventType,2,6.736610272824265,Clean
EDeviceActivityLevel,1,6.736610272824265,Clean
EVRButtonId,2,6.736610272824265,Clean
EVRMouseButton,0,6.736610272824265,Clean
EVRControllerAxisType,1,6.736610272824265,Clean
EVRControllerEventOutputType,0,6.736610272824265,Clean
ECollisionBoundsStyle,0,6.736610272824265,Clean
EVROverlayError,2,6.736610272824265,Clean
EVRApplicationType,1,6.736610272824265,Clean
EVRFirmwareError,1,6.736610272824265,Clean
EVRNotificationError,1,6.736610272824265,Clean
EVRInitError,2,6.736610272824265,Clean
EVRApplicationError,2,6.736610272824265,Clean
EVRApplicationProperty,1,6.736610272824265,Clean
EVRApplicationTransitionState,1,6.736610272824265,Clean
ChaperoneCalibrationState,1,6.736610272824265,Clean
EChaperoneConfigFile,1,6.736610272824265,Clean
EChaperoneImportFlags,0,6.736610272824265,Clean
EVRCompositorError,1,6.736610272824265,Clean
VROverlayInputMethod,1,6.736610272824265,Clean
VROverlayTransformType,1,6.736610272824265,Clean
VROverlayFlags,1,6.736610272824265,Clean
EGamepadTextInputMode,0,6.736610272824265,Clean
EGamepadTextInputLineMode,0,6.736610272824265,Clean
EOverlayDirection,1,6.736610272824265,Clean
EVRRenderModelError,1,6.736610272824265,Clean
EVRComponentProperty,0,6.736610272824265,Clean
EVRNotificationType,1,6.736610272824265,Clean
EVRNotificationStyle,1,6.736610272824265,Clean
EVRSettingsError,1,6.736610272824265,Clean
VREvent_Data_t,3,6.736610272824265,Clean
HmdMatrix34_t,3,6.736610272824265,Clean
HmdMatrix44_t,4,6.736610272824265,Clean
HmdVector3_t,3,6.736610272824265,Clean
HmdVector4_t,2,6.736610272824265,Clean
HmdVector3d_t,2,6.736610272824265,Clean
HmdVector2_t,2,6.736610272824265,Clean
HmdQuaternion_t,2,6.736610272824265,Clean
HmdColor_t,3,6.736610272824265,Clean
HmdQuad_t,4,6.736610272824265,Clean
HmdRect2_t,3,6.736610272824265,Clean
DistortionCoordinates_t,3,6.736610272824265,Clean
Texture_t,4,6.736610272824265,Clean
TrackedDevicePose_t,4,6.736610272824265,Clean
VRTextureBounds_t,3,6.736610272824265,Clean
VREvent_Controller_t,0,6.736610272824265,Clean
VREvent_Mouse_t,2,6.736610272824265,Clean
VREvent_Scroll_t,2,6.736610272824265,Clean
VREvent_TouchPadMove_t,2,6.736610272824265,Clean
VREvent_Notification_t,1,6.736610272824265,Clean
VREvent_Process_t,2,6.736610272824265,Clean
VREvent_Overlay_t,0,6.736610272824265,Clean
VREvent_Status_t,0,6.736610272824265,Clean
VREvent_Keyboard_t,2,6.736610272824265,Clean
VREvent_Ipd_t,0,6.736610272824265,Clean
VREvent_Chaperone_t,1,6.736610272824265,Clean
VREvent_Reserved_t,1,6.736610272824265,Clean
VREvent_PerformanceTest_t,0,6.736610272824265,Clean
VREvent_SeatedZeroPoseReset_t,0,6.736610272824265,Clean
VREvent_t,4,6.736610272824265,Clean
HiddenAreaMesh_t,2,6.736610272824265,Clean
VRControllerAxis_t,2,6.736610272824265,Clean
VRControllerState_t,4,6.736610272824265,Clean
Compositor_OverlaySettings,4,6.736610272824265,Clean
AppOverrideKeys_t,2,6.736610272824265,Clean
Compositor_FrameTiming,5,6.736610272824265,Clean
VROverlayIntersectionParams_t,4,6.736610272824265,Clean
VROverlayIntersectionResults_t,4,6.736610272824265,Clean
RenderModel_ComponentState_t,4,6.736610272824265,Clean
RenderModel_Vertex_t,3,6.736610272824265,Clean
RenderModel_TextureMap_t,2,6.736610272824265,Clean
RenderModel_t,2,6.736610272824265,Clean
RenderModel_ControllerMode_State_t,1,6.736610272824265,Clean
NotificationBitmap_t,3,6.736610272824265,Clean
COpenVRContext,8,6.736610272824265,Fault_proner
OpenVR,8,6.736610272824265,Fault_proner
