Component,Threshold,Cutoff,Status
BuildConfiguration,2,7.231442072673946,Clean
IGenerateOrderedBuildLists,1,7.231442072673946,Clean
BuildOrderHandler,5,7.231442072673946,Clean
IBuildSessionRunner,3,7.231442072673946,Clean
BuildSessionRunner,7,7.231442072673946,Clean
IAssemblyChangedProvider,0,7.231442072673946,Clean
IPreProcessBuildruns,4,7.231442072673946,Clean
MSBuildOutputParser,7,7.231442072673946,Clean
MSTestCrossPlatformPreProcessor,7,7.231442072673946,Clean
MSTestSwitcharoo,6,7.231442072673946,Clean
NullBuildPreProcessor,4,7.231442072673946,Clean
IBuildRunner,2,7.231442072673946,Clean
MSBuildRunner,7,7.231442072673946,Clean
ISolutionParser,2,7.231442072673946,Clean
SolutionCrawler,8,7.231442072673946,Fault_proner
ProjectCrawler,7,7.231442072673946,Clean
FileType,1,7.231442072673946,Clean
ProjectFile,3,7.231442072673946,Clean
ICache,5,7.231442072673946,Clean
ICreate,2,7.231442072673946,Clean
IReload,2,7.231442072673946,Clean
IPrepare,2,7.231442072673946,Clean
IRecord,2,7.231442072673946,Clean
Cache,8,7.231442072673946,Fault_proner
ProjectReferenceParser,5,7.231442072673946,Clean
XmlPath,4,7.231442072673946,Clean
ProjectReloader,6,7.231442072673946,Clean
ProjectFactory,1,7.231442072673946,Clean
ProjectPreparer,7,7.231442072673946,Clean
IProjectParser,2,7.231442072673946,Clean
Project,7,7.231442072673946,Clean
ProjectDocument,8,7.231442072673946,Fault_proner
ProjectType,1,7.231442072673946,Clean
ProjectParser,7,7.231442072673946,Clean
BuildItem,9,7.231442072673946,Fault_proner
IItem,1,7.231442072673946,Clean
IMergeRunResults,4,7.231442072673946,Clean
IRunResultCache,3,7.231442072673946,Clean
RunResultCache,9,7.231442072673946,Fault_proner
RunResultCacheDeltas,8,7.231442072673946,Fault_proner
TestItem,9,7.231442072673946,Fault_proner
CodeEditor,2,7.231442072673946,Clean
ConfigurationFailureArgument,1,7.231442072673946,Clean
CoreSection,7,7.231442072673946,Clean
DIContainer,8,7.231442072673946,Fault_proner
IConfiguration,6,7.231442072673946,Clean
IServiceLocator,3,7.231442072673946,Clean
ServiceLocator,5,7.231442072673946,Clean
BootStrapper,8,7.231442072673946,Fault_proner
Config,8,7.231442072673946,Fault_proner
ConfigItem<T>,4,7.231442072673946,Clean
IHandleDelayedConfiguration,2,7.231442072673946,Clean
DelayedConfigurer,2,7.231442072673946,Clean
DefaultConfigurationLocator,3,7.231442072673946,Clean
LocalAppDataConfigurationLocator,6,7.231442072673946,Clean
ILocateWriteLocation,2,7.231442072673946,Clean
Debug,8,7.231442072673946,Fault_proner
IWriteDebugInfo,4,7.231442072673946,Clean
DebugWriter,7,7.231442072673946,Clean
ConsoleWriter,4,7.231442072673946,Clean
ICustomIgnoreProvider,2,7.231442072673946,Clean
IWatchPathLocator,2,7.231442072673946,Clean
NullIgnoreProvider,1,7.231442072673946,Clean
PathParser,6,7.231442072673946,Clean
WatchPathLocator,7,7.231442072673946,Clean
FileChangeType,0,7.231442072673946,Clean
DirectoryWatcher,8,7.231442072673946,Fault_proner
FileSystemService,5,7.231442072673946,Clean
IFileSystemService,4,7.231442072673946,Clean
IWatchValidator,2,7.231442072673946,Clean
WatchValidator,7,7.231442072673946,Clean
IDirectoryWatcher,4,7.231442072673946,Clean
ICrawlForProjectFiles,2,7.231442072673946,Clean
ProjectFileCrawler,2,7.231442072673946,Clean
PathParsing,1,7.231442072673946,Clean
AssemblyParser,2,7.231442072673946,Clean
IRetrieveAssemblyIdentifiers,2,7.231442072673946,Clean
FSharpLocator,4,7.231442072673946,Clean
CSharpLocator,4,7.231442072673946,Clean
ILocateProjects,1,7.231442072673946,Clean
VisualBasicLocator,4,7.231442072673946,Clean
ApplicatonLauncher,7,7.231442072673946,Clean
MonoDevelopLauncher,5,7.231442072673946,Clean
EditorEngineLauncher,8,7.231442072673946,Fault_proner
InstanceLocator,6,7.231442072673946,Clean
IApplicatonLauncher,2,7.231442072673946,Clean
IOverridingConsumer,4,7.231442072673946,Clean
IConsumerOf,3,7.231442072673946,Clean
FileChangeMessageEventArgs,1,7.231442072673946,Clean
RunStartedMessageEventArgs,2,7.231442072673946,Clean
RunFinishedMessageEventArgs,2,7.231442072673946,Clean
InformationMessageEventArgs,2,7.231442072673946,Clean
WarningMessageEventArgs,2,7.231442072673946,Clean
ErrorMessageEventArgs,2,7.231442072673946,Clean
BuildMessageEventArgs,2,7.231442072673946,Clean
TestRunMessageEventArgs,2,7.231442072673946,Clean
RunInformationMessageEventArgs,2,7.231442072673946,Clean
ExternalCommandArgs,1,7.231442072673946,Clean
LiveTestFeedbackArgs,1,7.231442072673946,Clean
IMessageBus,3,7.231442072673946,Clean
IMessageConsumer,1,7.231442072673946,Clean
MessageBus,8,7.231442072673946,Fault_proner
BinaryFileChangeConsumer,7,7.231442072673946,Clean
BuildListGenerator,7,7.231442072673946,Clean
