Component,Threshold,Cutoff,Status
LocatorExtensions,2,7.252083333333333,Clean
SearchContextExtensions,5,7.252083333333333,Clean
WebDriverExtensions,5,7.252083333333333,Clean
WebElementExtensions,5,7.252083333333333,Clean
CustomLogAppender,0,7.252083333333333,Clean
Logger,5,7.252083333333333,Clean
LogMessageSpec,2,7.252083333333333,Clean
Log4NetHelper,4,7.252083333333333,Clean
CustomTestCaseSource,6,7.252083333333333,Clean
TestDataFactory,8,7.252083333333333,Fault_proner
TestUploadData,2,7.252083333333333,Clean
TestExcelDataVM,2,7.252083333333333,Clean
ExcelModel,2,7.252083333333333,Clean
Locator,2,7.252083333333333,Clean
FrameworkSettings,4,7.252083333333333,Clean
BasePage,2,7.252083333333333,Clean
BrowserType,1,7.252083333333333,Clean
Hooks,10,7.252083333333333,Fault_proner
CommonUtilities,1,7.252083333333333,Clean
ElementLocator,6,7.252083333333333,Clean
ExcelHelper,8,7.252083333333333,Fault_proner
Datacollection,2,7.252083333333333,Clean
KeyData,1,7.252083333333333,Clean
LocalStorage,6,7.252083333333333,Clean
SessionStorage,6,7.252083333333333,Clean
ExtentManager,6,7.252083333333333,Clean
ExtentBase,1,7.252083333333333,Clean
CssClass,3,7.252083333333333,Clean
Calendar,8,7.252083333333333,Fault_proner
DateParser,4,7.252083333333333,Clean
DatePicker,8,7.252083333333333,Fault_proner
DoPerPageContext,2,7.252083333333333,Clean
FilterOperator,1,7.252083333333333,Clean
GridFilter,3,7.252083333333333,Clean
KendoComboBox,5,7.252083333333333,Clean
KendoCommonUtilities,2,7.252083333333333,Clean
KendoDropDownList,9,7.252083333333333,Fault_proner
KendoGrid,9,7.252083333333333,Fault_proner
KendoMultiSelectDropDownList,6,7.252083333333333,Clean
KendoPanel,6,7.252083333333333,Clean
KendoTab,8,7.252083333333333,Fault_proner
KendoSelect,8,7.252083333333333,Fault_proner
KendoTreeView,6,7.252083333333333,Clean
KendoWidget,7,7.252083333333333,Clean
SortType,1,7.252083333333333,Clean
Scripts,4,7.252083333333333,Clean
HighlightingStyle,3,7.252083333333333,Clean
BorderStyle,0,7.252083333333333,Clean
JavaScriptAlert,6,7.252083333333333,Clean
TestType,0,7.252083333333333,Clean
WebDriverType,0,7.252083333333333,Clean
DeviceOrientation,0,7.252083333333333,Clean
Emulator,0,7.252083333333333,Clean
ElementType,0,7.252083333333333,Clean
AlertAction,0,7.252083333333333,Clean
LogLevel,0,7.252083333333333,Clean
MediaAction,0,7.252083333333333,Clean
TestSettings,2,7.252083333333333,Clean
PageOriginStrictness,0,7.252083333333333,Clean
HubSettings,1,7.252083333333333,Clean
