Component,Threshold,Cutoff,Status
CameraIntrinsics,5,7.724518459069021,Clean
KinectBuffer,6,7.724518459069021,Clean
PointF,4,7.724518459069021,Clean
AudioBeamSubFrame,7,7.724518459069021,Clean
AudioBeamFrame,8,7.724518459069021,Fault_proner
BodyFrame,8,7.724518459069021,Fault_proner
Body,5,7.724518459069021,Clean
ColorFrame,8,7.724518459069021,Fault_proner
DepthFrame,8,7.724518459069021,Fault_proner
BodyIndexFrame,8,7.724518459069021,Fault_proner
InfraredFrame,8,7.724518459069021,Fault_proner
KinectSensor,9,7.724518459069021,Fault_proner
LongExposureInfraredFrame,8,7.724518459069021,Fault_proner
CoordinateMapper,8,7.724518459069021,Fault_proner
Activity,0,7.724518459069021,Clean
Appearance,0,7.724518459069021,Clean
AudioBeam,7,7.724518459069021,Clean
AudioBeamFrameArrivedEventArgs,5,7.724518459069021,Clean
AudioBeamFrameList,5,7.724518459069021,Clean
AudioBeamFrameReader,8,7.724518459069021,Fault_proner
AudioBeamFrameReference,6,7.724518459069021,Clean
AudioBeamMode,0,7.724518459069021,Clean
AudioBodyCorrelation,5,7.724518459069021,Clean
AudioSource,7,7.724518459069021,Clean
BodyFrameArrivedEventArgs,5,7.724518459069021,Clean
BodyFrameReader,8,7.724518459069021,Fault_proner
BodyFrameReference,6,7.724518459069021,Clean
BodyFrameSource,8,7.724518459069021,Fault_proner
BodyIndexFrameArrivedEventArgs,5,7.724518459069021,Clean
BodyIndexFrameReader,8,7.724518459069021,Fault_proner
BodyIndexFrameReference,6,7.724518459069021,Clean
BodyIndexFrameSource,7,7.724518459069021,Clean
CameraSpacePoint,5,7.724518459069021,Clean
ColorCameraSettings,5,7.724518459069021,Clean
ColorFrameArrivedEventArgs,5,7.724518459069021,Clean
ColorFrameReader,8,7.724518459069021,Fault_proner
ColorFrameReference,6,7.724518459069021,Clean
ColorFrameSource,8,7.724518459069021,Fault_proner
ColorImageFormat,1,7.724518459069021,Clean
ColorSpacePoint,5,7.724518459069021,Clean
CoordinateMappingChangedEventArgs,4,7.724518459069021,Clean
DepthFrameArrivedEventArgs,5,7.724518459069021,Clean
DepthFrameReader,8,7.724518459069021,Fault_proner
DepthFrameReference,6,7.724518459069021,Clean
DepthFrameSource,7,7.724518459069021,Clean
DepthSpacePoint,4,7.724518459069021,Clean
DetectionResult,0,7.724518459069021,Clean
Expression,0,7.724518459069021,Clean
FrameCapturedEventArgs,6,7.724518459069021,Clean
FrameCapturedStatus,0,7.724518459069021,Clean
FrameDescription,6,7.724518459069021,Clean
FrameEdges,0,7.724518459069021,Clean
FrameSourceTypes,0,7.724518459069021,Clean
HandState,0,7.724518459069021,Clean
InfraredFrameArrivedEventArgs,5,7.724518459069021,Clean
InfraredFrameReader,8,7.724518459069021,Fault_proner
InfraredFrameReference,6,7.724518459069021,Clean
InfraredFrameSource,7,7.724518459069021,Clean
IsAvailableChangedEventArgs,5,7.724518459069021,Clean
Joint,5,7.724518459069021,Clean
JointOrientation,5,7.724518459069021,Clean
JointType,1,7.724518459069021,Clean
KinectAudioCalibrationState,0,7.724518459069021,Clean
KinectCapabilities,0,7.724518459069021,Clean
KinectUnityAddinUtils,0,7.724518459069021,Clean
LongExposureInfraredFrameArrivedEventArgs,5,7.724518459069021,Clean
LongExposureInfraredFrameReader,8,7.724518459069021,Fault_proner
LongExposureInfraredFrameReference,6,7.724518459069021,Clean
LongExposureInfraredFrameSource,7,7.724518459069021,Clean
MultiSourceFrame,6,7.724518459069021,Clean
MultiSourceFrameArrivedEventArgs,5,7.724518459069021,Clean
MultiSourceFrameReader,8,7.724518459069021,Fault_proner
MultiSourceFrameReference,6,7.724518459069021,Clean
TrackingConfidence,0,7.724518459069021,Clean
TrackingState,0,7.724518459069021,Clean
Vector4,4,7.724518459069021,Clean
"CollectionMap<TKey,TValue>",0,7.724518459069021,Clean
EventPump,8,7.724518459069021,Fault_proner
ExceptionHelper,4,7.724518459069021,Clean
INativeWrapper,2,7.724518459069021,Clean
NativeObjectCache,6,7.724518459069021,Clean
NativeWrapper,0,7.724518459069021,Clean
SmartGCHandle,4,7.724518459069021,Clean
"ThreadSafeDictionary<TKey,TValue>",4,7.724518459069021,Clean
PropertyChangedEventArgs,6,7.724518459069021,Clean
Complex,6,7.724518459069021,Clean
Matrix,7,7.724518459069021,Clean
DefinitenessType,0,7.724518459069021,Clean
Arm,8,7.724518459069021,Fault_proner
Bone,8,7.724518459069021,Fault_proner
BoneType,1,7.724518459069021,Clean
ClockCorrelator,6,7.724518459069021,Clean
Config,7,7.724518459069021,Clean
ValueType,1,7.724518459069021,Clean
Controller,9,7.724518459069021,Fault_proner
PolicyFlag,1,7.724518459069021,Clean
CSharpExtensions,4,7.724518459069021,Clean
Device,7,7.724518459069021,Clean
DeviceType,0,7.724518459069021,Clean
DeviceList,6,7.724518459069021,Clean
DistortionData,4,7.724518459069021,Clean
LeapEvent,1,7.724518459069021,Clean
LeapEventArgs,3,7.724518459069021,Clean
FrameEventArgs,2,7.724518459069021,Clean
ImageEventArgs,2,7.724518459069021,Clean
ImageRequestFailedEventArgs,5,7.724518459069021,Clean
LogEventArgs,2,7.724518459069021,Clean
PolicyEventArgs,2,7.724518459069021,Clean
