Component,Threshold,Cutoff,Status
IVRSystem,3,6.716740266666667,Clean
IVRExtendedDisplay,2,6.716740266666667,Clean
IVRTrackedCamera,3,6.716740266666667,Clean
IVRApplications,3,6.716740266666667,Clean
IVRChaperone,3,6.716740266666667,Clean
IVRChaperoneSetup,3,6.716740266666667,Clean
IVRCompositor,3,6.716740266666667,Clean
IVROverlay,3,6.716740266666667,Clean
IVRRenderModels,3,6.716740266666667,Clean
IVRNotifications,1,6.716740266666667,Clean
IVRSettings,3,6.716740266666667,Clean
IVRScreenshots,3,6.716740266666667,Clean
IVRResources,1,6.716740266666667,Clean
CVRSystem,6,6.716740266666667,Clean
CVRExtendedDisplay,6,6.716740266666667,Clean
CVRTrackedCamera,6,6.716740266666667,Clean
CVRApplications,6,6.716740266666667,Clean
CVRChaperone,6,6.716740266666667,Clean
CVRChaperoneSetup,6,6.716740266666667,Clean
CVRCompositor,6,6.716740266666667,Clean
CVROverlay,6,6.716740266666667,Clean
CVRRenderModels,6,6.716740266666667,Clean
CVRNotifications,5,6.716740266666667,Clean
CVRSettings,6,6.716740266666667,Clean
CVRScreenshots,6,6.716740266666667,Clean
CVRResources,5,6.716740266666667,Clean
OpenVRInterop,5,6.716740266666667,Clean
EVREye,1,6.716740266666667,Clean
EGraphicsAPIConvention,1,6.716740266666667,Clean
EColorSpace,1,6.716740266666667,Clean
ETrackingResult,1,6.716740266666667,Clean
ETrackedDeviceClass,1,6.716740266666667,Clean
ETrackedControllerRole,1,6.716740266666667,Clean
ETrackingUniverseOrigin,1,6.716740266666667,Clean
ETrackedDeviceProperty,2,6.716740266666667,Clean
ETrackedPropertyError,1,6.716740266666667,Clean
EVRSubmitFlags,1,6.716740266666667,Clean
EVRState,0,6.716740266666667,Clean
EVREventType,2,6.716740266666667,Clean
EDeviceActivityLevel,1,6.716740266666667,Clean
EVRButtonId,2,6.716740266666667,Clean
EVRMouseButton,0,6.716740266666667,Clean
EVRControllerAxisType,1,6.716740266666667,Clean
EVRControllerEventOutputType,0,6.716740266666667,Clean
ECollisionBoundsStyle,0,6.716740266666667,Clean
EVROverlayError,2,6.716740266666667,Clean
EVRApplicationType,1,6.716740266666667,Clean
EVRFirmwareError,1,6.716740266666667,Clean
EVRNotificationError,1,6.716740266666667,Clean
EVRInitError,2,6.716740266666667,Clean
EVRScreenshotType,1,6.716740266666667,Clean
EVRScreenshotPropertyFilenames,1,6.716740266666667,Clean
EVRTrackedCameraError,2,6.716740266666667,Clean
EVRTrackedCameraFrameType,1,6.716740266666667,Clean
EVRApplicationError,2,6.716740266666667,Clean
EVRApplicationProperty,1,6.716740266666667,Clean
EVRApplicationTransitionState,1,6.716740266666667,Clean
ChaperoneCalibrationState,1,6.716740266666667,Clean
EChaperoneConfigFile,1,6.716740266666667,Clean
EChaperoneImportFlags,0,6.716740266666667,Clean
EVRCompositorError,1,6.716740266666667,Clean
VROverlayInputMethod,1,6.716740266666667,Clean
VROverlayTransformType,1,6.716740266666667,Clean
VROverlayFlags,2,6.716740266666667,Clean
EGamepadTextInputMode,0,6.716740266666667,Clean
EGamepadTextInputLineMode,0,6.716740266666667,Clean
EOverlayDirection,1,6.716740266666667,Clean
EVRRenderModelError,1,6.716740266666667,Clean
EVRComponentProperty,0,6.716740266666667,Clean
EVRNotificationType,1,6.716740266666667,Clean
EVRNotificationStyle,1,6.716740266666667,Clean
EVRSettingsError,1,6.716740266666667,Clean
EVRScreenshotError,1,6.716740266666667,Clean
VREvent_Data_t,4,6.716740266666667,Clean
HmdMatrix34_t,3,6.716740266666667,Clean
HmdMatrix44_t,4,6.716740266666667,Clean
HmdVector3_t,3,6.716740266666667,Clean
HmdVector4_t,2,6.716740266666667,Clean
HmdVector3d_t,2,6.716740266666667,Clean
HmdVector2_t,2,6.716740266666667,Clean
HmdQuaternion_t,2,6.716740266666667,Clean
HmdColor_t,3,6.716740266666667,Clean
HmdQuad_t,4,6.716740266666667,Clean
HmdRect2_t,3,6.716740266666667,Clean
DistortionCoordinates_t,3,6.716740266666667,Clean
Texture_t,4,6.716740266666667,Clean
TrackedDevicePose_t,4,6.716740266666667,Clean
VRTextureBounds_t,3,6.716740266666667,Clean
VREvent_Controller_t,0,6.716740266666667,Clean
VREvent_Mouse_t,2,6.716740266666667,Clean
VREvent_Scroll_t,2,6.716740266666667,Clean
VREvent_TouchPadMove_t,2,6.716740266666667,Clean
VREvent_Notification_t,1,6.716740266666667,Clean
VREvent_Process_t,2,6.716740266666667,Clean
VREvent_Overlay_t,0,6.716740266666667,Clean
VREvent_Status_t,0,6.716740266666667,Clean
VREvent_Keyboard_t,2,6.716740266666667,Clean
VREvent_Ipd_t,0,6.716740266666667,Clean
VREvent_Chaperone_t,1,6.716740266666667,Clean
VREvent_Reserved_t,1,6.716740266666667,Clean
VREvent_PerformanceTest_t,0,6.716740266666667,Clean
VREvent_SeatedZeroPoseReset_t,0,6.716740266666667,Clean
VREvent_Screenshot_t,1,6.716740266666667,Clean
VREvent_ScreenshotProgress_t,0,6.716740266666667,Clean
VREvent_ApplicationLaunch_t,1,6.716740266666667,Clean
VREvent_t,4,6.716740266666667,Clean
HiddenAreaMesh_t,2,6.716740266666667,Clean
VRControllerAxis_t,2,6.716740266666667,Clean
VRControllerState_t,4,6.716740266666667,Clean
Compositor_OverlaySettings,4,6.716740266666667,Clean
CameraVideoStreamFrameHeader_t,4,6.716740266666667,Clean
AppOverrideKeys_t,2,6.716740266666667,Clean
Compositor_FrameTiming,5,6.716740266666667,Clean
Compositor_CumulativeStats,4,6.716740266666667,Clean
VROverlayIntersectionParams_t,4,6.716740266666667,Clean
VROverlayIntersectionResults_t,4,6.716740266666667,Clean
RenderModel_ComponentState_t,4,6.716740266666667,Clean
RenderModel_Vertex_t,3,6.716740266666667,Clean
RenderModel_TextureMap_t,2,6.716740266666667,Clean
RenderModel_t,2,6.716740266666667,Clean
