Component,Threshold,Cutoff,Status
TargetTypeTests,1,8.648895874668247,Clean
CompilersTests,5,8.648895874668247,Clean
MsBuildTaskTests,6,8.648895874668247,Clean
BuildTask,9,8.648895874668247,Fault_proner
BuildTaskTests,5,8.648895874668247,Clean
TargetTests,6,8.648895874668247,Clean
Compilers,7,8.648895874668247,Clean
MsBuildTask,8,8.648895874668247,Clean
Resgen,6,8.648895874668247,Clean
ResgenTests,5,8.648895874668247,Clean
Resource,5,8.648895874668247,Clean
ResourceTests,5,8.648895874668247,Clean
TargetType,4,8.648895874668247,Clean
Target,7,8.648895874668247,Clean
Desktop4_5Finder,2,8.648895874668247,Clean
MonoFinder,3,8.648895874668247,Clean
TestFinder,3,8.648895874668247,Clean
DefaultFinderTests,6,8.648895874668247,Clean
DefaultFinder,9,8.648895874668247,Fault_proner
Desktop2_0Finder,2,8.648895874668247,Clean
Desktop3_0Finder,2,8.648895874668247,Clean
Desktop3_5Finder,2,8.648895874668247,Clean
Desktop4_0ClientFrameworkFinder,2,8.648895874668247,Clean
Desktop4_0FullFrameworkFinder,2,8.648895874668247,Clean
IFrameworkFinder,3,8.648895874668247,Clean
SimpleMessageLogger,7,8.648895874668247,Clean
TestLogger,8,8.648895874668247,Clean
TestSuiteLogger,7,8.648895874668247,Clean
TestLoggerTests,6,8.648895874668247,Clean
TestSuiteLoggerTests,6,8.648895874668247,Clean
ConsoleMessageLogger,9,8.648895874668247,Fault_proner
ConsoleMessageLoggerTests,6,8.648895874668247,Clean
ApiKeyMandatoryTests,1,8.648895874668247,Clean
AuthorsMandatory,7,8.648895874668247,Clean
AuthorsMandatoryTests,5,8.648895874668247,Clean
DependencyGroup,7,8.648895874668247,Clean
DependencyGroupTests,5,8.648895874668247,Clean
DependencyRecord,6,8.648895874668247,Clean
DependencyRecordTests,2,8.648895874668247,Clean
DescriptionMandatory,4,8.648895874668247,Clean
DescriptionMandatoryTests,1,8.648895874668247,Clean
FrameworkAssembly,4,8.648895874668247,Clean
FrameworkAssemblyTests,2,8.648895874668247,Clean
NuGetOptionalsTests,7,8.648895874668247,Clean
ProjectIdMandatoryTests,1,8.648895874668247,Clean
NuGetPublisher,9,8.648895874668247,Fault_proner
ApiKeyMandatory,4,8.648895874668247,Clean
OptionBase,3,8.648895874668247,Clean
NuGetOptionals,8,8.648895874668247,Clean
ProjectIdMandatory,4,8.648895874668247,Clean
NuGetPublisherTests,7,8.648895874668247,Clean
VersionMandatory,6,8.648895874668247,Clean
VersionMandatoryTests,1,8.648895874668247,Clean
PublishTests,6,8.648895874668247,Clean
Ftp,8,8.648895874668247,Clean
FtpTests,0,8.648895874668247,Clean
GoogleCodeTests,6,8.648895874668247,Clean
Publish,7,8.648895874668247,Clean
GoogleCode,7,8.648895874668247,Clean
MSTestRunner,8,8.648895874668247,Clean
MSTestRunnerTests,7,8.648895874668247,Clean
UnitTestFrameworkArgsTests,2,8.648895874668247,Clean
UnitTestFrameworkArgs,7,8.648895874668247,Clean
INUnitRunner,6,8.648895874668247,Clean
NUnitRunner,8,8.648895874668247,Clean
NUnitRunnerTests,5,8.648895874668247,Clean
TestBase,1,8.648895874668247,Clean
ActionExecutorTests,5,8.648895874668247,Clean
InternalExecutableTester,6,8.648895874668247,Clean
BuildFileTests,5,8.648895874668247,Clean
Task,2,8.648895874668247,Clean
PropertiesTests,5,8.648895874668247,Clean
VerbosityLevel,1,8.648895874668247,Clean
Defaults,9,8.648895874668247,Fault_proner
Properties,2,8.648895874668247,Clean
BuildFile,10,8.648895874668247,Fault_proner
NamedTask,2,8.648895874668247,Clean
OneThroughNineTests,1,8.648895874668247,Clean
ZipDecompressTests,6,8.648895874668247,Clean
ZipOptionsTests,6,8.648895874668247,Clean
OneThroughNine,5,8.648895874668247,Clean
Zip,2,8.648895874668247,Clean
IZipCompress,5,8.648895874668247,Clean
ZipCompress,9,8.648895874668247,Fault_proner
ZipCompressTests,6,8.648895874668247,Clean
ZipDecompress,8,8.648895874668247,Clean
IZipOptions,2,8.648895874668247,Clean
ZipOptions,6,8.648895874668247,Clean
CommandLinePropertiesTests,3,8.648895874668247,Clean
CruiseControlPropertiesTests,2,8.648895874668247,Clean
TeamCityPropertiesTests,6,8.648895874668247,Clean
ICruiseControlProperties,3,8.648895874668247,Clean
CruiseControlProperties,4,8.648895874668247,Clean
ICommandLineProperties,1,8.648895874668247,Clean
CommandLineProperties,8,8.648895874668247,Clean
ITeamCityProperties,3,8.648895874668247,Clean
TeamCityProperties,8,8.648895874668247,Clean
AssemblyInfoDetailsTests,5,8.648895874668247,Clean
AssemvblyInfoTests,1,8.648895874668247,Clean
