Component,Threshold,Cutoff,Status
HeadBob,6,7.395584582993168,Clean
MouseLook,8,7.395584582993168,Fault_proner
RigidbodyFirstPersonController,8,7.395584582993168,Fault_proner
MovementSettings,7,7.395584582993168,Clean
AdvancedSettings,3,7.395584582993168,Clean
Ball,6,7.395584582993168,Clean
BallUserControl,5,7.395584582993168,Clean
AICharacterControl,6,7.395584582993168,Clean
ThirdPersonCharacter,6,7.395584582993168,Clean
ThirdPersonUserControl,5,7.395584582993168,Clean
AxisTouchButton,7,7.395584582993168,Clean
ButtonHandler,5,7.395584582993168,Clean
CrossPlatformInputManager,8,7.395584582993168,Fault_proner
ActiveInputMethod,1,7.395584582993168,Clean
VirtualAxis,6,7.395584582993168,Clean
VirtualButton,7,7.395584582993168,Clean
InputAxisScrollbar,3,7.395584582993168,Clean
Joystick,7,7.395584582993168,Clean
AxisOption,1,7.395584582993168,Clean
MobileControlRig,3,7.395584582993168,Clean
TiltInput,6,7.395584582993168,Clean
AxisOptions,1,7.395584582993168,Clean
AxisMapping,3,7.395584582993168,Clean
MappingType,1,7.395584582993168,Clean
TiltInputAxisStylePropertyDrawer,3,7.395584582993168,Clean
TouchPad,7,7.395584582993168,Clean
ControlStyle,1,7.395584582993168,Clean
VirtualInput,9,7.395584582993168,Fault_proner
MobileInput,6,7.395584582993168,Clean
StandaloneInput,5,7.395584582993168,Clean
TiltInput_duplicated,6,7.395584582993168,Clean
AxisOptions_duplicated,0,7.395584582993168,Clean
AxisMapping_duplicated,2,7.395584582993168,Clean
MappingType_duplicated,0,7.395584582993168,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,7.395584582993168,Clean
AAMode,1,7.395584582993168,Clean
Antialiasing,9,7.395584582993168,Fault_proner
Bloom,9,7.395584582993168,Fault_proner
LensFlareStyle,1,7.395584582993168,Clean
TweakMode,1,7.395584582993168,Clean
HDRBloomMode,1,7.395584582993168,Clean
BloomScreenBlendMode,1,7.395584582993168,Clean
BloomQuality,1,7.395584582993168,Clean
LensflareStyle34,1,7.395584582993168,Clean
TweakMode34,1,7.395584582993168,Clean
BloomAndFlares,9,7.395584582993168,Fault_proner
BloomOptimized,8,7.395584582993168,Fault_proner
Resolution,1,7.395584582993168,Clean
BlurType,1,7.395584582993168,Clean
Blur,7,7.395584582993168,Clean
BlurOptimized,8,7.395584582993168,Fault_proner
CameraMotionBlur,9,7.395584582993168,Fault_proner
MotionBlurFilter,1,7.395584582993168,Clean
ColorCorrectionCurves,9,7.395584582993168,Fault_proner
ColorCorrectionMode,1,7.395584582993168,Clean
ColorCorrectionLookup,8,7.395584582993168,Fault_proner
ColorCorrectionRamp,1,7.395584582993168,Clean
ContrastEnhance,7,7.395584582993168,Clean
ContrastStretch,6,7.395584582993168,Clean
CreaseShading,7,7.395584582993168,Clean
DepthOfField,9,7.395584582993168,Fault_proner
BlurSampleCount,1,7.395584582993168,Clean
DepthOfFieldDeprecated,9,7.395584582993168,Fault_proner
Dof34QualitySetting,1,7.395584582993168,Clean
DofResolution,1,7.395584582993168,Clean
DofBlurriness,1,7.395584582993168,Clean
BokehDestination,1,7.395584582993168,Clean
EdgeDetection,8,7.395584582993168,Fault_proner
EdgeDetectMode,1,7.395584582993168,Clean
Fisheye,7,7.395584582993168,Clean
GlobalFog,7,7.395584582993168,Clean
Grayscale,2,7.395584582993168,Clean
ImageEffectBase,6,7.395584582993168,Clean
ImageEffects,5,7.395584582993168,Clean
MotionBlur,7,7.395584582993168,Clean
NoiseAndGrain,8,7.395584582993168,Fault_proner
NoiseAndScratches,6,7.395584582993168,Clean
PostEffectsBase,7,7.395584582993168,Clean
PostEffectsHelper,3,7.395584582993168,Clean
Quads,5,7.395584582993168,Clean
ScreenOverlay,8,7.395584582993168,Fault_proner
OverlayBlendMode,1,7.395584582993168,Clean
