Component,Threshold,Cutoff,Status
FirstPersonController,5,7.954749527410208,Clean
HeadBob,6,7.954749527410208,Clean
MouseLook,8,7.954749527410208,Fault_proner
RigidbodyFirstPersonController,8,7.954749527410208,Fault_proner
MovementSettings,7,7.954749527410208,Clean
AdvancedSettings,3,7.954749527410208,Clean
AxisTouchButton,7,7.954749527410208,Clean
ButtonHandler,6,7.954749527410208,Clean
CrossPlatformInputManager,8,7.954749527410208,Fault_proner
ActiveInputMethod,1,7.954749527410208,Clean
VirtualAxis,6,7.954749527410208,Clean
VirtualButton,7,7.954749527410208,Clean
InputAxisScrollbar,4,7.954749527410208,Clean
Joystick,7,7.954749527410208,Clean
AxisOption,1,7.954749527410208,Clean
MobileControlRig,3,7.954749527410208,Clean
TiltInput,6,7.954749527410208,Clean
AxisOptions,1,7.954749527410208,Clean
AxisMapping,4,7.954749527410208,Clean
MappingType,1,7.954749527410208,Clean
TiltInputAxisStylePropertyDrawer,3,7.954749527410208,Clean
TouchPad,7,7.954749527410208,Clean
ControlStyle,1,7.954749527410208,Clean
VirtualInput,9,7.954749527410208,Fault_proner
MobileInput,6,7.954749527410208,Clean
StandaloneInput,5,7.954749527410208,Clean
TiltInput_duplicated,6,7.954749527410208,Clean
AxisOptions_duplicated,0,7.954749527410208,Clean
AxisMapping_duplicated,3,7.954749527410208,Clean
MappingType_duplicated,0,7.954749527410208,Clean
TiltInputAxisStylePropertyDrawer_duplicated,3,7.954749527410208,Clean
AfterburnerPhysicsForce,5,7.954749527410208,Clean
ExplosionFireAndDebris,6,7.954749527410208,Clean
ExplosionPhysicsForce,3,7.954749527410208,Clean
Explosive,7,7.954749527410208,Clean
ExtinguishableParticleSystem,5,7.954749527410208,Clean
FireLight,5,7.954749527410208,Clean
Hose,3,7.954749527410208,Clean
ParticleSystemMultiplier,2,7.954749527410208,Clean
SmokeParticles,1,7.954749527410208,Clean
WaterHoseParticles,5,7.954749527410208,Clean
ActivateTrigger,6,7.954749527410208,Clean
Mode,1,7.954749527410208,Clean
AutoMobileShaderSwitch,1,7.954749527410208,Clean
ReplacementDefinition,3,7.954749527410208,Clean
ReplacementList,2,7.954749527410208,Clean
ReplacementListDrawer,5,7.954749527410208,Clean
AutoMoveAndRotate,6,7.954749527410208,Clean
Vector3andSpace,3,7.954749527410208,Clean
CameraRefocus,6,7.954749527410208,Clean
CurveControlledBob,7,7.954749527410208,Clean
DragRigidbody,4,7.954749527410208,Clean
DynamicShadowSettings,5,7.954749527410208,Clean
FollowTarget,2,7.954749527410208,Clean
FOVKick,7,7.954749527410208,Clean
FPSCounter,4,7.954749527410208,Clean
LerpControlledBob,7,7.954749527410208,Clean
ObjectResetter,6,7.954749527410208,Clean
ParticleSystemDestroyer,6,7.954749527410208,Clean
PlatformSpecificContent,5,7.954749527410208,Clean
BuildTargetGroup,1,7.954749527410208,Clean
SimpleActivatorMenu,6,7.954749527410208,Clean
SimpleMouseRotator,6,7.954749527410208,Clean
SmoothFollow,4,7.954749527410208,Clean
TimedObjectActivator,6,7.954749527410208,Clean
Action,1,7.954749527410208,Clean
Entry,4,7.954749527410208,Clean
Entries,3,7.954749527410208,Clean
EntriesDrawer,6,7.954749527410208,Clean
TimedObjectDestructor,3,7.954749527410208,Clean
WaypointCircuit,9,7.954749527410208,Fault_proner
WaypointList,4,7.954749527410208,Clean
RoutePoint,4,7.954749527410208,Clean
WaypointListDrawer,6,7.954749527410208,Clean
TransformNameComparer,1,7.954749527410208,Clean
WaypointProgressTracker,8,7.954749527410208,Fault_proner
ProgressStyle,1,7.954749527410208,Clean
AutoMobileShaderSwitch_duplicated,1,7.954749527410208,Clean
ReplacementDefinition_duplicated,2,7.954749527410208,Clean
ReplacementList_duplicated,2,7.954749527410208,Clean
ReplacementListDrawer_duplicated,5,7.954749527410208,Clean
TimedObjectActivator_duplicated,5,7.954749527410208,Clean
Action_duplicated,0,7.954749527410208,Clean
Entry_duplicated,3,7.954749527410208,Clean
Entries_duplicated,2,7.954749527410208,Clean
EntriesDrawer_duplicated,6,7.954749527410208,Clean
WaypointCircuit_duplicated,8,7.954749527410208,Fault_proner
WaypointList_duplicated,3,7.954749527410208,Clean
RoutePoint_duplicated,4,7.954749527410208,Clean
WaypointListDrawer_duplicated,6,7.954749527410208,Clean
TransformNameComparer_duplicated,1,7.954749527410208,Clean
CrossPlatformInitialize,4,7.954749527410208,Clean
