Component,Threshold,Cutoff,Status
GedcomAddress,8,7.86100594916171,Fault_proner
GedcomAge,6,7.86100594916171,Clean
GedcomAssociation,3,7.86100594916171,Clean
GedcomChangeDate,2,7.86100594916171,Clean
GedcomCustomRecord,2,7.86100594916171,Clean
GedcomDatabase,8,7.86100594916171,Fault_proner
GedcomDate,10,7.86100594916171,Fault_proner
GedcomDateType,0,7.86100594916171,Clean
GedcomDatePeriod,0,7.86100594916171,Clean
GedcomEvent,10,7.86100594916171,Fault_proner
GedcomEventType,1,7.86100594916171,Clean
GedcomFamilyEvent,6,7.86100594916171,Clean
GedcomFamilyLink,5,7.86100594916171,Clean
GedcomFamilyRecord,9,7.86100594916171,Fault_proner
GedcomHeader,8,7.86100594916171,Fault_proner
GedcomIndividualEvent,9,7.86100594916171,Fault_proner
GedcomIndividualRecord,10,7.86100594916171,Fault_proner
GedcomMultimediaFile,3,7.86100594916171,Clean
GedcomMultimediaRecord,7,7.86100594916171,Clean
GedcomName,9,7.86100594916171,Fault_proner
GedcomNoteRecord,6,7.86100594916171,Clean
GedcomPlace,8,7.86100594916171,Fault_proner
GedcomRecordType,1,7.86100594916171,Clean
GedcomSex,0,7.86100594916171,Clean
PedegreeLinkageType,0,7.86100594916171,Clean
ChildLinkageStatus,0,7.86100594916171,Clean
GedcomRestrictionNotice,0,7.86100594916171,Clean
GedcomCertainty,0,7.86100594916171,Clean
GedcomAdoptionType,0,7.86100594916171,Clean
SourceMediaType,0,7.86100594916171,Clean
MarriageStartStatus,0,7.86100594916171,Clean
GedcomRecord,9,7.86100594916171,Fault_proner
GedcomRecordedEvent,4,7.86100594916171,Clean
GedcomRecordList<T>,3,7.86100594916171,Clean
GedcomRepositoryCitation,8,7.86100594916171,Fault_proner
GedcomRepositoryRecord,9,7.86100594916171,Fault_proner
GedcomSourceCitation,10,7.86100594916171,Fault_proner
GedcomSourceRecord,10,7.86100594916171,Fault_proner
GedcomSubmissionRecord,3,7.86100594916171,Clean
GedcomSubmitterRecord,8,7.86100594916171,Fault_proner
GedcomVariation,3,7.86100594916171,Clean
Util,5,7.86100594916171,Clean
XRefIndexedKeyCollection,2,7.86100594916171,Clean
