Component,Threshold,Cutoff,Status
AboutForm,4,8.504500441588213,Clean
ConflictResolverForm,4,8.504500441588213,Clean
ConflictResolver,4,8.504500441588213,Clean
ContactPreview,7,8.504500441588213,Clean
CPField,3,8.504500441588213,Clean
ContactPropertiesUtils,6,8.504500441588213,Clean
ContactsMatcher,7,8.504500441588213,Clean
ContactMatchList,1,8.504500441588213,Clean
ContactMatch,5,8.504500441588213,Clean
ContactSync,5,8.504500441588213,Clean
DeleteDuplicatesForm,3,8.504500441588213,Clean
DuplicateDataException,3,8.504500441588213,Clean
Encryption,5,8.504500441588213,Clean
PasswordEncryptionException,1,8.504500441588213,Clean
HexEncoding,5,8.504500441588213,Clean
IConflictResolver,1,8.504500441588213,Clean
ConflictResolution,1,8.504500441588213,Clean
ILogger,3,8.504500441588213,Clean
EventType,1,8.504500441588213,Clean
Logger,6,8.504500441588213,Clean
SettingsForm,7,8.504500441588213,Clean
Program,0,8.504500441588213,Clean
Syncronizer,9,8.504500441588213,Fault_proner
SyncOption,1,8.504500441588213,Clean
Utilities,6,8.504500441588213,Clean
Resources,2,8.504500441588213,Clean
Settings,1,8.504500441588213,Clean
