Component,Threshold,Cutoff,Status
Quality,0,8.08031569875565,Clean
Tonemapping,1,8.08031569875565,Clean
AmplifyColorBase,8,8.08031569875565,Clean
VersionInfo,5,8.08031569875565,Clean
VolumeEffectField,5,8.08031569875565,Clean
VolumeEffectComponent,7,8.08031569875565,Clean
VolumeEffect,7,8.08031569875565,Clean
VolumeEffectContainer,4,8.08031569875565,Clean
VolumeEffectFieldFlags,3,8.08031569875565,Clean
VolumeEffectComponentFlags,7,8.08031569875565,Clean
VolumeEffectFlags,5,8.08031569875565,Clean
AstarColor,3,8.08031569875565,Clean
GraphHitInfo,4,8.08031569875565,Clean
NNConstraint,7,8.08031569875565,Clean
PathNNConstraint,3,8.08031569875565,Clean
NNInfo,3,8.08031569875565,Clean
Progress,1,8.08031569875565,Clean
IUpdatableGraph,1,8.08031569875565,Clean
TagMask,1,8.08031569875565,Clean
GraphUpdateObject,8,8.08031569875565,Clean
IRaycastableGraph,3,8.08031569875565,Clean
PathThreadInfo,2,8.08031569875565,Clean
IntRect,8,8.08031569875565,Clean
GraphUpdateThreading,1,8.08031569875565,Clean
PathLog,1,8.08031569875565,Clean
Heuristic,0,8.08031569875565,Clean
GraphDebugMode,0,8.08031569875565,Clean
ThreadCount,0,8.08031569875565,Clean
PathState,0,8.08031569875565,Clean
PathCompleteState,1,8.08031569875565,Clean
AstarData,9,8.08031569875565,Fault_proner
AstarSplines,1,8.08031569875565,Clean
VectorMath,6,8.08031569875565,Clean
AstarMath,6,8.08031569875565,Clean
Polygon,6,8.08031569875565,Clean
GraphUpdateScene,8,8.08031569875565,Clean
GraphUpdateShape,6,8.08031569875565,Clean
AnimationLink,6,8.08031569875565,Clean
LinkClip,3,8.08031569875565,Clean
AstarEnumFlagAttribute,0,8.08031569875565,Clean
BinaryHeapM,7,8.08031569875565,Clean
Tuple,1,8.08031569875565,Clean
GraphEditorBase,1,8.08031569875565,Clean
GraphModifier,7,8.08031569875565,Clean
EventType,1,8.08031569875565,Clean
Int3,8,8.08031569875565,Clean
Int2,8,8.08031569875565,Clean
NodeLink,9,8.08031569875565,Fault_proner
NodeLink2,11,8.08031569875565,Fault_proner
NodeLink3Node,7,8.08031569875565,Clean
NodeLink3,9,8.08031569875565,Fault_proner
PathPool,3,8.08031569875565,Clean
PathPool<T>,3,8.08031569875565,Clean
ThreadControlQueue,6,8.08031569875565,Clean
QueueTerminationException,0,8.08031569875565,Clean
GraphNode,10,8.08031569875565,Fault_proner
MeshNode,9,8.08031569875565,Fault_proner
Path,10,8.08031569875565,Fault_proner
PathNode,4,8.08031569875565,Clean
PathHandler,9,8.08031569875565,Fault_proner
MineBotAI,5,8.08031569875565,Clean
TargetMover,4,8.08031569875565,Clean
NavGraph,9,8.08031569875565,Fault_proner
GraphCollision,8,8.08031569875565,Clean
ColliderType,1,8.08031569875565,Clean
RayDirection,0,8.08031569875565,Clean
GridGraph,10,8.08031569875565,Fault_proner
NumNeighbours,1,8.08031569875565,Clean
INavmesh,1,8.08031569875565,Clean
NavMeshGraph,10,8.08031569875565,Fault_proner
GridNode,9,8.08031569875565,Fault_proner
GridNodeBase,10,8.08031569875565,Fault_proner
PointNode,10,8.08031569875565,Fault_proner
INavmeshHolder,2,8.08031569875565,Clean
TriangleMeshNode,9,8.08031569875565,Fault_proner
PointGraph,10,8.08031569875565,Fault_proner
GetNearestHelper,3,8.08031569875565,Clean
BBTree,0,8.08031569875565,Clean
HeuristicOptimizationMode,0,8.08031569875565,Clean
EuclideanEmbedding,4,8.08031569875565,Clean
ObjImporter,1,8.08031569875565,Clean
meshStruct,2,8.08031569875565,Clean
AlternativePath,8,8.08031569875565,Clean
FunnelModifier,5,8.08031569875565,Clean
IPathModifier,2,8.08031569875565,Clean
PathModifier,5,8.08031569875565,Clean
MonoModifier,5,8.08031569875565,Clean
RaycastModifier,7,8.08031569875565,Clean
SimpleSmoothModifier,9,8.08031569875565,Fault_proner
SmoothType,0,8.08031569875565,Clean
StartEndModifier,7,8.08031569875565,Clean
Exactness,0,8.08031569875565,Clean
RelevantGraphSurface,6,8.08031569875565,Clean
ABPath,9,8.08031569875565,Fault_proner
AstarProfiler,8,8.08031569875565,Clean
ProfilePoint,2,8.08031569875565,Clean
GraphUpdateUtilities,2,8.08031569875565,Clean
PathUtilities,5,8.08031569875565,Clean
Profile,5,8.08031569875565,Clean
UnityReferenceHelper,1,8.08031569875565,Clean
ArrayPool<T>,0,8.08031569875565,Clean
ListPool<T>,4,8.08031569875565,Clean
IAstarPooledObject,0,8.08031569875565,Clean
ObjectPool<T>,3,8.08031569875565,Clean
StackPool<T>,3,8.08031569875565,Clean
Checksum,0,8.08031569875565,Clean
Memory,2,8.08031569875565,Clean
Guid,7,8.08031569875565,Clean
LockFreeStack,0,8.08031569875565,Clean
WindowsStoreCompatibility,1,8.08031569875565,Clean
GraphSerializationContext,8,8.08031569875565,Clean
AstarSerializer,6,8.08031569875565,Clean
GraphMeta,3,8.08031569875565,Clean
SerializeSettings,4,8.08031569875565,Clean
JsonMemberAttribute,1,8.08031569875565,Clean
JsonOptInAttribute,0,8.08031569875565,Clean
TinyJsonSerializer,5,8.08031569875565,Clean
TinyJsonDeserializer,5,8.08031569875565,Clean
